AC_NAME,PARTY,YEAR,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,VOTES,polled_votes,color,District
Washermanpet,DMK,1967,Tamil Nadu,1,1,GEN,M. VEDACHALAM,M,0,,34571,68190,#c0392b,
Washermanpet,INC,1967,Tamil Nadu,1,2,GEN,M. M. NADAR,M,0,,27329,68190,#2ecc71,
Washermanpet,IND,1967,Tamil Nadu,1,3,GEN,R. NAYAKAR,M,0,,6072,68190,#bdc3c7,
Washermanpet,IND,1967,Tamil Nadu,1,4,GEN,K. BALAKRISHNAN,M,0,,218,68190,#bdc3c7,
Harbour,IND,1967,Tamil Nadu,2,1,GEN,H. BAIG,M,0,,29360,56805,#bdc3c7,Chennai
Harbour,INC,1967,Tamil Nadu,2,2,GEN,K. S. G. H. SHEREEF,M,0,,25510,56805,#2ecc71,Chennai
Harbour,BJS,1967,Tamil Nadu,2,3,GEN,M,M,0,,1935,56805,#222,Chennai
Basin Bridge,DMK,1967,Tamil Nadu,3,1,GEN,M. R. KANNAN,M,0,,40109,74545,#c0392b,
Basin Bridge,INC,1967,Tamil Nadu,3,2,GEN,K. RAMDAS,M,0,,30757,74545,#2ecc71,
Basin Bridge,CPI,1967,Tamil Nadu,3,3,GEN,G. KANNAN,M,0,,3450,74545,#ff5757,
Basin Bridge,IND,1967,Tamil Nadu,3,4,GEN,T. SUNDARARAJAN,M,0,,229,74545,#bdc3c7,
Park Town,SWA,1967,Tamil Nadu,4,1,GEN,H. V. HANDE,M,0,,29144,56509,#222,
Park Town,INC,1967,Tamil Nadu,4,2,GEN,T. N. ANANDANAYAKI,F,0,,26465,56509,#2ecc71,
Park Town,BJS,1967,Tamil Nadu,4,3,GEN,P. C. KALYANASUNDARAM,M,0,,384,56509,#222,
Park Town,IND,1967,Tamil Nadu,4,4,GEN,K. ARIYASANKARAN,M,0,,325,56509,#bdc3c7,
Park Town,IND,1967,Tamil Nadu,4,5,GEN,V. THANIKACHALAM,M,0,,191,56509,#bdc3c7,
Perambur,DMK,1967,Tamil Nadu,5,1,SC,S. MUTHU,F,0,,40364,74486,#c0392b,Chennai
Perambur,INC,1967,Tamil Nadu,5,2,SC,D. SULOCHANA,F,0,,33677,74486,#2ecc71,Chennai
Perambur,IND,1967,Tamil Nadu,5,3,SC,MUTHUVELU,M,0,,445,74486,#bdc3c7,Chennai
Purasawalkam,DMK,1967,Tamil Nadu,6,1,GEN,V. S. GOVINDARAJAN,M,0,,41272,71110,#c0392b,
Purasawalkam,INC,1967,Tamil Nadu,6,2,GEN,DAMODARAN,M,0,,29046,71110,#2ecc71,
Purasawalkam,BJS,1967,Tamil Nadu,6,3,GEN,KRISHNIAH,M,0,,792,71110,#222,
Egmore,DMK,1967,Tamil Nadu,7,1,GEN,A V ASAITHAMBI,M,0,,36133,66670,#c0392b,Chennai
Egmore,INC,1967,Tamil Nadu,7,2,GEN,J. VENCATACHELLUM,F,0,,29187,66670,#2ecc71,Chennai
Egmore,IND,1967,Tamil Nadu,7,3,GEN,G. SAMUAL,M,0,,1350,66670,#bdc3c7,Chennai
Thousand Lights,DMK,1967,Tamil Nadu,8,1,GEN,K. A. MATHIALAGAN,M,0,,39518,65569,#c0392b,Chennai
Thousand Lights,INC,1967,Tamil Nadu,8,2,GEN,M. SIVARAJ,F,0,,25370,65569,#2ecc71,Chennai
Thousand Lights,IND,1967,Tamil Nadu,8,3,GEN,K. MUNIRAJI,M,0,,245,65569,#bdc3c7,Chennai
Thousand Lights,BJS,1967,Tamil Nadu,8,4,GEN,P. RAMAKRISHNAN,M,0,,238,65569,#222,Chennai
Thousand Lights,IND,1967,Tamil Nadu,8,5,GEN,A. K. M. PITCHAI,M,0,,198,65569,#bdc3c7,Chennai
