YEAR,AC_NO,ST_NAME,rank,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES,polled_votes
1951,1,West Bengal,1,KALIMPONG,GEN,LALIT BAHADUR KHARGA,M,,,CPI,7422,12397
1951,1,West Bengal,2,KALIMPONG,GEN,GAJENDRA SINHA BHANDARI,M,,,INC,4975,12397
1951,2,West Bengal,1,DARJEELING,GEN,DALBAHADUR SINGH GAHATRAJ,M,,,IND,7141,14862
1951,2,West Bengal,2,DARJEELING,GEN,T . MANSEN,M,,,INC,3872,14862
1951,2,West Bengal,3,DARJEELING,GEN,RATANLAL BRAHMAN,M,,,CPI,3849,14862
1951,3,West Bengal,1,JORE BUNGALOW,GEN,SHIVA KUMAR RAI,M,,,IND,9048,14045
1951,3,West Bengal,2,JORE BUNGALOW,GEN,GANESHLAL SUBBA,M,,,CPI,2834,14045
1951,3,West Bengal,3,JORE BUNGALOW,GEN,BALBAHADUR CHETTRI,M,,,INC,2163,14045
1951,4,West Bengal,1,KURSEONG SILIGURI,GEN,GEORGE MAHBERT,M,,,IND,8255,49590
1951,4,West Bengal,2,KURSEONG SILIGURI,GEN,BIRENDRA NATH RAY SARKAR,M,,,INC,8000,49590
1951,4,West Bengal,3,KURSEONG SILIGURI,GEN,TENZING WANGDI,M,,,INC,7574,49590
1951,4,West Bengal,4,KURSEONG SILIGURI,GEN,NIMA WANGI LAMA,M,,,IND,6876,49590
1951,4,West Bengal,5,KURSEONG SILIGURI,GEN,BANDHAN ORAON,M,,,CPI,6441,49590
1951,4,West Bengal,6,KURSEONG SILIGURI,GEN,KSHIROD NATH CHATTOPADHYAY,M,,,KMPP,5823,49590
1951,4,West Bengal,7,KURSEONG SILIGURI,GEN,KHAGENDRA NATH RAY,M,,,IND,2740,49590
1951,4,West Bengal,8,KURSEONG SILIGURI,GEN,RANJAY WANGBOO,M,,,SP,1534,49590
1951,4,West Bengal,9,KURSEONG SILIGURI,GEN,SUDHINDRA NATH CHAKRAVARTY,M,,,IND,1188,49590
1951,4,West Bengal,10,KURSEONG SILIGURI,GEN,BASANTA GHOSH,M,,,SP,1159,49590
1951,5,West Bengal,1,JALPAIGURI,GEN,ASHRUMATI DEVI,F,,,INC,16041,50346
1951,5,West Bengal,2,JALPAIGURI,GEN,KHAGENDRA NATH DASGUPTA,M,,,INC,13806,50346
1951,5,West Bengal,3,JALPAIGURI,GEN,SACHINDRA NATH DASGUPTA,M,,,CPI,7399,50346
1951,5,West Bengal,4,JALPAIGURI,GEN,GULU KANTA ROY,M,,,CPI,4327,50346
1951,5,West Bengal,5,JALPAIGURI,GEN,HERAMBA DEV,M,,,SP,3973,50346
1951,5,West Bengal,6,JALPAIGURI,GEN,DWIJENDRA NATH GOSWAMI,M,,,SP,3029,50346
1951,5,West Bengal,7,JALPAIGURI,GEN,NAGENDRA NATH MAHALANABISH,M,,,IND,1771,50346
1951,6,West Bengal,1,WESTERN DUARS,GEN,MUNDA ANTONI TOPNO,M,,,INC,17111,59813
1951,6,West Bengal,2,WESTERN DUARS,GEN,SASADHAR KAR,M,,,INC,16836,59813
1951,6,West Bengal,3,WESTERN DUARS,GEN,GANASHYAM MISRA,M,,,SP,7938,59813
1951,6,West Bengal,4,WESTERN DUARS,GEN,DEVENDRA MOHAN SARKAR,M,,,KMPP,6652,59813
1951,6,West Bengal,5,WESTERN DUARS,GEN,JAINU,M,,,SP,6398,59813
1951,6,West Bengal,6,WESTERN DUARS,GEN,URAON SUKRA BHAGAT,M,,,KMPP,4878,59813
1951,7,West Bengal,1,MAINAGURI,GEN,SURENDRA NATH ROY,M,,,INC,8502,13555
1951,7,West Bengal,2,MAINAGURI,GEN,MALINDRA NATH ROY,M,,,SP,5053,13555
1951,8,West Bengal,1,DHUPGURI,GEN,RABINDRA NATH SIKDAR,M,,,INC,11541,20142
1951,8,West Bengal,2,DHUPGURI,GEN,PRAFULLA KUMAR TRIPATHY,M,,,KMPP,5477,20142
1951,8,West Bengal,3,DHUPGURI,GEN,BABU RAM RAY,M,,,FBL(RG),2547,20142
1951,8,West Bengal,4,DHUPGURI,GEN,JAGDISH CHANDRA GUHA,M,,,IND,577,20142
1951,9,West Bengal,1,ALIPUR DUARS,GEN,PIJUSH KANTI MUKHERJEE,M,,,INC,17793,26673
1951,9,West Bengal,2,ALIPUR DUARS,GEN,NANI BHATTACHARJI,M,,,RSP,7169,26673
1951,9,West Bengal,3,ALIPUR DUARS,GEN,AMAL KUMAR BHATTACHARYA,M,,,FBL(RG),1711,26673
1951,9,West Bengal,4,ALIPUR DUARS,GEN,DHIRANDRA BRAMHA MANDAL,M,,,INC,0,26673
1951,10,West Bengal,1,CENTRAL DUARS,GEN,BHAGAT MANGALDAS,M,,,INC,15787,59650
1951,10,West Bengal,2,CENTRAL DUARS,GEN,JAJNESWAR ROY,M,,,INC,11881,59650
1951,10,West Bengal,3,CENTRAL DUARS,GEN,KUPUR STIKEN,M,,,IND,9505,59650
1951,10,West Bengal,4,CENTRAL DUARS,GEN,MANGAL BHAKAT,M,,,KMPP,7785,59650
