2006,2001,count
DMK,PMK,1
DMK,ADMK,1
CPI,ADMK,1
DMK,ADMK,1
DMK,ADMK,1
ADMK,ADMK,1
DMK,PMK,1
DMK,PMK,1
ADMK,ADMK,1
DMK,DMK,1
DMK,ADMK,1
DMK,ADMK,1
DMK,MDMK,1
DMK,ADMK,1
PMK,ADMK,1
INC,ADMK,1
DMK,ADMK,1
DMK,ADMK,1
INC,ADMK,1
ADMK,ADMK,1
ADMK,ADMK,1
PMK,ADMK,1
DMK,ADMK,1
ADMK,IND,1
DMK,ADMK,1
PMK,PMK,1
INC,INC,1
DMK,DMK,1
INC,ADMK,1
INC,PMK,1
ADMK,DMK,1
ADMK,INC,1
DMK,TMC(M),1
DMK,TMC(M),1
DMK,DMK,1
MDMK,TMC(M),1
DMK,PMK,1
PMK,PMK,1
CPI(M),CPM,1
ADMK,ADMK,1
PMK,PMK,1
DMK,DMK,1
DMK,ADMK,1
DMK,ADMK,1
ADMK,ADMK,1
DMK,ADMK,1
CPI(M),ADMK,1
ADMK,ADMK,1
DMK,DMK,1
CPI(M),CPI,1
INC,INC,1
DMK,ADMK,1
ADMK,ADMK,1
DMK,TMC(M),1
INC,ADMK,1
ADMK,ADMK,1
DMK,ADMK,1
PMK,ADMK,1
DMK,ADMK,1
INC,ADMK,1
DMK,ADMK,1
PMK,PMK,1
INC,BJP,1
ADMK,INC,1
DMK,DMK,1
VCK,DMK,1
PMK,ADMK,1
INC,TMC(M),1
ADMK,ADMK,1
ADMK,ADMK,1
INC,ADMK,1
ADMK,CPI,1
DMK,ADMK,1
DMK,ADMK,1
DMK,ADMK,1
DMK,DMK,1
DMK,DMK,1
DMK,ADMK,1
DMK,ADMK,1
DMK,TMC(M),1
CPI(M),CPM,1
ADMK,ADMK,1
INC,ADMK,1
ADMK,TMC(M),1
VCK,DMK,1
CPI,CPI,1
ADMK,ADMK,1
INC,BJP,1
PMK,ADMK,1
ADMK,ADMK,1
ADMK,ADMK,1
PMK,ADMK,1
INC,ADMK,1
DMK,ADMK,1
DMK,ADMK,1
PMK,ADMK,1
DMK,ADMK,1
ADMK,BJP,1
CPI(M),ADMK,1
DMK,MDMK,1
INC,INC,1
INC,ADMK,1
CPI,TMC(M),1
ADMK,ADMK,1
DMK,PMK,1
DMK,ADMK,1
ADMK,ADMK,1
DMK,DMK,1
PMK,ADMK,1
ADMK,ADMK,1
ADMK,ADMK,1
DMK,ADMK,1
ADMK,ADMK,1
DMK,ADMK,1
DMK,DMK,1
ADMK,ADMK,1
INC,ADMK,1
DMK,ADMK,1
PMK,PMK,1
ADMK,TMC(M),1
INC,TMC(M),1
ADMK,TMC(M),1
INC,TMC(M),1
DMK,PMK,1
DMK,ADMK,1
CPI(M),CPM,1
PMK,ADMK,1
ADMK,TMC(M),1
ADMK,ADMK,1
DMK,ADMK,1
ADMK,ADMK,1
ADMK,ADMK,1
ADMK,ADMK,1
INC,ADMK,1
DMK,ADMK,1
ADMK,CPI,1
PMK,ADMK,1
INC,PMK,1
ADMK,ADMK,1
DMK,DMK,1
DMK,IND,1
ADMK,ADMK,1
INC,ADMK,1
DMK,ADMK,1
DMK,ADMK,1
INC,TMC(M),1
ADMK,ADMK,1
ADMK,DMK,1
ADMK,ADMK,1
DMK,PMK,1
DMK,ADMK,1
ADMK,ADMK,1
DMK,PMK,1
DMK,ADMK,1
DMK,ADMK,1
INC,TMC(M),1
DMK,DMK,1
ADMK,ADMK,1
DMK,ADMK,1
DMK,ADMK,1
INC,ADMK,1
ADMK,CPM,1
DMK,ADMK,1
CPI,ADMK,1
MDMK,TMC(M),1
INC,INC,1
ADMK,ADMK,1
INC,ADMK,1
CPI,ADMK,1
DMK,ADMK,1
DMK,DMK,1
PMK,PMK,1
DMK,ADMK,1
IND,BJP,1
DMK,DMK,1
DMK,DMK,1
ADMK,ADMK,1
INC,ADMK,1
MDMK,ADMK,1
ADMK,ADMK,1
ADMK,ADMK,1
CPI,CPI,1
DMK,ADMK,1
DMK,TMC(M),1
DMK,DMK,1
CPI(M),CPM,1
DMK,DMK,1
ADMK,ADMK,1
DMK,ADMK,1
DMK,ADMK,1
MDMK,TMC(M),1
INC,ADMK,1
DMK,DMK,1
ADMK,ADMK,1
ADMK,ADMK,1
ADMK,ADMK,1
DMK,DMK,1
DMK,DMK,1
DMK,ADMK,1
PMK,PMK,1
DMK,ADMK,1
PMK,ADMK,1
CPI(M),ADMK,1
ADMK,PMK,1
INC,TMC(M),1
DMK,DMK,1
ADMK,DMK,1
ADMK,DMK,1
DMK,ADMK,1
INC,INC,1
ADMK,ADMK,1
DMK,ADMK,1
DMK,ADMK,1
ADMK,FBL,1
DMK,ADMK,1
ADMK,ADMK,1
INC,TMC(M),1
DMK,PMK,1
DMK,IND,1
ADMK,ADMK,1
ADMK,ADMK,1
MDMK,TMC(M),1
DMK,DMK,1
INC,ADMK,1
DMK,ADMK,1
DMK,DMK,1
INC,TMC(M),1
ADMK,ADMK,1
CPI(M),CPM,1
DMK,DMK,1
DMK,DMK,1
MDMK,TMC(M),1
DMDK,PMK,1
DMK,ADMK,1
