Constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011,total,
Kamiyambadi,59479,,,,,,,,,,,59479,1
Kaniyambadi,,63640,,,,,,,,,,63640,1
Thiruchirappalli-I,,,65805,,,,,,,,,65805,1
Sholinghur,,66397,,,,,,,,,,66397,1
Tirukkoilur,66845,,,,,,,,,,,66845,1
Thiruchirappalli-Ii,,,69850,,,,,,,,,69850,1
Uddanapalle,44704,43022,,,,,,,,,,87726,2
Gangaikondan,58393,56032,,,,,,,,,,114425,2
Kilvelur,,,,,,,,,,,121254,121254,1
Sembanarkoil,61959,60298,,,,,,,,,,122257,2
Tiruppur (South),,,,,,,,,,,122375,122375,1
Kadambathur,65240,57472,,,,,,,,,,122712,2
Vadamadurai,62115,61259,,,,,,,,,,123374,2
Thiru-Vi-Ka-Nagar,,,,,,,,,,,123807,123807,1
Kariapatti,63166,61360,,,,,,,,,,124526,2
Kadavur,63890,61515,,,,,,,,,,125405,2
Melapalayam,65630,62519,,,,,,,,,,128149,2
Kodavasal,63465,65552,,,,,,,,,,129017,2
Kottur,66298,64728,,,,,,,,,,131026,2
Madurai South,,,,,,,,,,,135472,135472,1
Erode (East),,,,,,,,,,,136071,136071,1
Neyveli,,,,,,,,,,,137357,137357,1
Tittakudi,,,,,,,,,,,139261,139261,1
Washermanpet,68190,72143,,,,,,,,,,140333,2
Kilvaithinankuppam,,,,,,,,,,,140848,140848,1
Cheyyur,,,,,,,,,,,140871,140871,1
Kunnathur,69359,73091,,,,,,,,,,142450,2
Madurai North,,,,,,,,,,,142571,142571,1
Madathukulam,,,,,,,,,,,143703,143703,1
Melur North,69271,74547,,,,,,,,,,143818,2
Virugampakkam,,,,,,,,,,,144069,144069,1
Uttiramerur,74503,70385,,,,,,,,,,144888,2
Thiruverambur,66825,81491,,,,,,,,,,148316,2
Thuraiyur,,,,,,,,,,,148452,148452,1
Gangavalli,,,,,,,,,,,150047,150047,1
Tiruchuli,,,,,,,,,,,150146,150146,1
Mailam,,,,,,,,,,,151434,151434,1
