PARTY,ST_NAME,YEAR,AC_NO,rank,AGE,VOTES,polled_votes,Total seats,Winning Seats
ADMK,Pondicherry,312301,2344,317,1393.0,672221,2058379,157,55.0
AIFB,Pondicherry,2006,20,9,37.0,61,34330,1,
AIIC(T),Pondicherry,9980,46,29,,575,68160,5,
AINRC,Pondicherry,34187,196,19,836.0,221552,399409,17,15.0
AMI,Pondicherry,3980,49,11,,89,25506,2,
BJP,Pondicherry,178098,1322,352,2054.0,59277,1538563,89,1.0
BKUS,Pondicherry,1991,6,5,,29,14631,1,
BSP,Pondicherry,80086,604,240,901.0,3046,709269,40,
BVVP,Pondicherry,2006,30,3,44.0,464,18117,1,
CPI,Pondicherry,91167,595,97,108.0,185398,509256,46,12.0
CPI(M),Pondicherry,6018,71,7,157.0,10856,42449,3,
CPI(ML)(L),Pondicherry,22056,173,75,315.0,1187,235668,11,
CPM,Pondicherry,41775,429,63,126.0,56372,281378,21,2.0
DMDK,Pondicherry,50155,334,100,1000.0,21371,487276,25,
DMK,Pondicherry,395275,2783,400,1008.0,828295,2264990,199,75.0
ICS,Pondicherry,7940,13,17,,804,37991,4,
ICS(SCS),Pondicherry,3981,6,8,,195,10227,2,
IJK,Pondicherry,10055,67,29,189.0,719,127424,5,
INC,Pondicherry,474453,3971,383,1603.0,1201304,2705685,239,128.0
INC(U),Pondicherry,17820,114,34,,5171,76438,9,
IND,Pondicherry,1470650,11068,4179,6753.0,458854,10901874,738,27.0
JD,Pondicherry,39842,316,41,,84826,264199,20,6.0
JD(S),Pondicherry,2006,12,2,56.0,3557,17428,1,
JD(U),Pondicherry,8034,40,24,106.0,8992,95962,4,
JNP,Pondicherry,136771,955,211,,109690,672965,69,12.0
JNP(S),Pondicherry,7920,45,19,,406,26902,4,
JP,Pondicherry,45843,269,118,,2716,335005,23,
LJNSP,Pondicherry,14007,100,44,,801,118420,7,
LJP,Pondicherry,16068,82,58,335.0,786,187676,8,
LKD,Pondicherry,5955,35,14,,266,39425,3,
LKD(B),Pondicherry,7960,54,28,,235,63735,4,
MDMK,Pondicherry,40005,254,81,145.0,33544,334055,20,1.0
MGRK,Pondicherry,5988,31,14,,1295,56242,3,
MUL,Pondicherry,1985,28,3,,447,6966,1,
NCO,Pondicherry,31584,216,29,,41348,120662,16,5.0
PB,Pondicherry,6013,29,19,38.0,454,52786,3,
PF,Pondicherry,33388,201,37,,30506,100183,17,4.0
PMC,Pondicherry,36063,206,32,436.0,102004,282511,18,7.0
PMK,Pondicherry,111667,832,186,136.0,125403,892027,56,3.0
PMM,Pondicherry,11946,82,29,,414,72195,6,
RJD,Pondicherry,2001,8,6,,169,22254,1,
RPI,Pondicherry,2001,13,6,,36,15735,1,
RPI(A),Pondicherry,2006,13,6,35.0,51,18573,1,
RSP,Pondicherry,4017,37,10,101.0,347,55289,2,
SDPI,Pondicherry,2011,28,5,38.0,243,22542,1,
TDP,Pondicherry,1985,30,3,,1248,6957,1,
TMC(M),Pondicherry,23987,162,20,,77875,189006,12,7.0
TMM,Pondicherry,43791,296,128,,732,329334,22,
