YEAR,ADK(JL),ADMK,CPI,CPI(M),CPM,DMDK,DMK,FBL,INC,IND,JNP,MDMK,NCO,PMK,PT,SWA,TMC(M),TMK
1967,0.0,0.0,0.0,0.0,1.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1971,0.0,0.0,1.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1977,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,2.0,0.0,0.0,0.0,4.0,0.0,46.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1996,0.0,0.0,3.0,0.0,1.0,0.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0
2001,0.0,59.0,4.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0
2006,0.0,1.0,1.0,2.0,0.0,0.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2011,0.0,101.0,1.0,0.0,5.0,9.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
