party,color
DMK,#c0392b
IND,#bdc3c7
SWA,#222
INC,#2ecc71
CPM,#ff5757
PSP,#222
SSP,#222
FBL,#222
CPI,#ff5757
NCO,#222
MUL,#222
ADMK,#b2d33c
JNP,#9A9E56
GKC,#222
AKD,#222
ADK(JL),#222
ADK(JR),#222
PMK,#d35400
TMK,#222
ICS(SCS),#222
JD,#222
TMC(M),#4747ff
JP,#222
BJP,#ff7f0e
MDMK,#9b59b6
CPI(M),#ff5757
VCK,#222
DMDK,#f1c40f
MNMK,#222
PT,#222
AIFB,#FFAD01
Others,#222
NCO,#1F77B4
AINRC,#B78332
PF,#222
PMC,#222
AITC,#4A9F88
FBL,#014BC6
RSP,#F8F907
BAC,#A99888
PSP,#FFD380
SUC,#222
SSP,#222
FB,#222
KMPP,#222
BJS,#222
GNLF,#222
WBSP,#222
IGL,#222
LSS,#222
FBL(MG),#222
RCI,#222
FBM,#222
MFB,#222
WPI,#222
ICS,#222
GOJAM,#222
JKP,#222
HMS,#222
MUL,#222
PML,#222
GL,#222
DSP(P),#222
FBL(RG),#222
BBC,#222
JKP(N),#222
SWA,#222
NDF,#222
RJD,#222
FB(S),#222
SUCI,#222
SBP,#222
RCPI(RB),#222
SP,#222
DSP(PC),#222
