constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011
Anna Nagar,,,DMK,DMK,DMK,DMK,INC,DMK,DMK,DMK,ADMK
Arakkonam,DMK,DMK,ADMK,ADMK,DMK,DMK,INC,DMK,ADMK,DMK,ADMK
Arani,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMDK
Athoor(dindigul),DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK
Chepauk,,,DMK,DMK,DMK,DMK,INC,DMK,DMK,DMK,DMK
Cheyyar,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,PMK,INC,ADMK
Coimbatore North,DMK,DMK,ADMK,ADMK,DMK,DMK,INC,DMK,INC,ADMK,ADMK
Coonoor,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,TMC,DMK,DMK
Cuddalore,DMK,DMK,ADMK,DMK,INC,DMK,INC,DMK,DMK,DMK,ADMK
Dharapuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,ADMK
Dharmapuri,DMK,DMK,JNP,ADMK,DMK,DMK,INC,DMK,PMK,PMK,DMDK
Egmore,DMK,DMK,DMK,INC,DMK,DMK,DMK,DMK,DMK,DMK,DMDK
Erode,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,
Gingee,DMK,DMK,DMK,DMK,INC,DMK,INC,DMK,ADMK,DMK,PMK
Gudalur,INC,Others,DMK,DMK,ADMK,INC,ADMK,DMK,ADMK,DMK,DMK
Harbour,IND,IND,DMK,DMK,DMK,DMK,DMK,DMK,DMK,DMK,ADMK
Ilayangudi,DMK,DMK,CPI,CPI,ADMK,DMK,ADMK,DMK,ADMK,DMK,
Kadaladi,DMK,DMK,ADMK,ADMK,DMK,DMK,ADMK,DMK,TMC,DMK,
Kalasapakkam,INC,DMK,DMK,DMK,ADMK,DMK,INC,DMK,ADMK,ADMK,ADMK
Kallakurichi,DMK,DMK,ADMK,INC,IND,DMK,ADMK,DMK,ADMK,DMK,ADMK
Kandamangalam,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,
Katpadi,DMK,DMK,ADMK,CPI,ADMK,DMK,ADMK,DMK,DMK,DMK,DMK
Kattumannarkoil,INC,DMK,DMK,DMK,INC,IND,ADMK,DMK,DMK,VCK,ADMK
