constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011
Hosur,Others,Others,INC,INC,INC,INC,INC,JD,INC,INC,INC
Kollachal,INC,NCO,JNP,DMK,ADMK,INC,INC,DMK,ADMK,INC,INC
Natham,,,INC,INC,INC,INC,INC,TMC,ADMK,ADMK,ADMK
Papanasam,INC,DMK,INC,INC,INC,INC,INC,TMC,TMC,ADMK,ADMK
Pudukkottai,INC,NCO,INC,INC,INC,DMK,INC,DMK,ADMK,ADMK,CPI
Sriperumbudur,DMK,DMK,ADMK,INC,INC,DMK,INC,DMK,INC,INC,ADMK
Tenkasi,INC,DMK,INC,ADMK,INC,INC,INC,TMC,ADMK,DMK,ADMK
Tindivanam,INC,DMK,INC,INC,INC,DMK,INC,DMK,ADMK,ADMK,ADMK
Tiruvadanai,Others,DMK,INC,ADMK,INC,INC,INC,TMC,TMC,INC,DMK
Udhagamandalam,Others,DMK,ADMK,INC,INC,INC,INC,DMK,INC,INC,ADMK
Vilavancode,INC,NCO,CPM,CPM,INC,INC,INC,CPM,CPM,CPM,INC
