constituency,1957,1960,1965,1967,1970,1977,1980,1982,1987,1991,1996,2001,2006,2011,2016
Adoor,,,KEC,CPI,CPI,INC,CPM,INC,CPM,INC,INC,INC,INC,CPI,CPI
Akalakunnam,,,KEC,KEC,KEC,,,,,,,,,,
Alappuzha,CPI,INC,INC,CPI,CPI,CPI,CPI,NDP,CPI,NDP,INC,INC,INC,CPM,CPM
Alathur,CPI,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM
Aluva,INC,INC,INC,IND,INC,INC,INC(U),IND,INC,INC,INC,INC,CPM,INC,INC
Ambalapuzha,,,INC,CPM,CPM,RSP,CPM,IND,INC,CPM,CPM,INC,CPM,CPM,CPM
Andathodu,CPI,ML,,,,,,,,,,,,,
Angamaly,,,KEC,CPM,CPM,CPM,CPM,KEC,KEC,INC,INC,INC,JD(S),JD(S),INC
Aranmula,INC,INC,KEC,SSP,IND,INC,INC,INC,INC,NDP,IND,INC,CPM,INC,CPM
Eranad,CPI,PSP,INC,SSP,SOP,RSP,RSP,RSP,RSP,INC,INC,INC,INC,IUML,IUML
Aroor,INC,INC,CPM,CPM,CPM,CPI,CPM,CPM,CPM,CPM,JPSS,JPSS,CPM,CPM,CPM
Aruvikkara,,,,,,,,,,,,,,INC,INC
Attingal,CPI,INC,CPM,CPM,INC,INC,INC(U),IND,CPM,INC,CPM,INC,CPM,CPM,CPM
Azhikode,,,,,,CPM,CPM,CPM,IND,CPM,CPM,CPM,CPM,IUML,IUML
Badagara,CPI,PSP,SSP,SSP,ISP,BLD,JNP,JNP,JNP,JD,JD,JD(S),JD(S),,
Balusseri,PSP,PSP,SSP,SSP,INC,BLD,INC(U),ICS,ICS(SCS),ICS(SCS),ICS,NCP,NCP,CPM,CPM
Beypore,,,CPM,CPM,CPM,INC,INC(U),CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Calicut I,INC,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,INC,CPM,INC,CPM,,
Calicut II,INC,INC,IND,IUML,IND,MLO,IML,IML,CPM,IUML,CPM,IUML,INL,,
Cannanore I,CPI,INC,,,,,,,,,,,,,
Cannanore I I,CPI,INC,,,,,,,,,,,,,
Chadayamangalam,CPI,CPI,SSP,SSP,CPI,CPI,CPI,CPI,CPI,CPI,CPI,INC,CPI,CPI,CPI
Chalakkudy,CPI,PSP,INC,INC,INC,KEC,KEC,JNP,JNP,INC,INC,INC,CPM,CPM,CPM
Changanassery,CPI,INC,KEC,CPI,KEC,KEC,KEC,KEC,IND,KEC,KEC(M),KEC(M),KEC(M),KEC(M),KEC(M)
Chathannur,,,IND,CPI,CPI,CPI,CPI,INC,CPI,INC,CPI,INC,CPI,CPI,CPI
Chavara,,,,,,RSP,RSP,RSP,RSP,RSP,RSP,RSPK(B),RSP,KRSP,CPM(K)
Chelakkara,,,INC,CPM,INC,INC,INC,CPM,INC,INC,CPM,CPM,CPM,CPM,CPM
Chengannur,CPI,INC,KEC,CPM,CPM,IND,IND,IND,ICS(SCS),INC,INC,INC,INC,INC,CPM
Cherpu,,,,,,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,,
Cherthala,,,,,,,,,,,,,,CPI,CPI
Chevayur,INC,CPI,,,,,,,,,,,,,
Chirayinkeezhu,,,,,,,,,,,,,,CPI,CPI
Chittur,CPI,CPI,SSP,SSP,SOP,CPI,JNP,JNP,INC,JD,INC,INC,INC,INC,JD(S)
Coyalmannam,,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,,
Cranganore,CPI,INC,INC,CPI,CPI,,,,,,,,,,
Devikulam,CPI,INC,CPM,INC,CPM,INC,CPM,CPM,CPM,INC,INC,INC,CPM,CPM,CPM
Dharmadam,,,,,,,,,,,,,,CPM,CPM
Edakkad,,,CPM,CPM,INC,MLO,IML,ICS,CPM,CPM,CPM,CPM,C(S),,
Elapully,CPI,CPI,,,,,,,,,,,,,
Elathur,,,,,,,,,,,,,,NCP,NCP
Eravipuram,CPI,CPI,INC,IND,RSP,RSP,RSP,RSP,RSP,IUML,RSP,RSP,RSP,RSP,CPM
Eranakulam,INC,INC,INC,INC,INC,INC,INC,INC,IND,INC,INC,INC,INC,INC,INC
Ettumanoor,INC,INC,KEC,SSP,SOP,BLD,CPM,KEC,IND,KEC,KEC(M),KEC(M),KEC(M),CPM,CPM
Guruvayoor,IND,INC,IND,IUML,IND,IUML,IUML,IUML,IUML,IUML,IND,IUML,CPM,CPM,CPM
Haripad,IND,INC,INC,CPM,CPM,IND,CPM,INC,INC,INC,RSP,CPM,INC,INC,INC
Hosdrug,PSP,PSP,SSP,SSP,PSP,CPI,CPI,CPI,INC,CPI,CPI,CPI,CPI,,
Idukki,,,,,,KEC,INC,INC,INC,KEC,JD,KEC(M),KEC(M),KEC(M),KEC(M)
Irikkur,CPI,CPI,CPM,CPM,CPM,INC,INC(U),IND,INC,INC,INC,INC,INC,INC,INC
Irinjalakkuda,CPI,CPI,INC,CPI,KSP,INC,INC(U),IND,IND,IND,IND,KEC(M),KEC(M),KEC(M),CPM
Kaduthuruthy,INC,INC,KEC,KEC,KEC,KEC,KEC,IND,IND,KEC,KEC,KEC(M),KEC,KEC(M),KEC(M)
Kaipamangalam,,,,,,,,,,,,,,CPI,CPI
Kalamassery,,,,,,,,,,,,,,IUML,IUML
Kalliasseri,,,,,,,,,,,,,,CPM,CPM
Kallooppara,INC,INC,KEC,INC,KEC,KEC,KEC,KEC,ICS(SCS),IND,KEC,KEC(M),KEC(M),,
Kalpetta,,,IND,IND,INC,INC,JNP,IND,JNP,INC,INC,INC,JD(S),SJD,CPM
Kanayannur,CPI,CPI,,,,,,,,,,,,,
Kanhangad,,,,,,,,,,,,,,CPI,CPI
Kanjirappally,INC,INC,KEC,CPM,KEC,KEC,KEC,KEC,CPM,INC,INC,INC,IND,KEC(M),KEC(M)
Kannur,,,IND,IUML,IND,BLD,JNP,IND,INC,INC,INC,INC,INC,INC,CON(S)
Karikode,INC,INC,,,,,,,,,,,,,
Karimannoor,,,KEC,IND,KEC,,,,,,,,,,
Karthigapally,CPI,CPI,,,,,,,,,,,,,
Karunagappally,INC,IND,INC,IND,RSP,CPI,CPI,IND,CPI,CPI,CPI,JPSS,CPI,CPI,CPI
Kasaragod,INC,INC,IND,IND,IND,IUML,IUML,IUML,IUML,IUML,IUML,IUML,IUML,IUML,IUML
Kattakkada,,,,,,,,,,,,,,INC,CPM
Kayamkulam,CPI,CPI,CPM,SSP,INC,INC,INC(U),IND,CPM,INC,CPM,INC,CPM,CPM,CPM
Kazhakkoottam,,,INC,IUML,SOP,INC,INC(U),IND,IND,CPM(K),CPM,IND,INC,INC,CPM
Kilimanoor,,,CPM,CPM,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,,
Kochi,,,,,,,,,,,,,,INC,CPM
Kodakara,,,CPI,CPI,CPI,KEC,KEC,ICS,INC,INC,INC,INC,CPM,,
Kodungallur,,,,,,CPI,CPI,CPI,CPI,CPI,CPI,JPSS,CPI,INC,CPI
Koduvally,INC,INC,,,,IUML,IUML,IUML,IUML,IUML,IUML,IUML,IND,IUML,IND
Kollam,,,,,,,,,,,,,,CPM,CPM
Kollengode,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,INC,INC,CPM,,
Kondotty,IND,ML,ML,IUML,IUML,IUML,IUML,IUML,IUML,IUML,IUML,IUML,IUML,IUML,IUML
Kongad,,,,,,,,,,,,,,CPM,CPM
Konni,,,INC,CPI,INC,INC,CPM,CPM,IND,CPM,INC,INC,INC,INC,INC
Kothakulangara,INC,INC,,,,,,,,,,,,,
Kothamangalam,,,KEC,CPM,IND,KEC,KEC,KEC,IND,INC,INC,INC,KEC,KEC(M),CPM
Kottakkal,,,,,,,,,,,,,,IUML,IUML
Kottarakkara,CPI,PSP,KEC,CPI,INC,KEC,KEC,KEC,KEC,IND,KEC(B),KEC(B),CPM,CPM,CPM
Kottayam,CPI,INC,CPM,CPM,CPM,CPI,CPM,IND,CPM,CPM,CPM,INC,CPM,INC,INC
Kovalam,,,INC,IND,IND,IND,INC,IND,LKD,JD,JD,JD(S),INC,JD(S),INC
Kozhikode North,,,,,,,,,,,,,,CPM,CPM
Kozhikode South,,,,,,,,,,,,,,IUML,IUML
Krishnapuram,CPI,PSP,INC,CPI,CPI,,,,,,,,,,
Kundara,,,INC,CPM,INC,INC,CPM,IND,CPM,INC,CPM,INC,CPM,CPM,CPM
Kunnamangalam,INC,INC,SSP,SSP,IUML,MLO,IML,IML,CPM,CPM,CPM,IND,IND,IND,IND
Kunnamkulam,CPI,INC,CPM,CPM,CPM,INC,INC(U),CPM,CPM,INC,CPM,INC,CPM,CPM,CPM
Kunnathunad,,,INC,CPM,RSP,CPM,CPM,INC,INC,INC,CPM,INC,CPM,INC,INC
Kunnathur,CPI,INC,KEC,IND,RSP,RSP,RSP,IND,RSP,RSP,RSP,RSP,RSP,RSP,IND
Kuthuparamba,PSP,PSP,SSP,SSP,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,SJD,CPM
