YEAR,PARTY,VOTES,polled_votes
1964,INC,89754,170163
1964,IND,49903,170163
1964,PF,30506,170163
1969,CPI,23115,183134
1969,DMK,61717,183134
1969,INC,78052,183134
1969,IND,20250,183134
1974,ADMK,60812,218498
1974,CPI,18468,218498
1974,CPM,2737,218498
1974,DMK,47823,218498
1974,INC,34840,218498
1974,IND,12470,218498
1974,NCO,41348,218498
1977,ADMK,69873,225698
1977,CPI,12464,225698
1977,DMK,30441,225698
1977,INC,39343,225698
1977,IND,13872,225698
1977,JNP,59705,225698
1980,ADMK,45623,245325
1980,CPI,13578,245325
1980,CPM,4944,245325
1980,DMK,68030,245325
1980,INC,58680,245325
1980,INC(U),5171,245325
1980,IND,26001,245325
1980,JNP,22892,245325
1980,JNP(S),406,245325
1985,ADMK,47521,301724
1985,BJP,158,301724
1985,CPI,14293,301724
1985,CPM,5393,301724
1985,DMK,87754,301724
1985,ICS,804,301724
1985,INC,98601,301724
1985,IND,19273,301724
1985,JNP,25966,301724
1985,LKD,266,301724
1985,MUL,447,301724
1985,TDP,1248,301724
1990,ADMK,76337,420171
1990,AMI,89,420171
1990,BJP,2154,420171
1990,BSP,461,420171
1990,CPI,21323,420171
1990,CPM,13042,420171
1990,DMK,101127,420171
1990,ICS(SCS),178,420171
1990,INC,105207,420171
1990,IND,33557,420171
1990,JD,38145,420171
1990,JNP,1127,420171
1990,LKD(B),235,420171
1990,PMK,26820,420171
1990,TMM,369,420171
1991,ADMK,67792,390929
1991,BJP,3045,390929
1991,BKUS,29,390929
1991,CPI,19503,390929
1991,CPM,10509,390929
1991,DMK,96607,390929
1991,ICS(SCS),17,390929
1991,INC,117289,390929
1991,IND,35739,390929
1991,JD,26321,390929
1991,JP,1899,390929
1991,PMK,11402,390929
1991,PMM,414,390929
1991,TMM,363,390929
1996,ADMK,57678,460293
1996,AIIC(T),575,460293
1996,BJP,5217,460293
1996,BSP,571,460293
1996,CPI,29964,460293
1996,CPI(ML)(L),123,460293
1996,CPM,5996,460293
1996,DMK,105392,460293
1996,INC,116618,460293
1996,IND,47126,460293
1996,JD,20360,460293
1996,JP,692,460293
1996,MDMK,14657,460293
1996,MGRK,1295,460293
1996,PMK,11544,460293
1996,TMC(M),42485,460293
2001,ADMK,59926,477107
2001,BJP,22164,477107
2001,CPI,8835,477107
2001,CPI(ML)(L),260,477107
2001,CPM,5911,477107
2001,DMK,83679,477107
2001,INC,108700,477107
2001,IND,51402,477107
2001,JD(U),8769,477107
2001,JP,125,477107
2001,LJNSP,801,477107
2001,MDMK,4910,477107
2001,PB,377,477107
2001,PMC,48865,477107
2001,PMK,36788,477107
2001,RJD,169,477107
2001,RPI,36,477107
2001,TMC(M),35390,477107
2006,ADMK,90699,565289
2006,AIFB,61,565289
2006,BJP,17356,565289
2006,BSP,1107,565289
2006,BVVP,464,565289
2006,CPI,17314,565289
2006,CPI(ML)(L),281,565289
2006,CPM,10856,565289
2006,DMDK,15405,565289
2006,DMK,71173,565289
2006,INC,169071,565289
2006,IND,78666,565289
2006,JD(S),3557,565289
2006,LJP,364,565289
2006,MDMK,13977,565289
2006,PMC,53139,565289
2006,PMK,21507,565289
2006,RPI(A),51,565289
2006,RSP,241,565289
2011,ADMK,95960,697900
2011,AINRC,221552,697900
2011,BJP,9183,697900
2011,BSP,907,697900
2011,CPI,6541,697900
2011,CPI(ML)(L),523,697900
2011,CPM,7840,697900
2011,DMDK,5966,697900
2011,DMK,74552,697900
2011,IJK,719,697900
2011,INC,185149,697900
2011,IND,70595,697900
2011,JD(U),223,697900
2011,LJP,422,697900
2011,PB,77,697900
2011,PMK,17342,697900
2011,RSP,106,697900
2011,SDPI,243,697900
2016,ADMK,134597,800363
2016,AIMK,276,800363
2016,AINRC,225082,800363
2016,BJP,19303,800363
2016,BSP,579,800363
2016,CPI,8567,800363
2016,CPI(ML)(L),219,800363
2016,CPM,3014,800363
2016,DMDK,850,800363
2016,DMK,70836,800363
2016,IJK,639,800363
2016,INC,244886,800363
2016,IND,62884,800363
2016,JD(U),51,800363
2016,MDMK,755,800363
2016,NOTA,13240,800363
2016,NTK,3888,800363
2016,PMK,5666,800363
2016,RSP,63,800363
2016,SDPI,846,800363
2016,TVVK,187,800363
2016,VCK,3915,800363
2021,ADMK,34623,836562
2021,AINRC,216249,836562
2021,AMMK,4637,836562
2021,BJP,114298,836562
2021,BSP,1169,836562
2021,CPI,7522,836562
2021,CPM,479,836562
2021,DMDK,2524,836562
2021,DMK,154858,836562
2021,IJK,996,836562
2021,INC,131393,836562
2021,IND,106098,836562
2021,JD(U),141,836562
2021,MIP,145,836562
2021,MNM,15835,836562
2021,NOTA,10803,836562
2021,NTK,28189,836562
2021,PB,60,836562
2021,PDP,199,836562
2021,SDPI,711,836562
2021,VCK,5633,836562
2026,ADMK,9399,866139
2026,AINRC,200292,866139
2026,AIPTMMK,270,866139
2026,AJPK,126,866139
2026,AMK,39,866139
2026,BJP,105583,866139
2026,CPI,402,866139
2026,CPI(M),556,866139
2026,DMK,119036,866139
2026,DMMK,102,866139
2026,INC,151934,866139
2026,IND,75185,866139
2026,IUML,800,866139
2026,LJD,127,866139
2026,LJK,19903,866139
2026,NMK,15768,866139
2026,NOTA,6633,866139
2026,NTK,11813,866139
2026,Others,299,866139
2026,PMK,1057,866139
2026,PRP,24,866139
2026,RSD(R),47,866139
2026,TMTK,695,866139
2026,TVK,144817,866139
2026,VCK,1232,866139
