YEAR,PARTY,VOTES,polled_votes
1967,AIFB,44714,15310702
1967,BJS,22745,15310702
1967,CPI,275932,15310702
1967,CPM,623114,15310702
1967,DMK,6230552,15310702
1967,INC,6293378,15310702
1967,IND,757373,15310702
1967,PSP,136188,15310702
1967,RPI,31286,15310702
1967,SSP,84188,15310702
1967,SWA,811232,15310702
1971,AIFB,268721,15756801
1971,BJS,9516,15756801
1971,CPI,364803,15756801
1971,CPM,259298,15756801
1971,DMK,7654935,15756801
1971,IND,965379,15756801
1971,IUML,69634,15756801
1971,NCO,5513894,15756801
1971,PSP,147985,15756801
1971,SOP,37491,15756801
1971,SWA,465145,15756801
1977,ADMK,5194876,17108146
1977,AIFB,50831,17108146
1977,CPI,496955,17108146
1977,CPM,477835,17108146
1977,DMK,4258771,17108146
1977,HMS,423,17108146
1977,INC,2994535,17108146
1977,IND,778332,17108146
1977,JNP,2851884,17108146
1977,RPI,3704,17108146
1980,ADMK,7303010,18845006
1980,AIFB,65536,18845006
1980,BJP,13177,18845006
1980,CPI,501032,18845006
1980,CPM,596406,18845006
1980,DMK,4164389,18845006
1980,GKC,322440,18845006
1980,INC,3941900,18845006
1980,INC(U),52119,18845006
1980,IND,1352622,18845006
1980,JNP,524976,18845006
1980,JNP(SR),762,18845006
1980,RPI,6637,18845006
1984,ADMK,8030809,21686473
1984,AKD,47212,21686473
1984,BJP,54390,21686473
1984,CPI,567527,21686473
1984,CPM,597622,21686473
1984,DMK,6362770,21686473
1984,GKC,120704,21686473
1984,ICJ,110121,21686473
1984,INC,3529708,21686473
1984,IND,1619921,21686473
1984,JNP,493374,21686473
1984,TNC,152315,21686473
1989,ADK(JL),5098687,24111468
1989,ADK(JR),2214965,24111468
1989,ADMK,148630,24111468
1989,AIFB,30657,24111468
1989,BJP,84865,24111468
1989,CPI,295170,24111468
1989,CPM,851351,24111468
1989,DMK,8001222,24111468
1989,ICJ(BG),1522,24111468
1989,ICS(SCS),2728,24111468
1989,IFT,43505,24111468
1989,INC,4780714,24111468
1989,IND,2164484,24111468
1989,IUML,86912,24111468
1989,JNP,282647,24111468
1989,LKD,257,24111468
1989,TNC(K),23152,24111468
1991,ADMK,10940966,24649408
1991,AIFB,38460,24649408
1991,AJP,329,24649408
1991,AMI,15407,24649408
1991,BJP,419229,24649408
1991,BSP,3481,24649408
1991,CPI,305143,24649408
1991,CPM,777532,24649408
1991,DMK,5535668,24649408
1991,GMK,53,24649408
1991,ICS(SCS),57249,24649408
1991,IFTP,6325,24649408
1991,IJP,76,24649408
1991,IML,7618,24649408
1991,INC,3743859,24649408
1991,IND,390227,24649408
1991,IPF,1005,24649408
1991,IUML,64307,24649408
1991,JD,415947,24649408
1991,JP,51564,24649408
1991,LKD,206,24649408
1991,MGMK,91,24649408
1991,MPP,184,24649408
1991,PMK,1452982,24649408
1991,PMM,67,24649408
1991,RPI,802,24649408
1991,TDI,642,24649408
1991,TLK,149,24649408
1991,TMC,371645,24649408
1991,TMM,40275,24649408
1991,TMUL,7821,24649408
1991,UMSK,99,24649408
1996,ADMK,5831383,27154721
1996,AIFB,75324,27154721
1996,AIIC(T),209942,27154721
1996,AIVMK,366,27154721
1996,APMK,137,27154721
