PARTY,ST_NAME,YEAR,AC_NO,rank,AGE,VOTES,polled_votes,Total seats,Winning Seats
ABHM,Tamil Nadu,48189,4217,181,1028,13297,3314984,24,
ADK(JL),Tamil Nadu,393822,22697,472,0,5098687,20404662,198,27.0
ADK(JR),Tamil Nadu,348075,20360,650,0,2214965,18184463,175,2.0
ADMK,Tamil Nadu,2722236,160489,1870,17363,71183909,151535303,1366,904.0
ADSMK,Tamil Nadu,4022,127,18,97,1748,365699,2,
AIFB,Tamil Nadu,122371,10034,414,2424,191622,8810867,61,1.0
AIFB(S),Tamil Nadu,2006,116,10,45,616,244194,1,
AIIC(T),Tamil Nadu,91816,6496,215,0,209942,4959623,46,
AIJMK,Tamil Nadu,22121,898,91,489,11045,1837656,11,
AIMF,Tamil Nadu,2011,216,5,51,1303,131879,1,
AIPPMR,Tamil Nadu,8044,184,38,227,4033,659634,4,
AIVMK,Tamil Nadu,5988,170,30,0,366,376404,3,
AIVP,Tamil Nadu,4012,124,9,116,1868,250686,2,
AJP,Tamil Nadu,1991,40,4,0,329,119682,1,
AKD,Tamil Nadu,1984,76,1,0,47212,82565,1,1.0
AMI,Tamil Nadu,51766,2626,151,0,15407,2677927,26,
APM,Tamil Nadu,8044,558,35,171,2549,592722,4,
APMK,Tamil Nadu,3997,35,17,0,384,154647,2,
ATMK,Tamil Nadu,41936,2985,174,54,6553,2452554,21,
BDMK,Tamil Nadu,6018,290,33,140,1129,545240,3,
BJP,Tamil Nadu,1497371,87244,3180,19224,3443866,99026810,748,5.0
BJS,Tamil Nadu,57063,2377,102,0,32261,1963004,29,
BMC,Tamil Nadu,1996,4,10,0,52,65124,1,
BSP,Tamil Nadu,790989,45712,2524,14493,495167,57440335,394,
CNMK,Tamil Nadu,2001,119,2,0,40421,124623,1,
CPI,Tamil Nadu,333247,24289,372,1023,5085976,15460298,168,58.0
CPI(M),Tamil Nadu,26078,1696,17,616,872674,2046277,13,9.0
CPI(ML)(L),Tamil Nadu,84157,4837,297,913,39519,6855659,42,
CPM,Tamil Nadu,424716,29651,452,657,5998430,20458104,214,72.0
DFB,Tamil Nadu,10005,632,32,0,3720,582452,5,
