constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011
Acharapakkam,SWA,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,
Anaicut,,,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,PMK
Andhiyur,DMK,DMK,ADMK,ADMK,ADMK,ADK(JL),ADMK,DMK,PMK,DMK,ADMK
Andimadam,DMK,DMK,ADMK,ADMK,ADMK,DMK,INC,PMK,PMK,DMK,
Arcot,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,ADMK
Bhavani,DMK,DMK,ADMK,ADMK,ADMK,IND,ADMK,TMC(M),ADMK,PMK,ADMK
Chengalpattu,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,PMK,PMK,DMDK
Cheyyar,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,PMK,INC,ADMK
Dharapuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,ADMK
Dharmapuri,DMK,DMK,JNP,ADMK,DMK,DMK,INC,DMK,PMK,PMK,DMDK
Edappadi,DMK,DMK,ADMK,ADMK,INC,ADK(JL),ADMK,PMK,PMK,PMK,ADMK
Gingee,DMK,DMK,DMK,DMK,INC,DMK,INC,DMK,ADMK,DMK,PMK
Jayankondam,DMK,DMK,ADMK,INC,INC,DMK,INC,DMK,ADMK,ADMK,PMK
Kancheepuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,ADMK
Kapilamalai,DMK,DMK,ADMK,ADMK,INC,ADK(JL),ADMK,DMK,PMK,PMK,
Kaveripattinam,INC,DMK,ADMK,ADMK,AKD,DMK,ADMK,DMK,ADMK,PMK,
Melmalayanur,DMK,DMK,ADMK,ADMK,ADMK,DMK,INC,DMK,ADMK,PMK,
Mettur,PSP,PSP,ADMK,ADMK,ADMK,CPM,ADMK,DMK,ADMK,PMK,DMDK
Mugaiyur,DMK,DMK,ADMK,INC,ADMK,DMK,ADMK,DMK,ADMK,PMK,
Natrampalli,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,
Omalur,DMK,DMK,ADMK,ADMK,INC,ADK(JL),ADMK,TMC(M),ADMK,PMK,ADMK
Panruti,DMK,DMK,ADMK,ADMK,ADMK,DMK,PMK,DMK,PMK,PMK,DMDK
Pennagaram,INC,DMK,JNP,GKC,ADMK,IND,ADMK,PMK,PMK,DMK,CPI
Peranamallur,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,
Poompuhar,,,DMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,ADMK
Poonamallee,,,DMK,DMK,INC,DMK,INC,TMC(M),PMK,INC,ADMK
Salem-Ii,DMK,DMK,JNP,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,
Sankarapuram,DMK,DMK,INC,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,ADMK
Taramangalam,DMK,DMK,INC,IND,ADMK,ADK(JL),INC,PMK,PMK,PMK,
Tiruppattur(vellore),DMK,DMK,DMK,DMK,INC,DMK,ADMK,DMK,PMK,PMK,ADMK
Tirupporur,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,
Tiruttani,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,PMK,ADMK,DMDK
Vandavasi,DMK,DMK,ADMK,ADMK,INC,DMK,ADMK,DMK,PMK,DMK,ADMK
Vridhachalam,INC,DMK,ADMK,INC,INC,JNP,ADMK,DMK,PMK,DMDK,DMDK
