YEAR,INC,CPM,CPI,MUL,KEC,RSP,CON,SSP,KEC(M),PSP,INC(U),JNP,IND,Others
1957,38,0,55,0,0,0,0,0,0,8,0,0,13,0
1960,59,0,24,0,0,0,0,0,0,19,0,0,3,9
1965,0,40,3,0,23,0,36,13,0,0,0,0,12,6
1967,9,52,19,14,5,0,0,19,0,0,0,0,15,0
1970,30,29,16,11,12,6,0,0,0,3,0,0,16,10
1977,38,17,23,13,20,9,0,0,0,0,0,0,9,11
1980,17,35,17,14,8,6,0,0,0,0,21,5,5,12
1982,20,26,13,14,6,4,0,0,0,0,0,4,33,20
1987,33,38,16,15,5,5,0,0,0,0,0,7,14,7
1991,55,29,12,19,1,2,0,0,0,0,0,0,4,18
1996,37,40,18,13,6,5,0,0,5,0,0,0,5,11
2001,62,23,7,16,2,2,0,0,9,0,0,0,3,16
2006,24,61,17,7,4,3,0,0,7,0,0,0,5,12
2011,38,45,13,20,0,2,0,0,9,0,0,0,2,11
2016,22,58,19,18,0,0,1,0,6,0,0,0,6,10
