YEAR,INC,DMK,ADMK,AINRC,JNP,CPI,TMC(M),NCO,PMK,CPM,MDMK,BJP,IND,Others
1964,21,0,0,0,0,0,0,0,0,0,0,0,5,4
1969,10,15,0,0,0,3,0,0,0,0,0,0,2,0
1974,7,2,12,0,0,2,0,5,0,1,0,0,1,0
1977,2,3,14,0,7,1,0,0,0,0,0,0,3,0
1980,10,14,0,0,3,0,0,0,0,1,0,0,2,0
1985,15,5,6,0,2,0,0,0,0,0,0,0,2,0
1990,11,9,3,0,0,2,0,0,0,0,0,0,1,4
1991,15,4,6,0,0,1,0,0,0,0,0,0,3,1
1996,9,7,3,0,0,2,5,0,1,0,0,0,2,1
2001,11,7,3,0,0,0,2,0,0,0,0,1,2,4
2006,10,7,3,0,0,1,0,0,2,0,1,0,3,3
2011,7,2,5,15,0,0,0,0,0,0,0,0,1,0
2016,15,2,4,8,0,0,0,0,0,0,0,0,1,0
