YEAR,CPM,INC,AITC,CPI,FBL,RSP,BAC,PSP,AIFB,JNP,IND,Others
1951,0,115,0,23,0,0,0,0,0,0,19,30
1957,0,113,0,37,0,0,0,18,0,0,21,6
1962,0,157,0,50,0,9,0,5,0,0,11,20
1967,43,127,0,16,13,0,34,7,0,0,31,9
1969,80,55,0,30,21,12,33,5,0,0,11,33
1971,113,105,0,13,3,3,5,3,0,0,12,22
1972,14,216,0,35,0,3,0,0,0,0,5,7
1977,178,20,0,2,25,20,0,0,0,29,10,10
1982,174,49,0,7,28,19,0,0,0,0,11,6
1987,187,40,0,11,26,18,0,0,0,0,9,3
1991,189,43,0,5,29,18,0,0,0,0,6,4
1996,157,82,0,6,21,18,0,0,0,0,5,5
2001,143,26,60,7,25,17,0,0,0,0,9,7
2006,176,21,30,8,0,20,0,0,23,0,6,10
2011,40,42,184,2,0,7,0,0,11,0,2,6
