source,target,value,source_color,target_color
ADMK,_ADMK,44,#b2d33c,#b2d33c
ADMK,_CPI,3,#b2d33c,#ff5757
ADMK,_CPI(M),3,#b2d33c,#ff5757
ADMK,_DMK,53,#b2d33c,#c0392b
ADMK,_INC,17,#b2d33c,#2ecc71
ADMK,_MDMK,1,#b2d33c,#9b59b6
ADMK,_PMK,11,#b2d33c,#d35400
BJP,_ADMK,1,#ff7f0e,#b2d33c
BJP,_INC,2,#ff7f0e,#2ecc71
BJP,_IND,1,#ff7f0e,#bdc3c7
CPI,_ADMK,2,#ff5757,#b2d33c
CPI,_CPI,2,#ff5757,#ff5757
CPI,_CPI(M),1,#ff5757,#ff5757
CPM,_ADMK,1,#ff5757,#b2d33c
CPM,_CPI(M),5,#ff5757,#ff5757
DMK,_ADMK,4,#c0392b,#b2d33c
DMK,_DMK,25,#c0392b,#c0392b
DMK,_Others,2,#c0392b,#222
Others,_ADMK,1,#222,#b2d33c
INC,_ADMK,2,#2ecc71,#b2d33c
INC,_INC,5,#2ecc71,#2ecc71
IND,_ADMK,1,#bdc3c7,#b2d33c
IND,_DMK,2,#bdc3c7,#c0392b
MDMK,_DMK,2,#9b59b6,#c0392b
PMK,_ADMK,1,#d35400,#b2d33c
PMK,_DMDK,1,#d35400,#f1c40f
PMK,_DMK,9,#d35400,#c0392b
PMK,_INC,2,#d35400,#2ecc71
PMK,_PMK,7,#d35400,#d35400
TMC(M),_ADMK,4,#4747ff,#b2d33c
TMC(M),_CPI,1,#4747ff,#ff5757
TMC(M),_DMK,5,#4747ff,#c0392b
TMC(M),_INC,8,#4747ff,#2ecc71
TMC(M),_MDMK,5,#4747ff,#9b59b6
