source,target,value,source_color,target_color
ADMK,_ADMK,1,#9DBC2A,#9DBC2A
ADMK,_DMK,1,#9DBC2A,#800000
ADMK,_PMK,1,#9DBC2A,#222
BJP,_CPI,1,#ff7f0e,#DE0000
DMK,_ADMK,1,#800000,#9DBC2A
DMK,_DMK,5,#800000,#800000
DMK,_PMC,1,#800000,#222
INC,_ADMK,1,#019733,#9DBC2A
INC,_DMK,1,#019733,#800000
INC,_INC,6,#019733,#019733
INC,_IND,1,#019733,#888888
INC,_MDMK,1,#019733,#835C91
INC,_PMC,1,#019733,#222
IND,_INC,1,#888888,#019733
IND,_PMK,1,#888888,#F0CC52
PMC,_INC,2,#222,#019733
PMC,_IND,1,#222,#888888
PMC,_PMC,1,#222,#222
TMC(M),_INC,1,#000080,#019733
TMC(M),_IND,1,#000080,#888888
