constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011
Acharapakkam,,DMK,,,,DMK,ADMK,DMK,,,
Andhiyur,,,,,ADMK,,ADMK,DMK,,,ADMK
Andipatti,,,,ADMK,ADMK,,ADMK,,ADMK,ADMK,ADMK
Athoor,,,,,ADMK,,ADMK,DMK,,DMK,DMK
Attur,,,,,INC,,ADMK,DMK,ADMK,,ADMK
Avanashi,,,,,ADMK,,ADMK,DMK,ADMK,,ADMK
Bargur,,,,,ADMK,,ADMK,,ADMK,,ADMK
Bhavani,DMK,,,ADMK,ADMK,,ADMK,TMC(M),ADMK,,ADMK
Chengalpattu,DMK,DMK,,,,,,DMK,,,
Dr. Radhakrishnan Nagar,,,,,,DMK,ADMK,DMK,ADMK,,ADMK
Gobichettipalayam,,,,,ADMK,,ADMK,,ADMK,,ADMK
Gudalur,,,,,,,,DMK,ADMK,DMK,DMK
Kancheepuram,,,,,,DMK,ADMK,DMK,ADMK,,ADMK
Kinathukkadavu,,DMK,,,,,ADMK,,ADMK,,ADMK
Kolathur,,,,,ADMK,,ADMK,DMK,ADMK,,
Krishnagiri,,,,,,,ADMK,DMK,ADMK,,ADMK
Krishnarajapuram,,,,,INC,,ADMK,,ADMK,,ADMK
Kulithalai,,,,,ADMK,,ADMK,,,,ADMK
Kurinjipadi,,,,,,DMK,,DMK,DMK,,ADMK
Marungapuri,,,,,ADMK,,ADMK,,ADMK,,
Mettuppalayam,,,,,ADMK,,ADMK,DMK,ADMK,,ADMK
Modakkurichi,,,ADMK,,,,ADMK,DMK,ADMK,,ADMK
Musiri,,,,,ADMK,,ADMK,DMK,,,ADMK
Omalur,,,,,INC,,ADMK,,ADMK,,ADMK
Orathanadu,,DMK,,,,DMK,ADMK,DMK,,,ADMK
Palacodu,,,,,INC,,ADMK,DMK,ADMK,,ADMK
Palladam,,,,,,,ADMK,DMK,ADMK,,ADMK
Panamarathupatti,,,,,ADMK,,ADMK,,ADMK,,
Perambalur,,,ADMK,,INC,,ADMK,DMK,ADMK,,
Perundurai,,,,,ADMK,,ADMK,,ADMK,,ADMK
Pollachi,,,,,,,ADMK,DMK,ADMK,,ADMK
Rasipuram,,,,,,,ADMK,,ADMK,,ADMK
Saidapet,DMK,,,,,DMK,ADMK,DMK,,,
Sankari,,,ADMK,,,,ADMK,DMK,ADMK,,ADMK
Sivakasi,,,,ADMK,,,ADMK,,,,ADMK
Srirangam,,,,,ADMK,,ADMK,DMK,,,ADMK
Tambaram,,,,,,DMK,INC,DMK,,DMK,
Thirupparankundram,DMK,,,ADMK,,DMK,ADMK,DMK,,,DMDK
Thiruthuraipoondi,,,,CPM,,,,CPI,CPI,CPI,CPI
Thiruvallur,DMK,,,,,DMK,ADMK,DMK,,,ADMK
Thiruvarur,,,,,,CPM,,DMK,,DMK,DMK
Thiruvottiyur,,,,,,DMK,ADMK,DMK,ADMK,,ADMK
Thondamuthur,,DMK,,,ADMK,CPM,ADMK,DMK,TMC(M),,ADMK
Tiruchengodu,DMK,,ADMK,,,,ADMK,DMK,ADMK,,DMDK
Tiruppur,,,,ADMK,,,ADMK,CPI,ADMK,,
Udumalpet,,,,,,,ADMK,DMK,ADMK,,ADMK
Ulundurpet,,,,,ADMK,,ADMK,DMK,ADMK,,ADMK
Uthiramerur,DMK,DMK,,,,,ADMK,DMK,ADMK,,
Valparai,DMK,DMK,,,INC,,ADMK,DMK,,INC,
Vanur,,,,,ADMK,DMK,ADMK,DMK,ADMK,,ADMK
Vedasandur,,,,ADMK,ADMK,,ADMK,DMK,,,ADMK
Veerapandi,DMK,DMK,,,ADMK,,ADMK,DMK,ADMK,,ADMK
Yercaud,,,,,INC,,ADMK,,ADMK,,ADMK
