constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011
Acharapakkam,,DMK,,,,DMK,ADMK,DMK,,,
Alandur,,,,,,DMK,ADMK,DMK,,,
Alangudi,,,,,ADMK,,ADMK,,,,
Alangulam,,,,,ADMK,,INC,DMK,,,
Ambasamudram,,,,,,,ADMK,,,,ADMK
Ambattur,,,,,,,,,,,ADMK
Anaicut,,,,,,,ADMK,DMK,ADMK,,PMK
Andhiyur,,,,,ADMK,,ADMK,DMK,,,ADMK
Andimadam,,,,,,,,,PMK,,
Andipatti,,,,ADMK,ADMK,,ADMK,,ADMK,ADMK,ADMK
Anna Nagar,,,,,,DMK,INC,DMK,,,ADMK
Arakkonam,,,,,,DMK,INC,DMK,ADMK,,ADMK
Arani,DMK,,,,,,ADMK,,,,
Aranthangi,,,,,ADMK,ADK(JL),TMK,,MDMK,,
Aravakurichi,SWA,,,,,,ADMK,,,,
Arcot,,,,,,,ADMK,DMK,,,
Ariyalur,,DMK,,,,,ADMK,TMC(M),,,
Aruppukkottai,,,ADMK,,,,,,,,
Athoor,,,,,ADMK,,ADMK,DMK,,DMK,DMK
Attur,,,,,INC,,ADMK,DMK,ADMK,,ADMK
Avadi,,,,,,,,,,,ADMK
Avanashi,,,,,ADMK,,ADMK,DMK,ADMK,,ADMK
Bargur,,,,,ADMK,,ADMK,,ADMK,,ADMK
Bhavani,DMK,,,ADMK,ADMK,,ADMK,TMC(M),ADMK,,ADMK
Bhavanisagar,,,,,,,ADMK,DMK,,DMK,
Bhuvanagiri,,,,,,DMK,ADMK,,,,
Bodinayakkanur,,,,,,ADK(JL),ADMK,DMK,,,ADMK
Chengalpattu,DMK,DMK,,,,,,DMK,,,
Chengam,,,,,ADMK,,ADMK,DMK,,,
Chepauk,,,,,,,,DMK,,,
Cheranmahadevi,,,,,ADMK,,ADMK,,,,
Cheyyar,,,,,,DMK,ADMK,DMK,,,ADMK
Cheyyur,,,,,,,,,,,ADMK
Chidambaram,,,,,,,,TMC(M),,,
Coimbatore North,,,,,,DMK,,DMK,,,ADMK
Coimbatore South,,,,,,,,TMC(M),,,ADMK
Coonoor,,,,,,,ADMK,DMK,,,
Cuddalore,,,,,,DMK,,DMK,,,ADMK
Cumbum,,,,,,,INC,TMC(M),,,
Dharapuram,DMK,,,,,,ADMK,DMK,PMK,,
Dharmapuri,,,,,,,INC,DMK,,PMK,
Dindigul,,,,,ADMK,,ADMK,DMK,,,CPM
Dr. Radhakrishnan Nagar,,,,,,DMK,ADMK,DMK,ADMK,,ADMK
Edappadi,,,,,INC,,ADMK,,PMK,,ADMK
Egmore,,,,,,DMK,,DMK,,,
Erode,,,,,,DMK,ADMK,DMK,ADMK,,
Erode (West),,,,,,,,,,,ADMK
Gingee,,,,,INC,DMK,INC,DMK,ADMK,,
Gobichettipalayam,,,,,ADMK,,ADMK,,ADMK,,ADMK
Gudalur,,,,,,,,DMK,ADMK,DMK,DMK
Gudiyattam,,,,,,,INC,DMK,ADMK,,
Gummidipoondi,,,,,,,ADMK,DMK,ADMK,,DMDK
Harbour,,,,,,DMK,,DMK,,,ADMK
Harur,,,,,ADMK,,INC,DMK,CPI,,CPM
Hosur,,,,,INC,,,,,,
Ilayangudi,,DMK,,,,,ADMK,,,,
Jayankondam,,,,,INC,,,,ADMK,,
Jolarpet,,,,,,,,,,,ADMK
Kadaladi,,,,,,,ADMK,,,,
Kadambathur,DMK,,,,,,,,,,
Kadayanallur,,,,,,,ADMK,,,,
Kalasapakkam,,,,,,DMK,INC,DMK,ADMK,,ADMK
Kallakurichi,,,,,IND,,ADMK,DMK,,DMK,ADMK
Kancheepuram,,,,,,DMK,ADMK,DMK,ADMK,,ADMK
Kandamangalam,,,,,,DMK,ADMK,DMK,ADMK,,
Kangayam,,DMK,,,,,ADMK,DMK,,,ADMK
Kanniyakumari,,,,,,,ADMK,DMK,,,
Kapilamalai,,,,,,,ADMK,DMK,,,
Karaikudi,,,,,,DMK,ADMK,TMC(M),,,
Karur,,,,,,,ADMK,DMK,INC,,ADMK
Katpadi,,,,,,,ADMK,DMK,,DMK,
Kattumannarkoil,,,,,,,ADMK,,,,ADMK
Kaveripattinam,,,,,,,ADMK,DMK,,,
Kavundampalayam,,,,,,,,,,,ADMK
Killiyoor,,,JNP,,,,,,,INC,INC
Kinathukkadavu,,DMK,,,,,ADMK,,ADMK,,ADMK
Kolathur,,,,,ADMK,,ADMK,DMK,ADMK,,
Kollachal,,,,DMK,,,INC,,,INC,
Kottur,,CPI,,,,,,,,,
Kovilpatti,,,,,,,ADMK,,,,ADMK
Krishnagiri,,,,,,,ADMK,DMK,ADMK,,ADMK
Krishnarajapuram,,,,,INC,,ADMK,,ADMK,,ADMK
Kulithalai,,,,,ADMK,,ADMK,,,,ADMK
Kumarapalayam,,,,,,,,,,,ADMK
Kumbakonam,,,,,INC,,ADMK,DMK,,,
Kunnam,,,,,,,,,,,DMK
Kunnathur,DMK,DMK,,,,,,,,,
Kurinjipadi,,,,,,DMK,,DMK,DMK,,ADMK
Kuttalam,,,,,,DMK,ADMK,DMK,,,
Lalgudi,,,,,INC,DMK,,DMK,,,
Madavaram,,,,,,,,,,,ADMK
Madurai Central,,,,,,,INC,,,,
Madurai East,,,,,,,ADMK,,,,ADMK
Madurai North,,,,,,,,,,,ADMK
Madurai South,,,,,,,,,,,CPM
Madurai West,CPM,,,ADMK,,,INC,DMK,,,ADMK
Maduravoyal,,,,,,,,,,,CPM
Mailam,,,,,,,,,,,ADMK
Manamadurai,,,,,INC,,ADMK,,TMC(M),,
Manapparai,,,,,,,,,,,ADMK
Mangalur,,,,,ADMK,DMK,INC,,,,
Mannargudi,,,,,,,,CPI,CPI,,
Marungapuri,,,,,ADMK,,ADMK,,ADMK,,
Mayuram,,,,,,,INC,TMC(M),,,
Melmalayanur,,,,,ADMK,,INC,DMK,ADMK,,
Melur,,,,,INC,,INC,TMC(M),ADMK,,ADMK
Melur South,DMK,,,,,,,,,,
Mettuppalayam,,,,,ADMK,,ADMK,DMK,ADMK,,ADMK
Mettur,,,,,,,ADMK,DMK,,,
Modakkurichi,,,ADMK,,,,ADMK,DMK,ADMK,,ADMK
Morappur,,,,,,,ADMK,DMK,ADMK,,
Mudhukulathur,,,,,,,,TMC(M),,,ADMK
Mugaiyur,,,,,,,ADMK,DMK,,,
Musiri,,,,,ADMK,,ADMK,DMK,,,ADMK
Mylapore,,,,,,,ADMK,DMK,,,ADMK
Nagercoil,,,,,,,INC,TMC(M),,,
Namakkal,,,,,,,ADMK,DMK,INC,,ADMK
Nanguneri,,,,,,,ADMK,,,INC,
Nannilam,,,,,,,,TMC(M),,,
Natham,,,,,INC,,INC,TMC(M),,,ADMK
Natrampalli,,,,,ADMK,,ADMK,,,,
Nellikuppam,,,,,ADMK,,ADMK,DMK,,,
Nilakkottai,,,,,ADMK,,INC,TMC(M),ADMK,,PT
Oddamchatram,,,,,,,ADMK,DMK,,,
Omalur,,,,,INC,,ADMK,,ADMK,,ADMK
Orathanadu,,DMK,,,,DMK,ADMK,DMK,,,ADMK
Ottapidaram,,,,,INC,,ADMK,,,,PT
Padmanabhapuram,,,,,,,ADMK,,,DMK,
Palacodu,,,,,INC,,ADMK,DMK,ADMK,,ADMK
Palani,DMK,,,,INC,,ADMK,DMK,ADMK,,
Palayamkottai,,,,,,,,DMK,,DMK,
Palladam,,,,,,,ADMK,DMK,ADMK,,ADMK
Pallipet,,,,,,,INC,TMC(M),ADMK,,
Panamarathupatti,,,,,ADMK,,ADMK,,ADMK,,
Panruti,,,,,,DMK,,DMK,,,
Papanasam,,,,,,,INC,TMC(M),,,
Paramakudi,,,,,,,ADMK,,,,ADMK
Paramathi-Velur,,,,,,,,,,,ADMK
Park Town,,,,,,DMK,,DMK,,,
Pattukkottai,,,,,,,ADMK,DMK,,,
Pennagaram,,,,,,,,,,DMK,
Perambalur,,,ADMK,,INC,,ADMK,DMK,ADMK,,
Perambur,,,,,,DMK,,DMK,,,
Peranamallur,,,,,,,ADMK,DMK,,,
Peravurani,,,,,ADMK,,INC,TMC(M),TMC(M),,
Periyakulam,,,,,ADMK,,ADMK,DMK,,,
Pernambattu,,,,,,,ADMK,DMK,ADMK,,
Perundurai,,,,,ADMK,,ADMK,,ADMK,,ADMK
Perur,,,,,,DMK,ADMK,DMK,ADMK,,
Pollachi,,,,,,,ADMK,DMK,ADMK,,ADMK
Polur,,,,,INC,,ADMK,DMK,,,ADMK
Pongalur,,,,,,,INC,TMC(M),ADMK,,
Ponneri,,,,,,,ADMK,DMK,CPI,,ADMK
Poompuhar,,,,,,DMK,,,,,
Poonamallee,,,,,,DMK,INC,TMC(M),,,ADMK
Pudukkottai,INC,,,,INC,,INC,DMK,ADMK,,
Purasawalkam,,,,,,DMK,INC,TMC(M),,,
Radhapuram,,,,,,,INC,TMC(M),,,DMDK
Rajapalayam,,,,,,,ADMK,,,,ADMK
Ramanathapuram,,DMK,,,ADMK,,ADMK,DMK,,,
Ranipet,,,,,INC,,ADMK,DMK,ADMK,DMK,
Rasipuram,,,,,,,ADMK,,ADMK,,ADMK
Rishivandiyam,,,,,,,ADMK,TMC(M),TMC(M),,DMDK
Royapuram,,,,,,,,,,,ADMK
Saidapet,DMK,,,,,DMK,ADMK,DMK,,,
Salem (North),,,,,,,,,,,DMDK
Salem (South),,,,,,,,,,,ADMK
Salem (West),,,,,,,,,,,ADMK
Salem-I,,,,,,DMK,INC,DMK,ADMK,,
Salem-Ii,,,,,,DMK,ADMK,DMK,,,
Samayanallur,,,,,ADMK,,ADMK,DMK,,,
Sankarankovil,,,,,,DMK,ADMK,,,,
Sankarapuram,,,,,ADMK,,ADMK,DMK,,,
