constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011,2016,2021,2026
Acharapakkam,Others,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,,,,
Aduthurai,INC,DMK,,,,,,,,,,,,
Alandur,,,ADMK,ADMK,DMK,DMK,ADMK,DMK,ADMK,DMK,DMDK,DMK,DMK,TVK
Alangudi,DMK,DMK,INC,ADMK,ADMK,DMK,ADMK,IND,ADMK,CPI,ADMK,DMK,DMK,DMK
Alangulam,DMK,DMK,ADMK,Others,ADMK,INC,INC,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK
Ambasamudram,INC,NCO,CPM,CPM,ADMK,INC,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK,ADMK
Ambattur,,,,,,,,,,,ADMK,ADMK,DMK,TVK
Ambur,DMK,DMK,,,,,,,,,MNMK,ADMK,DMK,DMK
Anaicut,,,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,PMK,DMK,DMK,ADMK
Andhiyur,DMK,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,PMK,DMK,ADMK,ADMK,DMK,ADMK
Andimadam,DMK,DMK,ADMK,ADMK,ADMK,DMK,INC,PMK,PMK,DMK,,,,
Andipatti,Others,Others,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,DMK,DMK
Anna Nagar,,,DMK,DMK,DMK,DMK,INC,DMK,DMK,DMK,ADMK,DMK,DMK,TVK
Arakkonam,DMK,DMK,ADMK,ADMK,DMK,DMK,INC,DMK,ADMK,DMK,ADMK,ADMK,ADMK,TVK
Arani,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMDK,ADMK,ADMK,ADMK
Aranthangi,DMK,DMK,ADMK,ADMK,ADMK,Others,TMC,ADMK,MDMK,DMK,ADMK,ADMK,INC,TVK
Aravakurichi,Others,MUL,INC,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,ADMK,DMK,DMK
Arcot,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,ADMK,DMK,DMK,ADMK
Ariyalur,INC,DMK,DMK,DMK,ADMK,DMK,ADMK,TMC,ADMK,INC,ADMK,ADMK,DMK,ADMK
Aruppukkottai,Others,Others,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,DMK
Athoor,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,DMK,DMK,DMK
Attur,DMK,DMK,INC,INC,INC,DMK,ADMK,DMK,ADMK,INC,ADMK,ADMK,ADMK,ADMK
Avadi,,,,,,,,,,,ADMK,ADMK,DMK,TVK
Avanashi,Others,IND,INC,CPI,ADMK,Others,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,ADMK,TVK
Bargur,,,ADMK,ADMK,ADMK,Others,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,DMK,ADMK
Basin Bridge,DMK,DMK,,,,,,,,,,,,
Bhavani,DMK,DMK,ADMK,ADMK,ADMK,IND,ADMK,TMC,ADMK,PMK,ADMK,ADMK,ADMK,ADMK
Bhavanisagar,DMK,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,ADMK,DMK,CPI,ADMK,ADMK,TVK
Bhuvanagiri,DMK,IND,DMK,ADMK,ADMK,DMK,ADMK,DMK,IND,ADMK,ADMK,DMK,ADMK,ADMK
Bodinayakkanur,INC,DMK,ADMK,ADMK,INC,Others,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK,DMK
Chengalpattu,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,PMK,PMK,DMDK,DMK,DMK,TVK
Chengam,DMK,DMK,ADMK,ADMK,ADMK,JNP,ADMK,DMK,INC,INC,DMDK,DMK,DMK,ADMK
Chepauk,,,DMK,DMK,DMK,DMK,INC,DMK,DMK,DMK,DMK,DMK,DMK,DMK
Cheranmahadevi,Others,Others,ADMK,ADMK,ADMK,Others,ADMK,TMC,ADMK,INC,,,,
Cheyyar,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,PMK,INC,ADMK,ADMK,DMK,ADMK
Cheyyur,,,,,,,,,,,ADMK,DMK,VCK,ADMK
Chidambaram,INC,DMK,DMK,ADMK,ADMK,DMK,INC,TMC,DMK,ADMK,CPM,ADMK,ADMK,DMK
Coimbatore North,DMK,DMK,ADMK,ADMK,DMK,DMK,INC,DMK,INC,ADMK,ADMK,ADMK,ADMK,TVK
Coimbatore South,CPM,DMK,CPM,CPM,CPM,CPM,INC,TMC,TMC,DMK,ADMK,ADMK,BJP,DMK
Coonoor,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,TMC,DMK,DMK,ADMK,DMK,DMK
Cuddalore,DMK,DMK,ADMK,DMK,INC,DMK,INC,DMK,DMK,DMK,ADMK,ADMK,DMK,TVK
Cumbum,DMK,NCO,ADMK,ADMK,ADMK,DMK,INC,TMC,TMC,MDMK,DMK,ADMK,DMK,TVK
Dharapuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,ADMK,INC,DMK,ADMK
Dharmapuri,DMK,DMK,JNP,ADMK,DMK,DMK,INC,DMK,PMK,PMK,DMDK,DMK,PMK,PMK
Dindigul,CPM,NCO,CPM,IND,ADMK,CPM,ADMK,DMK,CPM,CPM,CPM,ADMK,ADMK,DMK
Dr. Radhakrishnan Nagar,,,ADMK,INC,INC,DMK,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,DMK,TVK
Edappadi,DMK,DMK,ADMK,ADMK,INC,Others,ADMK,PMK,PMK,PMK,ADMK,ADMK,ADMK,ADMK
Egmore,DMK,DMK,DMK,INC,DMK,DMK,DMK,DMK,DMK,DMK,DMDK,DMK,DMK,TVK
Erode,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,,,,
Erode East,,,,,,,,,,,DMDK,ADMK,INC,TVK
Erode West,,,,,,,,,,,ADMK,ADMK,DMK,TVK
Gandharvakottai,INC,DMK,,,,,,,,,ADMK,ADMK,CPM,TVK
Gangaikondan,DMK,DMK,,,,,,,,,,,,
Gangavalli,,,,,,,,,,,DMDK,ADMK,ADMK,ADMK
Gingee,DMK,DMK,DMK,DMK,INC,DMK,INC,DMK,ADMK,DMK,PMK,DMK,DMK,PMK
Gobichettipalayam,Others,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,ADMK,TVK
Gudalur,INC,Others,DMK,DMK,ADMK,INC,ADMK,DMK,ADMK,DMK,DMK,DMK,ADMK,DMK
Gudiyattam,CPM,DMK,CPM,CPM,INC,CPM,INC,DMK,ADMK,CPM,CPI,ADMK,DMK,TVK
Gummidipoondi,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMDK,ADMK,DMK,TVK
Harbour,IND,IND,DMK,DMK,DMK,DMK,DMK,DMK,DMK,DMK,ADMK,DMK,DMK,DMK
