constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011
Alangudi,DMK,DMK,INC,ADMK,ADMK,DMK,ADMK,IND,ADMK,CPI,ADMK
Anaicut,,,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,PMK
Andhiyur,DMK,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,PMK,DMK,ADMK
Andipatti,Others,Others,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK
Anna Nagar,,,DMK,DMK,DMK,DMK,INC,DMK,DMK,DMK,ADMK
Arakkonam,DMK,DMK,ADMK,ADMK,DMK,DMK,INC,DMK,ADMK,DMK,ADMK
Arani,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMDK
Aranthangi,DMK,DMK,ADMK,ADMK,ADMK,Others,TMK,ADMK,MDMK,DMK,ADMK
Arcot,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,ADMK
Aruppukkottai,Others,Others,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Athoor(dindigul),DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK
Avanashi,Others,IND,INC,CPI,ADMK,Others,ADMK,DMK,ADMK,ADMK,ADMK
Bargur,,,ADMK,ADMK,ADMK,Others,ADMK,DMK,ADMK,ADMK,ADMK
Bhavani,DMK,DMK,ADMK,ADMK,ADMK,IND,ADMK,TMC,ADMK,PMK,ADMK
Bhavanisagar,DMK,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,ADMK,DMK,CPI
Bhuvanagiri,DMK,IND,DMK,ADMK,ADMK,DMK,ADMK,DMK,IND,ADMK,ADMK
Bodinayakkanur,INC,DMK,ADMK,ADMK,INC,Others,ADMK,DMK,ADMK,DMK,ADMK
Chepauk,,,DMK,DMK,DMK,DMK,INC,DMK,DMK,DMK,DMK
Cheranmahadevi,Others,Others,ADMK,ADMK,ADMK,Others,ADMK,TMC,ADMK,INC,
Cheyyar,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,PMK,INC,ADMK
Coimbatore North,DMK,DMK,ADMK,ADMK,DMK,DMK,INC,DMK,INC,ADMK,ADMK
Coimbatore South,CPM,DMK,CPM,CPM,CPM,CPM,INC,TMC,TMC,DMK,ADMK
Coonoor,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,TMC,DMK,DMK
Cuddalore,DMK,DMK,ADMK,DMK,INC,DMK,INC,DMK,DMK,DMK,ADMK
Dharapuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,ADMK
Dharmapuri,DMK,DMK,JNP,ADMK,DMK,DMK,INC,DMK,PMK,PMK,DMDK
Dindigul,CPM,NCO,CPM,IND,ADMK,CPM,ADMK,DMK,CPM,CPM,CPM
Dr. Radhakrishnan Nagar,,,ADMK,INC,INC,DMK,ADMK,DMK,ADMK,ADMK,ADMK
Egmore,DMK,DMK,DMK,INC,DMK,DMK,DMK,DMK,DMK,DMK,DMDK
Erode,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,
Gingee,DMK,DMK,DMK,DMK,INC,DMK,INC,DMK,ADMK,DMK,PMK
Gobichettipalayam,Others,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,ADMK,ADMK,ADMK
Gudalur,INC,Others,DMK,DMK,ADMK,INC,ADMK,DMK,ADMK,DMK,DMK
Gudiyattam,CPM,DMK,CPM,CPM,INC,CPM,INC,DMK,ADMK,CPM,CPI
Gummidipoondi,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMDK
Harbour,IND,IND,DMK,DMK,DMK,DMK,DMK,DMK,DMK,DMK,ADMK
Hosur,Others,Others,INC,INC,INC,INC,INC,JD,INC,INC,INC
Ilayangudi,DMK,DMK,CPI,CPI,ADMK,DMK,ADMK,DMK,ADMK,DMK,
Kadaladi,DMK,DMK,ADMK,ADMK,DMK,DMK,ADMK,DMK,TMC,DMK,
Kadayanallur,IND,DMK,ADMK,IND,ADMK,DMK,ADMK,DMK,ADMK,INC,ADMK
Kalasapakkam,INC,DMK,DMK,DMK,ADMK,DMK,INC,DMK,ADMK,ADMK,ADMK
Kallakurichi,DMK,DMK,ADMK,INC,IND,DMK,ADMK,DMK,ADMK,DMK,ADMK
Kancheepuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,ADMK
Kandamangalam,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,
Kangayam,INC,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,ADMK,INC,ADMK
Kanniyakumari,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Karur,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,INC,ADMK,ADMK
Katpadi,DMK,DMK,ADMK,CPI,ADMK,DMK,ADMK,DMK,DMK,DMK,DMK
Kattumannarkoil,INC,DMK,DMK,DMK,INC,IND,ADMK,DMK,DMK,VCK,ADMK
Kinathukkadavu,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK
Kolathur,,,INC,ADMK,ADMK,Others,ADMK,DMK,ADMK,ADMK,DMK
Kollachal,INC,NCO,JNP,DMK,ADMK,INC,INC,DMK,ADMK,INC,INC
Krishnagiri,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Kumbakonam,INC,NCO,ADMK,INC,INC,DMK,ADMK,DMK,DMK,DMK,DMK
Kurinjipadi,DMK,DMK,DMK,ADMK,ADMK,DMK,ADMK,DMK,DMK,DMK,ADMK
Kuttalam,CPM,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,
Lalgudi,DMK,DMK,ADMK,DMK,INC,DMK,INC,DMK,ADMK,DMK,DMK
Madurai East,CPM,DMK,CPM,CPM,ADMK,ADMK,ADMK,DMK,CPM,CPM,ADMK
Madurai West,CPM,CPI,ADMK,ADMK,DMK,DMK,INC,DMK,ADMK,ADMK,ADMK
Maduranthakam,DMK,DMK,DMK,ADMK,DMK,Others,ADMK,DMK,ADMK,INC,ADMK
Marungapuri,,,INC,ADMK,ADMK,ADMK,ADMK,DMK,ADMK,ADMK,
Mayuram,DMK,DMK,DMK,DMK,ADMK,DMK,INC,TMC,BJP,INC,DMDK
Mettuppalayam,INC,DMK,ADMK,ADMK,ADMK,INC,ADMK,DMK,ADMK,ADMK,ADMK
Mettur,PSP,PSP,ADMK,ADMK,ADMK,CPM,ADMK,DMK,ADMK,PMK,DMDK
Modakkurichi,SSP,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,INC,ADMK
Musiri,DMK,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,ADMK,DMK,ADMK
Mylapore,DMK,NCO,DMK,ADMK,ADMK,DMK,ADMK,DMK,BJP,ADMK,ADMK
Nagapattinam,CPM,DMK,CPM,CPM,CPM,CPM,ADMK,DMK,ADMK,CPM,ADMK
Namakkal,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,INC,INC,ADMK
Nanguneri,INC,DMK,JNP,ADMK,ADMK,DMK,ADMK,CPI,ADMK,INC,ADMK
