constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011
Vasudevanallur,DMK,DMK,CPM,CPM,INC,INC,INC,TMC(M),TMC(M),MDMK,ADMK
Kadayanallur,IND,DMK,ADMK,IND,ADMK,DMK,ADMK,DMK,ADMK,INC,ADMK
Tenkasi,INC,DMK,INC,ADMK,INC,INC,INC,TMC(M),ADMK,DMK,ADMK
Alangulam,DMK,DMK,ADMK,GKC,ADMK,INC,INC,DMK,ADMK,DMK,ADMK
Tirunelveli,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Ambasamudram,INC,NCO,CPM,CPM,ADMK,INC,ADMK,DMK,ADMK,DMK,ADMK
Palayamkottai,,,ADMK,ADMK,DMK,DMK,ADMK,DMK,DMK,DMK,DMK
Nanguneri,INC,DMK,JNP,ADMK,ADMK,DMK,ADMK,CPI,ADMK,INC,ADMK
Radhapuram,INC,DMK,ADMK,GKC,GKC,INC,INC,TMC(M),IND,DMK,DMDK
Kanniyakumari,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK
Nagercoil,DMK,SWA,ADMK,ADMK,DMK,INC,INC,TMC(M),MDMK,DMK,ADMK
Kollachal,INC,NCO,JNP,DMK,ADMK,INC,INC,DMK,ADMK,INC,INC
Padmanabhapuram,INC,NCO,JNP,JNP,IND,CPM,ADMK,BJP,ADMK,DMK,DMK
Vilavancode,INC,NCO,CPM,CPM,INC,INC,INC,CPM,CPM,CPM,INC
Killiyoor,INC,NCO,JNP,JNP,JNP,IND,JD,TMC(M),TMC(M),INC,INC
