constituency,1951,1957,1962,1967,1969,1971,1972,1977,1982,1987,1991,1996,2001,2006,2011
Arsa,,IND,FB,INC,FBL,INC,INC,FBL,FBL,FBL,FBL,FBL,FBL,AIFB,
Barasat,INC,FBM,INC,FBL,FBL,FBL,INC,FBL,FBL,FBL,FBL,INC,AITC,AIFB,AITC
Chinsurah,INC,INC,FB,FBL,FBL,INC,INC,FBL,FBL,FBL,FBL,FBL,FBL,AIFB,
Cooch Behar North,,,FB,INC,FBL,INC,INC,FBL,FBL,FBL,FBL,INC,FBL,AIFB,
Cooch Behar West,,,,INC,INC,INC,INC,FBL,FBL,FBL,FBL,FBL,FBL,AIFB,
Deganga,INC,,INC,BAC,PML,IND,INC,MUL,FBL,MUL,FBL,FBL,FBL,AIFB,AITC
Dhaniakhali,,INC,INC,FBL,FBL,CPM,INC,FBL,FBL,FBL,FBL,FBL,FBL,AIFB,
Dubrajpur,,,FB,IND,FBL,CPM,INC,FBL,FBL,FBL,FBL,FBL,FBL,AIFB,AIFB
Galsi,INC,IND,INC,IND,IND,CPM,CPI,FBL,FBL,FBL,FBL,FBL,FBL,AIFB,AIFB
Goghat,IND,,,FBL,FBL,INC,INC,JNP,FBL,FBL,FBL,FBL,FBL,AIFB,AIFB
Harishchandrapur,INC,IND,INC,IND,WPI,WPI,INC,JNP,INC,FBL,FBL,FBL,INC,AIFB,AIFB
Jagatdal,,,,,,,,FBL,FBL,FBL,FBL,INC,FBL,AIFB,AITC
Jaipur,,,LSS,INC,INC,INC,INC,INC,INC,FBL,FBL,INC,INC,AIFB,
Karandighi,,INC,INC,PSP,FBL,INC,INC,INC,FBL,FBL,INC,FBL,FBL,AIFB,AIFB
Mekliganj,INC,INC,,FBL,FBL,FBL,INC,FBL,FBL,FBL,FBL,FBL,FBL,AIFB,AIFB
Murshidabad,INC,INC,IND,INC,INC,INC,INC,FBL,FBL,INC,FBL,IND,FBL,AIFB,INC
Nalhati,INC,INC,INC,IND,IND,IND,IND,FBL,FBL,FBL,FBL,FBL,FBL,AIFB,INC
Onda,,INC,INC,INC,FBL,CPM,INC,FBL,FBL,FBL,FBL,FBL,FBL,AIFB,AITC
Panchla,,,FB,INC,FBL,CPM,INC,FBL,INC,FBL,FBL,INC,FBL,AIFB,AITC
Rajnagar,,INC,FB,FBL,FBL,CPM,INC,FBL,FBL,FBL,FBL,FBL,FBL,AIFB,
Shibpur,,,,INC,FBL,CPM,INC,FBL,FBL,FBL,INC,INC,AITC,AIFB,AITC
Shyampukur,IND,FBM,FB,INC,FBL,,INC,FBL,INC,INC,FBL,FBL,FBL,AIFB,AITC
Uluberia South,,,INC,FBL,FBL,CPM,IND,FBL,FBL,INC,FBL,FBL,FBL,AIFB,
Alipore,INC,CPI,CPI,CPI,CPI,INC,INC,CPM,INC,INC,INC,INC,AITC,AITC,
Bagdah,,,INC,FBL,FBL,FBL,IND,FBL,FBL,INC,FBL,FBL,FBL,AITC,AITC
Ballygunge,,CPI,INC,IND,WPI,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,AITC,AITC
Behala West,,,,CPM,CPM,CPM,CPI,CPM,CPM,CPM,CPM,CPM,AITC,AITC,
Belgachia West,,,,,,,,CPM,CPM,INC,CPM,CPM,CPM,AITC,
Bhagabanpur,,,INC,INC,INC,CPM,INC,JNP,CPM,CPM,CPM,INC,AITC,AITC,AITC
Bhangar,INC,INC,INC,BAC,INC,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC,
Bhatpara,INC,CPI,INC,INC,CPM,,INC,CPM,CPM,INC,CPM,CPM,AITC,AITC,AITC
Bongaon,INC,CPI,INC,INC,CPI,CPI,CPI,CPM,INC,CPM,INC,CPM,CPM,AITC,
Budge Budge,CPI,CPI,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,INC,AITC,AITC,AITC
Burtola,INC,,,IND,RSP,INC,INC,RSP,INC,INC,INC,INC,AITC,AITC,
Chowringhee,,INC,INC,INC,INC,INC,INC,JNP,INC,INC,INC,INC,AITC,AITC,
Contai South,KMPP,INC,PSP,PSP,PSP,PSP,IND,JNP,INC,CPI,INC,INC,AITC,AITC,
Cossipur,INC,,INC,INC,CPM,INC,INC,CPM,INC,CPM,CPM,INC,AITC,AITC,
Dinhata,,INC,FB,FBL,INC,INC,INC,FBL,FBL,FBL,FBL,FB(S),FBL,AITC,AIFB
Egra,,PSP,INC,PSP,PSP,,INC,JNP,IND,IND,CPM,CPM,IND,AITC,AITC
Gaighata,INC,,,BAC,BAC,INC,INC,CPM,CPM,CPM,INC,CPM,AITC,AITC,AITC
Jorasanko,FBL(MG),INC,,INC,INC,INC,INC,JNP,INC,INC,INC,INC,AITC,AITC,AITC
Kulti,INC,PSP,INC,INC,SSP,INC,INC,MFB,FBL,INC,FBL,FBL,FBL,AITC,AITC
Nabadwip,INC,INC,CPI,INC,INC,CPM,INC,CPM,CPM,CPM,CPM,CPM,AITC,AITC,AITC
Nadanghat,,,,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,AITC,
Nakashipara,INC,INC,INC,BAC,INC,IND,INC,CPM,CPM,CPM,CPM,CPM,AITC,AITC,AITC
Rampurhat,FBL(MG),IND,INC,FBL,FBL,CPM,INC,FBL,FBL,FBL,FBL,FBL,AITC,AITC,AITC
Rashbehari Avenue,,PSP,IND,IND,IND,INC,INC,CPM,INC,INC,INC,INC,AITC,AITC,AITC
Sankrail,FBL(MG),CPI,CPI,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,INC,AITC,AITC,AITC
Satgachia,,,,,,,,CPM,CPM,CPM,CPM,CPM,AITC,AITC,AITC
Serampore,INC,CPI,CPI,INC,CPI,INC,INC,CPM,INC,INC,INC,INC,AITC,AITC,
Shyampur,FBL(MG),FBM,,FBL,FBL,INC,INC,JNP,FBL,FBL,INC,INC,AITC,AITC,AITC
Singur,CPI,INC,INC,INC,CPM,CPI,CPI,CPM,INC,CPM,CPM,CPM,AITC,AITC,AITC
Tollygunge,IND,PSP,CPI,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,INC,AITC,AITC,AITC
Dantan,,INC,INC,BAC,BAC,CPI,NCO,JNP,CPI,CPI,CPM,CPI,CPI,CPI,CPI
Indpur,,,INC,INC,BAC,BBC,INC,JNP,CPI,CPI,CPI,CPI,CPI,CPI,
