#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
1,Ratabari,1,Kripanath Mallah,INC,33043,2011,82973,39.82
2,Ratabari,1,Nikhil Suklabaidya,BJP,20614,2011,82973,24.84
3,Ratabari,1,Priyada Ranjan Mallick,AIUDF,17500,2011,82973,21.09
4,Ratabari,1,Amaresh Roy,AITC,3938,2011,82973,4.75
5,Ratabari,1,Ragendra Chandra Das,CPI,3147,2011,82973,3.79
6,Ratabari,1,Moon Swarnakar,AGP,1741,2011,82973,2.1
7,Ratabari,1,Bijoy Prasad Mallah,IND,813,2011,82973,0.98
8,Ratabari,1,Munilal Rabidas,SUCI,571,2011,82973,0.69
9,Ratabari,1,Nirmal Mallick,SP,457,2011,82973,0.55
10,Ratabari,1,Parikshit Roy,IND,414,2011,82973,0.5
11,Ratabari,1,Ananda Sankar Mallah,IND,406,2011,82973,0.49
12,Ratabari,1,Pradip Bania,IND,329,2011,82973,0.4
1,Patharkandi,2,Monilal Gowala,INC,44986,2011,106456,42.26
2,Patharkandi,2,Kartik Sena Sinha,AIUDF,41762,2011,106456,39.23
3,Patharkandi,2,Sukhendu Shekhar Dutta,BJP,9424,2011,106456,8.85
4,Patharkandi,2,Kripesh Ranjan Dasgupta,CPM,6234,2011,106456,5.86
5,Patharkandi,2,Nikhil Kumar Sen,IND,1417,2011,106456,1.33
6,Patharkandi,2,Rupam Nandi Purkayastha,AITC,1267,2011,106456,1.19
7,Patharkandi,2,Debangshu Nath,SUCI,764,2011,106456,0.72
8,Patharkandi,2,Main Uddin Choudhury,SP,602,2011,106456,0.57
1,Karimganj North,3,Kamalakhya Dey,INC,45027,2011,108415,41.53
2,Karimganj North,3,Mission Ranjan Das,BJP,27257,2011,108415,25.14
3,Karimganj North,3,Abdul Muqtadir,AIUDF,23497,2011,108415,21.67
4,Karimganj North,3,Nazrul Islam Choudhury,AGP,7784,2011,108415,7.18
5,Karimganj North,3,Satyajit Paul,CPI,2388,2011,108415,2.2
6,Karimganj North,3,Sahab Uddin Choudhury,IND,530,2011,108415,0.49
7,Karimganj North,3,Piklu Das,SUCI,433,2011,108415,0.4
8,Karimganj North,3,Akshay Suklabaidya,IND,334,2011,108415,0.31
9,Karimganj North,3,Sath Kari Saha,IND,318,2011,108415,0.29
10,Karimganj North,3,Bikash Kanti Roy,IND,252,2011,108415,0.23
11,Karimganj North,3,Sad Uddin,IND,217,2011,108415,0.2
12,Karimganj North,3,Baharul Islam,IND,194,2011,108415,0.18
13,Karimganj North,3,Nitai Deb,IND,184,2011,108415,0.17
1,Karimganj South,4,Siddeque Ahmed,INC,45395,2011,104544,43.42
