#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
1,Mekliganj,1,Adhikary Paresh,AIFB,72040,2011,147357,48.89
2,Mekliganj,1,Jayanta Kumar Ray,INC,39408,2011,147357,26.74
3,Mekliganj,1,Sunil Chandra Ray,IND,23540,2011,147357,15.97
4,Mekliganj,1,Subhash Barman,BJP,3713,2011,147357,2.52
5,Mekliganj,1,Jyotish Roy,BSP,3359,2011,147357,2.28
6,Mekliganj,1,Pramila Roy,SUCI,2593,2011,147357,1.76
7,Mekliganj,1,Purnendu Roy,IND,1474,2011,147357,1
8,Mekliganj,1,Ratan Barman,AMB,1230,2011,147357,0.83
1,Mathabhanga,2,Binay Krishna Barman,AITC,78249,2011,168434,46.46
2,Mathabhanga,2,Ananta Roy,CPM,72925,2011,168434,43.3
3,Mathabhanga,2,Sushil Barman,BJP,11308,2011,168434,6.71
4,Mathabhanga,2,Mantu Barman,IND,2919,2011,168434,1.73
5,Mathabhanga,2,Tilak Chand Barman,BSP,1954,2011,168434,1.16
6,Mathabhanga,2,Hare Krishna Sarkar,RPI,1079,2011,168434,0.64
1,Cooch Behar Uttar,3,Nagendra Nath Roy,AIFB,84825,2011,188032,45.11
2,Cooch Behar Uttar,3,Prasenjit Barman,AITC,82628,2011,188032,43.94
3,Cooch Behar Uttar,3,Malati Rava(Ray),BJP,12608,2011,188032,6.71
4,Cooch Behar Uttar,3,Nirmal Kumar Roy,IND,4745,2011,188032,2.52
5,Cooch Behar Uttar,3,Ratan Barman,IND,1883,2011,188032,1
6,Cooch Behar Uttar,3,Kulen Das,IND,1343,2011,188032,0.71
1,Cooch Behar Dakshin,4,Akshay Thakur,AIFB,72028,2011,153115,47.04
2,Cooch Behar Dakshin,4,Abdul Jalil Ahmed,AITC,69165,2011,153115,45.17
3,Cooch Behar Dakshin,4,Gayetri Kar,BJP,6419,2011,153115,4.19
4,Cooch Behar Dakshin,4,Sanat Sen,IND,2207,2011,153115,1.44
5,Cooch Behar Dakshin,4,Shyamal Chandra Barman,IND,1277,2011,153115,0.83
6,Cooch Behar Dakshin,4,Prahlad Chandra Datta,IND,745,2011,153115,0.49
7,Cooch Behar Dakshin,4,Krishna Kanta Barman,IND,685,2011,153115,0.45
8,Cooch Behar Dakshin,4,Chanchal Sarkar,PDCI,589,2011,153115,0.38
1,Sitalkuchi,5,Hiten Barman,AITC,84651,2011,191453,44.22
2,Sitalkuchi,5,Biswanath Pramanik,CPM,84394,2011,191453,44.08
3,Sitalkuchi,5,Bhabendra Nath Barman,BJP,8829,2011,191453,4.61
4,Sitalkuchi,5,Subal Barman,JMM,6000,2011,191453,3.13
5,Sitalkuchi,5,Dwijendra Nath Barman,IND,3547,2011,191453,1.85
6,Sitalkuchi,5,Goutam Barman,BSP,2369,2011,191453,1.24
7,Sitalkuchi,5,Subodh Barman,AMB,1663,2011,191453,0.87
1,Sitai,6,Keshab Ch. Ray,INC,79791,2011,170962,46.67
2,Sitai,6,Dipak Kumar Roy,AIFB,78214,2011,170962,45.75
3,Sitai,6,Brojo Gobinda Barman,BJP,5185,2011,170962,3.03
4,Sitai,6,Bhajan Biswas,IND,2904,2011,170962,1.7
5,Sitai,6,Anil Chandra Barman Roy,SUCI,2035,2011,170962,1.19
6,Sitai,6,Goutam Barman,IND,1613,2011,170962,0.94
7,Sitai,6,Tapas Barman,IND,1220,2011,170962,0.71
1,Dinhata,7,Udayan Guha,AIFB,93050,2011,184184,50.52
2,Dinhata,7,Dr. Md. Fazle Haque,IND,63024,2011,184184,34.22
3,Dinhata,7,Amiya Kumar Sarkar,NCP,13093,2011,184184,7.11
4,Dinhata,7,Niranjan Barman,BSP,4135,2011,184184,2.25
5,Dinhata,7,Sudhangshu Kumar Roy,BJP,3964,2011,184184,2.15
6,Dinhata,7,Chayan Roy,IND,2610,2011,184184,1.42
7,Dinhata,7,Mayamana Khatun,IPFB,1903,2011,184184,1.03
8,Dinhata,7,Goutam Barman,IND,1753,2011,184184,0.95
9,Dinhata,7,Narayan Barman,JD(U),652,2011,184184,0.35
1,Natabari,8,Rabindra Nath Ghosh,AITC,81951,2011,172296,47.56
2,Natabari,8,Tamser Ali,CPM,74386,2011,172296,43.17
3,Natabari,8,Utpal Deb,BJP,9923,2011,172296,5.76
4,Natabari,8,Siddik Uddin Bepari,IND,2972,2011,172296,1.72
5,Natabari,8,Girindra Nath Barman,RPI,1867,2011,172296,1.08
6,Natabari,8,Prodyut Kumar Dey,IND,1197,2011,172296,0.69
1,Tufanganj,9,Arghya Roy Pradhan,AITC,73721,2011,163760,45.02
2,Tufanganj,9,Dhananjoy Rava,CPM,67539,2011,163760,41.24
3,Tufanganj,9,Bimal Kumar Sarkar,BJP,17220,2011,163760,10.52
4,Tufanganj,9,Siben Barman,IND,2817,2011,163760,1.72
5,Tufanganj,9,Ganesh Dakua,IND,2463,2011,163760,1.5
1,Kumargram,10,Dasrath Tirkey,RSP,71545,2011,175181,40.84
2,Kumargram,10,Joachim Baxla,AITC,58964,2011,175181,33.66
3,Kumargram,10,Vinay Kumar Minj,JMM,18784,2011,175181,10.72
4,Kumargram,10,Hopna Soren,BJP,12488,2011,175181,7.13
5,Kumargram,10,Hira Charan Narjinari,IND,4687,2011,175181,2.68
6,Kumargram,10,Sanjib Kumar Narjinari,IND,2960,2011,175181,1.69
7,Kumargram,10,Eliash Narjinary,BSP,2782,2011,175181,1.59
8,Kumargram,10,Khulu Saren,IND,1751,2011,175181,1
9,Kumargram,10,Sushila Lakra,RADP,1220,2011,175181,0.7
1,Kalchini,11,Wilson Champramary,IND,46455,2011,154569,30.05
2,Kalchini,11,Binay Bhusan Kerketta,RSP,39210,2011,154569,25.37
3,Kalchini,11,Sandip Ekka,JMM,36285,2011,154569,23.47
4,Kalchini,11,Paban Kumar Lakra,AITC,27662,2011,154569,17.9
5,Kalchini,11,Nabin Prakash Kerketta,RADP,2861,2011,154569,1.85
6,Kalchini,11,Bagrai Marandi,BSP,2096,2011,154569,1.36
1,Alipurduars,12,Debaprasad Roy (Mithu),INC,79605,2011,172969,46.02
2,Alipurduars,12,Kshiti Goswami,RSP,72822,2011,172969,42.1
3,Alipurduars,12,Manik Chandra Saha,BJP,8238,2011,172969,4.76
4,Alipurduars,12,Santosh Kumar Balo,IND,3072,2011,172969,1.78
5,Alipurduars,12,Manohar Bhagat,JMM,1864,2011,172969,1.08
6,Alipurduars,12,Abhijit Roy,SUCI,1508,2011,172969,0.87
7,Alipurduars,12,Chanchal Kumar Das,CPI(ML)(L),1438,2011,172969,0.83
8,Alipurduars,12,Parimal Roy,IND,1396,2011,172969,0.81
9,Alipurduars,12,Sanjit Das,IND,1301,2011,172969,0.75
10,Alipurduars,12,Mantu Barman,BSP,1195,2011,172969,0.69
11,Alipurduars,12,Bishwanath Gop,RADP,530,2011,172969,0.31
1,Falakata,13,Anil Adhikari,AITC,77821,2011,164026,47.44
2,Falakata,13,Rabindra Nath Barman,CPM,69775,2011,164026,42.54
3,Falakata,13,Hemanta Kumar Ray,BJP,9848,2011,164026,6
4,Falakata,13,Paritosh Ch. Roy,IND,3691,2011,164026,2.25
5,Falakata,13,Ashok Kumar Roybir,SWJP,2891,2011,164026,1.76
1,Madarihat,14,Kumari Kujur,RSP,42539,2011,133213,31.93
2,Madarihat,14,Manoj Tigga,BJP,34630,2011,133213,26
3,Madarihat,14,Atul Suba,INC,26027,2011,133213,19.54
4,Madarihat,14,Jerome Lakra,JMM,22541,2011,133213,16.92
5,Madarihat,14,Ramesh Oraon,IND,4923,2011,133213,3.7
6,Madarihat,14,Samir Beck,RADP,2553,2011,133213,1.92
1,Dhupguri,15,Mamata Roy,CPM,73644,2011,174285,42.25
2,Dhupguri,15,Mina Barman,AITC,69406,2011,174285,39.82
3,Dhupguri,15,Amar Chan Sarkar,BJP,18559,2011,174285,10.65
4,Dhupguri,15,Mitali Roy,IND,7021,2011,174285,4.03
5,Dhupguri,15,Rai Charan Siddhya,BSP,3578,2011,174285,2.05
6,Dhupguri,15,Subhas Chandra Roy,SWJP,2077,2011,174285,1.19
1,Maynaguri,16,Ananta Deb Adhikari,RSP,84887,2011,174276,48.71
2,Maynaguri,16,Juthika Roy Basunia,AITC,68611,2011,174276,39.37
3,Maynaguri,16,Bibhash Chandra Paul,BJP,6309,2011,174276,3.62
4,Maynaguri,16,Bharani Roy,IND,5100,2011,174276,2.93
5,Maynaguri,16,Dinesh Sinha,IND,4892,2011,174276,2.81
6,Maynaguri,16,Haripada Roy Lashkar,CPI(ML)(L),2259,2011,174276,1.3
7,Maynaguri,16,Santi Kumar Sarkar,BSP,2218,2011,174276,1.27
1,Jalpaiguri,17,Sukhbilas Barma,INC,86273,2011,177363,48.64
2,Jalpaiguri,17,Gobinda Chandra Roy,AIFB,75222,2011,177363,42.41
3,Jalpaiguri,17,Sisir Kanti Mondal,BJP,6108,2011,177363,3.44
4,Jalpaiguri,17,Jiban Krishna Majumder,BSP,3213,2011,177363,1.81
5,Jalpaiguri,17,Laxmi Kanta Roy,IND,2773,2011,177363,1.56
6,Jalpaiguri,17,Haribhakta Sardar,SUCI,1930,2011,177363,1.09
7,Jalpaiguri,17,Mahadeb Chandra Das,AMB,1844,2011,177363,1.04
1,Rajganj,18,Khageswar Roy,AITC,74546,2011,159838,46.64
2,Rajganj,18,Amulya Kumar Roy,CPM,67526,2011,159838,42.25
3,Rajganj,18,Supen Roy,BJP,8038,2011,159838,5.03
4,Rajganj,18,Paresh Chandra Roy,JMM,7104,2011,159838,4.44
