#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
1,Mandrem,1,Laxmikant Parsekar,BJP,11955.0,2012,25928.0,46.11
2,Mandrem,1,Dayanand Raghunath,INC,8520.0,2012,25928.0,32.86
3,Mandrem,1,Sameer Salgaocar,AITC,4591.0,2012,25928.0,17.71
4,Mandrem,1,Menino Francis Monteiro,GVP,295.0,2012,25928.0,1.14
5,Mandrem,1,Sanjay Prabhu Dessai,IND,292.0,2012,25928.0,1.13
6,Mandrem,1,Sanjay Damu Kole,SJP(R),275.0,2012,25928.0,1.06
1,Pernem,2,Rajendra Arlekar,BJP,16406.0,2012,25890.0,63.37
2,Pernem,2,Manohar Trimbak,INC,8053.0,2012,25890.0,31.1
3,Pernem,2,Subhash Barkelo Kerkar,IND,824.0,2012,25890.0,3.18
4,Pernem,2,Sakharam Vishram,IND,192.0,2012,25890.0,0.74
5,Pernem,2,Kanta Sabaji Jadhav,AITC,151.0,2012,25890.0,0.58
6,Pernem,2,Manohar Rajaram,SJP(R),96.0,2012,25890.0,0.37
7,Pernem,2,Rajan Kambli,IND,61.0,2012,25890.0,0.24
8,Pernem,2,Shyam Bablo Amonkar,RPI(A),57.0,2012,25890.0,0.22
9,Pernem,2,Santosh Shankar,UGDP,50.0,2012,25890.0,0.19
1,Bicholim,3,Naresh Rajaram Sawal,IND,8331.0,2012,20994.0,39.68
2,Bicholim,3,Rajesh T. Patnekar,INC,6532.0,2012,20994.0,31.11
3,Bicholim,3,Manohar Pandurang,BJP,5411.0,2012,20994.0,25.77
4,Bicholim,3,Pandurang Dattaram,AITC,720.0,2012,20994.0,3.43
1,Tivim,4,Kiran Mohan Kandolkar,BJP,10473.0,2012,20314.0,51.56
2,Tivim,4,Nilkanth Ramnath,NCP,9361.0,2012,20314.0,46.08
3,Tivim,4,Deelip Datta Chodankar,GVP,204.0,2012,20314.0,1.0
4,Tivim,4,Indrakant Dattaram,IND,167.0,2012,20314.0,0.82
5,Tivim,4,Dattaram Govind Sawant,SHS,109.0,2012,20314.0,0.54
1,Mapusa,5,Francis D'Souza,BJP,14955.0,2012,20209.0,74.0
2,Mapusa,5,Ashish Tulshidas,NCP,4786.0,2012,20209.0,23.68
3,Mapusa,5,Francisca De Souza,IND,280.0,2012,20209.0,1.39
4,Mapusa,5,Mittu Mujavar,AITC,188.0,2012,20209.0,0.93
1,Siolim,6,Dayanand Mandrekar,BJP,11430.0,2012,21635.0,52.83
