ST_CD,AC_NO,NAME,VOTES,ST_NAME,AC_NAME,#,YEAR,polled_votes,vote_percent,PARTY
S05,1,DAYANAND RAGHUNATH SOPTE,16490,Goa,Mandrem,1,2017,27966,58.96,INC
S05,1,LAXMIKANT PARSEKAR,9371,Goa,Mandrem,2,2017,27966,33.51,BJP
S05,1,SHRIDHAR LADU MANJREKAR,678,Goa,Mandrem,3,2017,27966,2.42,MG
S05,1,DEVENDRA KRISHNAJI PRABHU PARSEKAR DESAI,620,Goa,Mandrem,4,2017,27966,2.22,AAP
S05,1,RAJENDRA M. SATELKAR,234,Goa,Mandrem,6,2017,27966,0.84,NCP
S05,1,SANJAY KRISHNARAO PRABHU DESAI,101,Goa,Mandrem,7,2017,27966,0.36,IND
S05,1,BHIM RAGHUVIR PEDNEKAR,57,Goa,Mandrem,8,2017,27966,0.2,BMP
S05,1,None of the Above,415,Goa,Mandrem,5,2017,27966,1.48,NOTA
S05,2,AJGAONKAR MANOHAR TRIMBAK,15745,Goa,Pernem ,1,2017,27730,56.78,MG
S05,2,RAJENDRA ARLEKAR,9715,Goa,Pernem ,2,2017,27730,35.03,BJP
S05,2,VIKESH RAMESH ASSOTIKAR,1013,Goa,Pernem ,3,2017,27730,3.65,INC
S05,2,SHIVANAND KRISHNA PILARNKAR,308,Goa,Pernem ,5,2017,27730,1.11,AAP
S05,2,GOPALDAS ANANT ARLEKAR,180,Goa,Pernem ,6,2017,27730,0.65,GVP
S05,2,SANTOSH SHANKAR MANDREKAR,124,Goa,Pernem ,7,2017,27730,0.45,NCP
S05,2,NITIN MOHAN CHOPDEKAR,105,Goa,Pernem ,8,2017,27730,0.38,BMP
S05,2,DNYANESWAR SITARAM VARKHANKAR,71,Goa,Pernem ,9,2017,27730,0.26,GPP
S05,2,None of the Above,469,Goa,Pernem ,4,2017,27730,1.69,NOTA
S05,3,RAJESH PATNEKAR,10654,Goa,Bicholim,1,2017,23306,45.71,BJP
S05,3,NARESH SAWAL,9988,Goa,Bicholim,2,2017,23306,42.86,MG
S05,3,MANOHAR PANDURANG SHIRODKAR,1761,Goa,Bicholim,3,2017,23306,7.56,INC
S05,3,SAINATH PATEKAR,358,Goa,Bicholim,4,2017,23306,1.54,AAP
S05,3,RAUT PANDURANG DATTARAM,324,Goa,Bicholim,5,2017,23306,1.39,GPP
S05,3,None of the Above,221,Goa,Bicholim,6,2017,23306,0.95,NOTA
S05,4,NILKANTH RAMNATH HALARNKAR,11099,Goa,Tivim,1,2017,22560,49.2,INC
S05,4,KIRAN MOHAN KANDOLKAR,10304,Goa,Tivim,2,2017,22560,45.67,BJP
S05,4,PRADEEP AMONKAR GHADI,703,Goa,Tivim,3,2017,22560,3.12,AAP
S05,4,DOUGLAS LAWRENCE SEQUEIRA,275,Goa,Tivim,4,2017,22560,1.22,NCP
S05,4,None of the Above,179,Goa,Tivim,5,2017,22560,0.79,NOTA
S05,5,FRANCISCO C. J. A. DE PINTO E SOUZA,10957,Goa,Mapusa,1,2017,22764,48.13,BJP
S05,5,VINOD FADKE,4129,Goa,Mapusa,2,2017,22764,18.14,MG
S05,5,VIJAY LAXMAN BHIKE,3013,Goa,Mapusa,3,2017,22764,13.24,INC
