#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
1,Khundrakpam,1,Thokchom Lokeshwar,INC,9182,2012,18598,49.37
2,Khundrakpam,1,I. Mangiton,BJP,3678,2012,18598,19.78
3,Khundrakpam,1,L. Premchandra,CPI,2096,2012,18598,11.27
4,Khundrakpam,1,Konsam Tomba,AITC,1577,2012,18598,8.48
5,Khundrakpam,1,Namoijam Singhajit Singh,NCP,1435,2012,18598,7.72
6,Khundrakpam,1,R. Michael Koireng,NPP,419,2012,18598,2.25
7,Khundrakpam,1,L. Lala Singh,MSCP,211,2012,18598,1.13
1,Heingang,2,N. Biren,INC,11872,2012,23054,51.5
2,Heingang,2,Naoroibam Ratan (Kapu),NCP,9790,2012,23054,42.47
3,Heingang,2,Y. Mangi,MPP,604,2012,23054,2.62
4,Heingang,2,L. Brojendro,AITC,415,2012,23054,1.8
5,Heingang,2,Dr. G. Tonsana Sharma,MDPF,373,2012,23054,1.62
1,Khurai,3,Dr. Ng. Bijoy Singh,INC,11618,2012,25865,44.92
2,Khurai,3,Leishangthem Shusindro,AITC,6529,2012,25865,25.24
3,Khurai,3,Ningthoujam Bihari,MSCP,5917,2012,25865,22.88
4,Khurai,3,Amusana R.K.,CPI,1801,2012,25865,6.96
1,Kshetrigao,4,Md. Amin Shah,INC,7981,2012,25493,31.31
2,Kshetrigao,4,Thangjam Nandakishor,NCP,4987,2012,25493,19.56
3,Kshetrigao,4,Athokpam Lala,CPI,4439,2012,25493,17.41
4,Kshetrigao,4,A. R. Khan,NPP,3278,2012,25493,12.86
5,Kshetrigao,4,Pangambam Premananda,AITC,2814,2012,25493,11.04
6,Kshetrigao,4,Sheikh Noorul Hassan,IND,1274,2012,25493,5
7,Kshetrigao,4,Vivek Raj Wangkhem,MSCP,577,2012,25493,2.26
8,Kshetrigao,4,Thingbaijam Ibosana,BJP,143,2012,25493,0.56
1,Thongju,5,Thongam Biswajit Singh,AITC,10299,2012,24630,41.81
2,Thongju,5,Bijoy Koijam,INC,9696,2012,24630,39.37
3,Thongju,5,Kangujam Mangi Singh,NCP,2641,2012,24630,10.72
