ST_CD,AC_NO,NAME,VOTES,ST_NAME,AC_NAME,#,YEAR,polled_votes,vote_percent,PARTY
S14,1,THOKCHOM LOKESHWAR SINGH,12849,Manipur,Khundrakpam (GEN),1,2017,22896,56.12,INC
S14,1,THANGJAM MOHENDRO SINGH,9790,Manipur,Khundrakpam (GEN),2,2017,22896,42.76,BJP
S14,1,YUMLEMBAM JOGENDRO,129,Manipur,Khundrakpam (GEN),3,2017,22896,0.56,CPM
S14,1,LAIRENLAKPAM LALA SINGH,36,Manipur,Khundrakpam (GEN),5,2017,22896,0.16,NPP
S14,1,None of the Above,92,Manipur,Khundrakpam (GEN),4,2017,22896,0.4,NOTA
S14,2,NONGTHOMBAM BIREN SINGH,10439,Manipur,Heingang (GEN),1,2017,27394,38.11,BJP
S14,2,PANGEIJAM SARATCHANDRA SINGH,9233,Manipur,Heingang (GEN),2,2017,27394,33.7,AITC
S14,2,NAOROIBAM RATAN MEETEI (KAPU),7329,Manipur,Heingang (GEN),3,2017,27394,26.75,INC
S14,2,DR. GURUMAYUM TONSANA SHARMA,113,Manipur,Heingang (GEN),5,2017,27394,0.41,MPP
S14,2,THOKCHOM ROMEO SINGH,91,Manipur,Heingang (GEN),6,2017,27394,0.33,IND
S14,2,YENGKOKPAM PRIYOKUMAR SINGH,59,Manipur,Heingang (GEN),7,2017,27394,0.22,MPP
S14,2,None of the Above,130,Manipur,Heingang (GEN),4,2017,27394,0.47,NOTA
S14,3,LEISHANGTHEM SUSINDRO MEITEI,15005,Manipur,Khurai (GEN),1,2017,29188,51.41,BJP
S14,3,DR. NGAIRANGBAM BIJOY SINGH,13061,Manipur,Khurai (GEN),2,2017,29188,44.75,INC
S14,3,R.K.AMUSANA,800,Manipur,Khurai (GEN),3,2017,29188,2.74,CPI
S14,3,None of the Above,322,Manipur,Khurai (GEN),4,2017,29188,1.1,NOTA
S14,4,NAHAKPAM INDRAJIT SINGH,10411,Manipur,Kshetrigao ,1,2017,30303,34.36,BJP
S14,4,MD. AMIN SHAH,10031,Manipur,Kshetrigao ,2,2017,30303,33.1,INC
S14,4,TH. NANDAKISHOR SINGH,9190,Manipur,Kshetrigao ,3,2017,30303,30.33,MNDF
S14,4,VIVEKRAJ WANGKHEM,281,Manipur,Kshetrigao ,4,2017,30303,0.93,NPP
S14,4,MD. AZIZUL HAGUE KHAN,80,Manipur,Kshetrigao ,6,2017,30303,0.26,MPP
S14,4,MD. ABIR KHAN,69,Manipur,Kshetrigao ,7,2017,30303,0.23,AIFB
S14,4,MD. ZAMEER AHMED,67,Manipur,Kshetrigao ,8,2017,30303,0.22,AITC
S14,4,None of the Above,174,Manipur,Kshetrigao ,5,2017,30303,0.57,NOTA
S14,5,THONGAM BISWAJIT SINGH,16809,Manipur,Thongju ,1,2017,26846,62.61,BJP
S14,5,THOKCHOM AJIT SINGH,9508,Manipur,Thongju ,2,2017,26846,35.42,INC
S14,5,L. GEETARANJAN SHARMA,131,Manipur,Thongju ,4,2017,26846,0.49,AITC
S14,5,None of the Above,398,Manipur,Thongju ,3,2017,26846,1.48,NOTA
S14,6,LOUREMBAM RAMESHWOR MEETEI,5959,Manipur,Keirao ,1,2017,26130,22.81,BJP
S14,6,MD. NASIRUDDIN KHAN,5421,Manipur,Keirao ,2,2017,26130,20.75,IND
S14,6,KARAM THAMARJIT SINGH,4715,Manipur,Keirao ,3,2017,26130,18.04,INC
S14,6,THONGRAM GOPEN,4477,Manipur,Keirao ,4,2017,26130,17.13,NEP
S14,6,MD. ISLAMUDDIN KHAN,3241,Manipur,Keirao ,5,2017,26130,12.4,NCP
S14,6,TAKHELLAMBAM SAMANANDA SINGH,1446,Manipur,Keirao ,6,2017,26130,5.53,LJSP
S14,6,NINGTHOUJAM ITOMBA MEETEI,685,Manipur,Keirao ,7,2017,26130,2.62,MNDF
S14,6,MD. WAHIDUR RAHMAN,106,Manipur,Keirao ,8,2017,26130,0.41,IND
S14,6,None of the Above,80,Manipur,Keirao ,9,2017,26130,0.31,NOTA
