#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
1,Sujanpur,1,Dinesh Singh,BJP,50408,2012,110978,45.42
2,Sujanpur,1,Naresh Puri,IND,27312,2012,110978,24.61
3,Sujanpur,1,Vinay Mahajan,INC,22994,2012,110978,20.72
4,Sujanpur,1,Karnail Chand,BSP,4287,2012,110978,3.86
5,Sujanpur,1,Loveleen Chahal,CPI,2272,2012,110978,2.05
6,Sujanpur,1,Nirmal Singh,IND,1837,2012,110978,1.66
7,Sujanpur,1,Kiran Sharma,IND,751,2012,110978,0.68
8,Sujanpur,1,Narain Singh,IND,665,2012,110978,0.6
9,Sujanpur,1,Subhash Chander,IND,452,2012,110978,0.41
1,Bhoa,2,Seema Kumari,BJP,50503,2012,108512,46.54
2,Bhoa,2,Balbir Ram,INC,38355,2012,108512,35.35
3,Bhoa,2,Ram Lal,IND,7508,2012,108512,6.92
4,Bhoa,2,Lal Chand,IND,5624,2012,108512,5.18
5,Bhoa,2,Amarjit Singh,BSP,2841,2012,108512,2.62
6,Bhoa,2,Gurdev Singh,CPM,2779,2012,108512,2.56
7,Bhoa,2,Des Raj,IND,902,2012,108512,0.83
1,Pathankot,3,Ashwani Kumar Sharma,BJP,42218,2012,94742,44.56
2,Pathankot,3,Raman Bhalla,INC,24362,2012,94742,25.71
3,Pathankot,3,Ashok Sharma,IND,23713,2012,94742,25.03
4,Pathankot,3,Dr. Jaspal Singh Bhinder,PPOP,1294,2012,94742,1.37
5,Pathankot,3,Sansar Chand,BSP,1129,2012,94742,1.19
6,Pathankot,3,Munisha,IND,712,2012,94742,0.75
7,Pathankot,3,Amit Aggarwal,SHS,635,2012,94742,0.67
8,Pathankot,3,Shashi Bala,IND,292,2012,94742,0.31
9,Pathankot,3,Kartar Singh Khalsa,IND,208,2012,94742,0.22
10,Pathankot,3,Sudesh,NCP,179,2012,94742,0.19
1,Gurdaspur,4,Gurbachan Singh,SAD,59905,2012,104629,57.25
2,Gurdaspur,4,Raman Bahl,INC,38335,2012,104629,36.64
3,Gurdaspur,4,Hardyal Singh,PPOP,2709,2012,104629,2.59
4,Gurdaspur,4,Mulakh Raj,SSPD,966,2012,104629,0.92
5,Gurdaspur,4,Deepak Sharma,IND,866,2012,104629,0.83
6,Gurdaspur,4,Dr.Parveen Kumar Janjua,BSP,851,2012,104629,0.81
7,Gurdaspur,4,Harminder Singh,SHS,403,2012,104629,0.39
8,Gurdaspur,4,Satnam Singh,SAD(M),394,2012,104629,0.38
