#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
1,Behat,1,Mahaveer Singh Rana,BSP,70274,2012,221122,31.78
2,Behat,1,Naresh,INC,69760,2012,221122,31.55
3,Behat,1,Umar Ali Khan,SP,47366,2012,221122,21.42
4,Behat,1,Ajay Chauhan,BJP,23623,2012,221122,10.68
5,Behat,1,Dharam Singh,CPI,2251,2012,221122,1.02
6,Behat,1,Dhaniram,IND,1774,2012,221122,0.8
7,Behat,1,Arvind,MD,1399,2012,221122,0.63
8,Behat,1,Kari Inam,RUC,1308,2012,221122,0.59
9,Behat,1,Yashpal,ABHM,781,2012,221122,0.35
10,Behat,1,Abdul Jabbar,NCP,726,2012,221122,0.33
11,Behat,1,Vikram,VAJP,702,2012,221122,0.32
12,Behat,1,Irshad Urf Bhoora,RLM,593,2012,221122,0.27
13,Behat,1,Mahmood,LD,565,2012,221122,0.26
1,Nakur,2,Dr. Dharam Singh Saini,BSP,89187,2012,230751,38.65
2,Nakur,2,Imran Masood,INC,84623,2012,230751,36.67
3,Nakur,2,Firoz Aftab,SP,29503,2012,230751,12.79
4,Nakur,2,Govind Choudhary,IND,14226,2012,230751,6.17
5,Nakur,2,Mela Ram,BJP,6634,2012,230751,2.87
6,Nakur,2,Ranjor,IND,1126,2012,230751,0.49
7,Nakur,2,Shiv Charan,IND,1095,2012,230751,0.47
8,Nakur,2,Kanwarpal,MD,866,2012,230751,0.38
9,Nakur,2,Avnish Arya,VAJP,701,2012,230751,0.3
10,Nakur,2,Yogendra,SHS,642,2012,230751,0.28
11,Nakur,2,Wazir Ahmad,PECP,553,2012,230751,0.24
12,Nakur,2,Atul,BRVP,484,2012,230751,0.21
13,Nakur,2,Shauraj Singh Panwar,LJP,405,2012,230751,0.18
14,Nakur,2,Ajay Kumar,RJSWP,294,2012,230751,0.13
15,Nakur,2,Jarif,RUC,278,2012,230751,0.12
16,Nakur,2,Arshad,RLM,134,2012,230751,0.06
1,Saharanpur Nagar,3,Raghav Lakhanpal,BJP,85170,2012,219492,38.8
2,Saharanpur Nagar,3,Saleem Ahmed,INC,72544,2012,219492,33.05
3,Saharanpur Nagar,3,Sanjaya Garg,BSP,36140,2012,219492,16.47
4,Saharanpur Nagar,3,Mazahirhasan,SP,19755,2012,219492,9
5,Saharanpur Nagar,3,Sikander,IND,1055,2012,219492,0.48
6,Saharanpur Nagar,3,Sanjay,BSP(A),920,2012,219492,0.42
7,Saharanpur Nagar,3,Daud,IND,579,2012,219492,0.26
8,Saharanpur Nagar,3,Subhash,NCP,509,2012,219492,0.23
9,Saharanpur Nagar,3,Rashid Ansari,PECP,465,2012,219492,0.21
10,Saharanpur Nagar,3,Sandeep Gupta,IND,464,2012,219492,0.21
11,Saharanpur Nagar,3,Ch. Izhar Bablu,RUC,385,2012,219492,0.18
12,Saharanpur Nagar,3,Mohd. Arif,IND,345,2012,219492,0.16
