ST_CD,AC_NO,NAME,VOTES,ST_NAME,AC_NAME,#,YEAR,polled_votes,vote_percent,PARTY
S24,1,NARESH SAINI,97035,Uttar Pradesh,Behat,1,2017,252559,38.42,INC
S24,1,MAHAVEER SINGH RANA,71449,Uttar Pradesh,Behat,2,2017,252559,28.29,BJP
S24,1,MOHD. IQBAL,71019,Uttar Pradesh,Behat,3,2017,252559,28.12,BSP
S24,1,RANA ADITYA PRATAP SINGH,4187,Uttar Pradesh,Behat,4,2017,252559,1.66,IND
S24,1,KAMRAN ALI,1255,Uttar Pradesh,Behat,6,2017,252559,0.5,BSP
S24,1,ARUN,1150,Uttar Pradesh,Behat,7,2017,252559,0.46,RLD
S24,1,HARDHYAN,1113,Uttar Pradesh,Behat,8,2017,252559,0.44,IND
S24,1,GOPAL SINGH,945,Uttar Pradesh,Behat,9,2017,252559,0.37,IND
S24,1,KRISHNA KUMAR,810,Uttar Pradesh,Behat,10,2017,252559,0.32,IND
S24,1,KALYAN SINGH,659,Uttar Pradesh,Behat,11,2017,252559,0.26,IND
S24,1,LOKESH VERMA,617,Uttar Pradesh,Behat,12,2017,252559,0.24,BTSP
S24,1,SAKEEM KHAN,425,Uttar Pradesh,Behat,13,2017,252559,0.17,BMP
S24,1,KARM SINGH,319,Uttar Pradesh,Behat,14,2017,252559,0.13,IND
S24,1,None of the Above,1576,Uttar Pradesh,Behat,5,2017,252559,0.62,NOTA
S24,2,DR.DHARAM SINGH SAINI,94375,Uttar Pradesh,Nakur,1,2017,255532,36.93,BJP
S24,2,IMRAN MASOOD,90318,Uttar Pradesh,Nakur,2,2017,255532,35.35,INC
S24,2,NAVEEN CHOUDHARY,65328,Uttar Pradesh,Nakur,3,2017,255532,25.57,BSP
S24,2,KAMAL GARG,944,Uttar Pradesh,Nakur,5,2017,255532,0.37,IND
S24,2,VIJAYPAL SINGH,814,Uttar Pradesh,Nakur,6,2017,255532,0.32,IND
S24,2,RAJPAL SINGH,813,Uttar Pradesh,Nakur,7,2017,255532,0.32,IND
S24,2,RAMKUMAR,783,Uttar Pradesh,Nakur,8,2017,255532,0.31,RLD
S24,2,PARVESH KUMAR,295,Uttar Pradesh,Nakur,9,2017,255532,0.12,ASP
S24,2,RAJIV SAINI,245,Uttar Pradesh,Nakur,10,2017,255532,0.1,BMP
S24,2,INDU,245,Uttar Pradesh,Nakur,10,2017,255532,0.1,IND
S24,2,ARVIND,140,Uttar Pradesh,Nakur,12,2017,255532,0.05,IND
S24,2,None of the Above,1232,Uttar Pradesh,Nakur,4,2017,255532,0.48,NOTA
S24,3,SANJAY GARG,127210,Uttar Pradesh,Saharanpur Nagar,1,2017,272509,46.68,SP
S24,3,RAJIV GUMBER,122574,Uttar Pradesh,Saharanpur Nagar,2,2017,272509,44.98,BJP
S24,3,MUKESH DIXIT,17350,Uttar Pradesh,Saharanpur Nagar,3,2017,272509,6.37,BSP
S24,3,BHOORA MALIK,934,Uttar Pradesh,Saharanpur Nagar,4,2017,272509,0.34,RLD
S24,3,TALAT KHAN,693,Uttar Pradesh,Saharanpur Nagar,5,2017,272509,0.25,AIMEIM
S24,3,SHABNAM,594,Uttar Pradesh,Saharanpur Nagar,7,2017,272509,0.22,IND
S24,3,ZAINUL AABIDEEN SIDDIQUI,494,Uttar Pradesh,Saharanpur Nagar,8,2017,272509,0.18,PBI
S24,3,ROSHAN SINGH,409,Uttar Pradesh,Saharanpur Nagar,9,2017,272509,0.15,IND
S24,3,BHARAT RAJ,386,Uttar Pradesh,Saharanpur Nagar,10,2017,272509,0.14,BMP
S24,3,SHIV KUMAR GUPTA,286,Uttar Pradesh,Saharanpur Nagar,11,2017,272509,0.1,IND
S24,3,SHIV KUMAR,265,Uttar Pradesh,Saharanpur Nagar,12,2017,272509,0.1,SJP
S24,3,VINAY DHIMAN,255,Uttar Pradesh,Saharanpur Nagar,13,2017,272509,0.09,OP
S24,3,RAVINDER ARORA,223,Uttar Pradesh,Saharanpur Nagar,14,2017,272509,0.08,SHI
S24,3,MOHD.MURSLEEN,161,Uttar Pradesh,Saharanpur Nagar,15,2017,272509,0.06,IND
S24,3,None of the Above,675,Uttar Pradesh,Saharanpur Nagar,6,2017,272509,0.25,NOTA
S24,4,MASOOD AKHTAR,87689,Uttar Pradesh,Saharanpur  ,1,2017,237468,36.93,INC
S24,4,JAGPAL SINGH,75365,Uttar Pradesh,Saharanpur  ,2,2017,237468,31.74,BSP
S24,4,MANOJ CHAUDHARY,58752,Uttar Pradesh,Saharanpur  ,3,2017,237468,24.74,BJP
S24,4,SAAD ALI KHAN,10950,Uttar Pradesh,Saharanpur  ,4,2017,237468,4.61,IND
S24,4,AYYUB HASAN,822,Uttar Pradesh,Saharanpur  ,6,2017,237468,0.35,RLD
S24,4,AMJAD ALI,774,Uttar Pradesh,Saharanpur  ,7,2017,237468,0.33,LD
S24,4,SHABNOOR BEGUM,596,Uttar Pradesh,Saharanpur  ,8,2017,237468,0.25,IND
S24,4,VIKRAM SAINI,399,Uttar Pradesh,Saharanpur  ,9,2017,237468,0.17,IND
S24,4,PARVESH KUMAR,376,Uttar Pradesh,Saharanpur  ,10,2017,237468,0.16,IND
S24,4,SULEMAN,256,Uttar Pradesh,Saharanpur  ,11,2017,237468,0.11,BMP
S24,4,SACHIN KUMAR,220,Uttar Pradesh,Saharanpur  ,12,2017,237468,0.09,BTSP
S24,4,BABLU,155,Uttar Pradesh,Saharanpur  ,13,2017,237468,0.07,ASP
S24,4,NAUSHAD,146,Uttar Pradesh,Saharanpur  ,14,2017,237468,0.06,JAP
S24,4,None of the Above,968,Uttar Pradesh,Saharanpur  ,5,2017,237468,0.41,NOTA
S24,5,BRIJESH,102244,Uttar Pradesh,Deoband,1,2017,234306,43.64,BJP
S24,5,MAJID ALI,72844,Uttar Pradesh,Deoband,2,2017,234306,31.09,BSP
S24,5,MAVIA ALI,55385,Uttar Pradesh,Deoband,3,2017,234306,23.64,SP
S24,5,BHUPESHWAR TYAGI,1132,Uttar Pradesh,Deoband,4,2017,234306,0.48,RLD
S24,5,DHARMAVIR,651,Uttar Pradesh,Deoband,6,2017,234306,0.28,BMP
S24,5,RAKESH VERMA,598,Uttar Pradesh,Deoband,7,2017,234306,0.26,BTSP
S24,5,UMAR NAWAZ,415,Uttar Pradesh,Deoband,8,2017,234306,0.18,IND
S24,5,ZAHIR FATMA,239,Uttar Pradesh,Deoband,9,2017,234306,0.1,IND
S24,5,None of the Above,798,Uttar Pradesh,Deoband,5,2017,234306,0.34,NOTA
S24,6,DEVENDER KUMAR NIM,76465,Uttar Pradesh,Rampur Maniharan ,1,2017,218831,34.94,BJP
S24,6,RAVINDRA KUMAR MOLHU,75870,Uttar Pradesh,Rampur Maniharan ,2,2017,218831,34.67,BSP
S24,6,VISHVA DAYAL CHHOTAN,61787,Uttar Pradesh,Rampur Maniharan ,3,2017,218831,28.24,INC
S24,6,DAYAWATI CHAUDHRY,696,Uttar Pradesh,Rampur Maniharan ,5,2017,218831,0.32,RLD
S24,6,BIJENDRA,689,Uttar Pradesh,Rampur Maniharan ,6,2017,218831,0.31,IND
S24,6,REKHA,579,Uttar Pradesh,Rampur Maniharan ,7,2017,218831,0.26,IND
S24,6,ARVIND JHANJHOT,523,Uttar Pradesh,Rampur Maniharan ,8,2017,218831,0.24,RGD
S24,6,SURESH KUMAR,475,Uttar Pradesh,Rampur Maniharan ,9,2017,218831,0.22,BMP
S24,6,ANJU BALA,391,Uttar Pradesh,Rampur Maniharan ,10,2017,218831,0.18,BTSP
S24,6,BABY,256,Uttar Pradesh,Rampur Maniharan ,11,2017,218831,0.12,KISJP
S24,6,KM.LATA,244,Uttar Pradesh,Rampur Maniharan ,12,2017,218831,0.11,IVD
S24,6,None of the Above,856,Uttar Pradesh,Rampur Maniharan ,4,2017,218831,0.39,NOTA
S24,7,PRADEEP KUMAR,99446,Uttar Pradesh,Gangoh,1,2017,257378,38.64,BJP
S24,7,NAUMAN MASOOD,61418,Uttar Pradesh,Gangoh,2,2017,257378,23.86,INC
S24,7,INDER SAIN,47219,Uttar Pradesh,Gangoh,3,2017,257378,18.35,SP
S24,7,MAHIPAL SINGH MAJRA,44717,Uttar Pradesh,Gangoh,4,2017,257378,17.37,BSP
S24,7,RAJNESH CHAUHAN,1054,Uttar Pradesh,Gangoh,5,2017,257378,0.41,RLD
S24,7,YATENDERA,609,Uttar Pradesh,Gangoh,7,2017,257378,0.24,IND
S24,7,SATNAM SINGH,579,Uttar Pradesh,Gangoh,8,2017,257378,0.22,SSP
S24,7,KAWAR PAL,526,Uttar Pradesh,Gangoh,9,2017,257378,0.2,IND
S24,7,VIKAS KUMAR,475,Uttar Pradesh,Gangoh,10,2017,257378,0.18,IND
S24,7,SONU VERMA,364,Uttar Pradesh,Gangoh,11,2017,257378,0.14,BTSP
S24,7,None of the Above,971,Uttar Pradesh,Gangoh,6,2017,257378,0.38,NOTA
S24,8,NAHID HASAN,98830,Uttar Pradesh,Kairana,1,2017,209134,47.26,SP
S24,8,MRIGANKA SINGH,77668,Uttar Pradesh,Kairana,2,2017,209134,37.14,BJP
S24,8,ANIL KUMAR,19992,Uttar Pradesh,Kairana,3,2017,209134,9.56,RLD
S24,8,DIWAKAR DESHWAL,6888,Uttar Pradesh,Kairana,4,2017,209134,3.29,BSP
S24,8,MASEEHULLA,1365,Uttar Pradesh,Kairana,5,2017,209134,0.65,AIMEIM
S24,8,SARFARAJ KHAN,1127,Uttar Pradesh,Kairana,6,2017,209134,0.54,LD
S24,8,SETHPAL,623,Uttar Pradesh,Kairana,8,2017,209134,0.3,IND
S24,8,DHARMVEER,545,Uttar Pradesh,Kairana,9,2017,209134,0.26,IND
S24,8,VINOD KUMAR,496,Uttar Pradesh,Kairana,10,2017,209134,0.24,IND
S24,8,SAHENDRA PAL,290,Uttar Pradesh,Kairana,11,2017,209134,0.14,BVP
S24,8,SANDEEP,250,Uttar Pradesh,Kairana,12,2017,209134,0.12,BMP
S24,8,None of the Above,1060,Uttar Pradesh,Kairana,7,2017,209134,0.51,NOTA
S24,9,SURESH KUMAR,90995,Uttar Pradesh,Thana Bhawan,1,2017,212691,42.78,BJP
S24,9,ABDUL WARIS KHAN,74178,Uttar Pradesh,Thana Bhawan,2,2017,212691,34.88,BSP
S24,9,JAVED RAO,31275,Uttar Pradesh,Thana Bhawan,3,2017,212691,14.7,RLD
S24,9,SUDHIR KUMAR,13480,Uttar Pradesh,Thana Bhawan,4,2017,212691,6.34,SP
S24,9,MOHD NASIR,561,Uttar Pradesh,Thana Bhawan,6,2017,212691,0.26,BMP
S24,9,RAHAT ALI,378,Uttar Pradesh,Thana Bhawan,7,2017,212691,0.18,IND
S24,9,SUNIL,318,Uttar Pradesh,Thana Bhawan,8,2017,212691,0.15,IND
S24,9,SAHDEV,225,Uttar Pradesh,Thana Bhawan,9,2017,212691,0.11,IND
S24,9,MANJU,210,Uttar Pradesh,Thana Bhawan,10,2017,212691,0.1,IND
S24,9,PARVEZ ALI,188,Uttar Pradesh,Thana Bhawan,11,2017,212691,0.09,IND
S24,9,None of the Above,883,Uttar Pradesh,Thana Bhawan,5,2017,212691,0.42,NOTA
S24,10,TEJENDRA NIRWAL,70085,Uttar Pradesh,Shamli,1,2017,196347,35.69,BJP
S24,10,PANKAJ KUMAR MALIK,40365,Uttar Pradesh,Shamli,2,2017,196347,20.56,INC
S24,10,BIJENDRA SINGH,33551,Uttar Pradesh,Shamli,3,2017,196347,17.09,RLD
S24,10,MANISH KUMAR,31824,Uttar Pradesh,Shamli,4,2017,196347,16.21,IND
S24,10,MOHAMMAD ISLAM,17114,Uttar Pradesh,Shamli,5,2017,196347,8.72,BSP
S24,10,BILAL A,820,Uttar Pradesh,Shamli,7,2017,196347,0.42,PP
S24,10,SANJEEV KUMAR,379,Uttar Pradesh,Shamli,8,2017,196347,0.19,IND
S24,10,SANJEEV,294,Uttar Pradesh,Shamli,9,2017,196347,0.15,IND
S24,10,MOHD. GUFRAN KAZMI,294,Uttar Pradesh,Shamli,9,2017,196347,0.15,IND
S24,10,ARVIND KUMAR,278,Uttar Pradesh,Shamli,11,2017,196347,0.14,BMP
S24,10,OMPAL,233,Uttar Pradesh,Shamli,12,2017,196347,0.12,BJDT
S24,10,LOKENDRA KUMAR,209,Uttar Pradesh,Shamli,13,2017,196347,0.11,IND
S24,10,None of the Above,901,Uttar Pradesh,Shamli,6,2017,196347,0.46,NOTA
S24,11,UMESH MALIK,97781,Uttar Pradesh,Budhana,1,2017,241116,40.55,BJP
S24,11,PRAMOD TYAGI,84580,Uttar Pradesh,Budhana,2,2017,241116,35.08,SP
S24,11,SAEEDA BEGAM,30034,Uttar Pradesh,Budhana,3,2017,241116,12.46,BSP
S24,11,YOGRAJ SINGH,23732,Uttar Pradesh,Budhana,4,2017,241116,9.84,RLD
S24,11,SHOBHA RAM,699,Uttar Pradesh,Budhana,6,2017,241116,0.29,IND
S24,11,MOHD. RASHEED KASSAR,666,Uttar Pradesh,Budhana,7,2017,241116,0.28,IND
S24,11,DINESH KUMAR,611,Uttar Pradesh,Budhana,8,2017,241116,0.25,NISHAD
S24,11,JAMEEL,400,Uttar Pradesh,Budhana,9,2017,241116,0.17,NLP
S24,11,MANOJ,361,Uttar Pradesh,Budhana,10,2017,241116,0.15,RKMP
S24,11,RIZWAN,276,Uttar Pradesh,Budhana,11,2017,241116,0.11,IND
S24,11,CH. RAJKUMAR BALIYAN,222,Uttar Pradesh,Budhana,12,2017,241116,0.09,IND
S24,11,SUMAT PAL KASHYAP,145,Uttar Pradesh,Budhana,13,2017,241116,0.06,SHI
S24,11,JAGAPAL,136,Uttar Pradesh,Budhana,14,2017,241116,0.06,IND
S24,11,ANIL,106,Uttar Pradesh,Budhana,15,2017,241116,0.04,IND
S24,11,MOHD. GULAFAM,81,Uttar Pradesh,Budhana,16,2017,241116,0.03,IND
S24,11,None of the Above,1286,Uttar Pradesh,Budhana,5,2017,241116,0.53,NOTA
S24,12,VIJAY KUMAR KASHYAP,82046,Uttar Pradesh,Charthawal,1,2017,206964,39.64,BJP
S24,12,MUKESH KUMAR CHAUDHARY,58815,Uttar Pradesh,Charthawal,2,2017,206964,28.42,SP
S24,12,NOOR SALEEM RANA,47704,Uttar Pradesh,Charthawal,3,2017,206964,23.05,BSP
S24,12,SALMAN ZAIDI,14442,Uttar Pradesh,Charthawal,4,2017,206964,6.98,RLD
S24,12,VISHAL KUMAR,975,Uttar Pradesh,Charthawal,6,2017,206964,0.47,NISHAD
