#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
1,Purola,1,Malchand,BJP,18098,2012,45533,39.75
2,Purola,1,Rajkumar,IND,14266,2012,45533,31.33
3,Purola,1,Rajesh Juwantha,INC,10804,2012,45533,23.73
4,Purola,1,Kishan Lal,BSP,1659,2012,45533,3.64
5,Purola,1,Prakash Devnata,UTPP,706,2012,45533,1.55
1,Yamunotri,2,Pritam Singh Panwar,UKDP,15909,2012,43936,36.21
2,Yamunotri,2,Kedar Singh Rawat,INC,13313,2012,43936,30.3
3,Yamunotri,2,Jagveer Singh,BJP,11961,2012,43936,27.22
4,Yamunotri,2,Mahaveer Singh,IND,1058,2012,43936,2.41
5,Yamunotri,2,Vijendra Prasad,BSP,867,2012,43936,1.97
6,Yamunotri,2,Jeet Singh Bhadkoti,JD(U),454,2012,43936,1.03
7,Yamunotri,2,Murari Lal,UTRM,374,2012,43936,0.85
1,Gangotri,3,Vijaipal Singh Sajwan,INC,20246,2012,50446,40.13
2,Gangotri,3,Gopal Singh Rawat,BJP,13223,2012,50446,26.21
3,Gangotri,3,Suresh Singh,IND,6436,2012,50446,12.76
4,Gangotri,3,Kishan Singh,IND,5595,2012,50446,11.09
5,Gangotri,3,Hari Shankar,IND,1417,2012,50446,2.81
6,Gangotri,3,Dinesh Nautiyal,CPI,1356,2012,50446,2.69
7,Gangotri,3,Hukam Singh,BSP,1080,2012,50446,2.14
8,Gangotri,3,Bhagwati Prasad,UKDP,584,2012,50446,1.16
9,Gangotri,3,Ravindra,UPP,287,2012,50446,0.57
10,Gangotri,3,Narayani,LJP,222,2012,50446,0.44
1,Badrinath,4,Rajendra Singh Bhandri,INC,21492,2012,54994,39.08
2,Badrinath,4,Prem Ballabh Bhatt,BJP,11291,2012,54994,20.53
3,Badrinath,4,Kedar Singh Fonia,UTRM,7511,2012,54994,13.66
4,Badrinath,4,Nandan Singh Bisht,IND,5803,2012,54994,10.55
5,Badrinath,4,Anand Singh,CPI,4681,2012,54994,8.51
6,Badrinath,4,Sabar Singh,BSP,1671,2012,54994,3.04
7,Badrinath,4,Pankaj Vyas,IND,1267,2012,54994,2.3
8,Badrinath,4,Mohan Lal Bharti,LJP,699,2012,54994,1.27
