ST_CD,AC_NO,NAME,VOTES,ST_NAME,AC_NAME,#,YEAR,polled_votes,vote_percent,PARTY
S28,1,RAJKUMAR,17798,Uttarakhand,Purola,1,2017,49532,35.93,INC
S28,1,MALCHAND,16785,Uttarakhand,Purola,2,2017,49532,33.89,BJP
S28,1,DURGESHWAR LAL,13508,Uttarakhand,Purola,3,2017,49532,27.27,IND
S28,1,RAMLAL,679,Uttarakhand,Purola,5,2017,49532,1.37,BSP
S28,1,None of the Above,762,Uttarakhand,Purola,4,2017,49532,1.54,NOTA
S28,2,KEDAR SINGH,19800,Uttarakhand,Yamunotri,1,2017,47104,42.03,BJP
S28,2,SANJAY DOBHAL,13840,Uttarakhand,Yamunotri,2,2017,47104,29.38,INC
S28,2,PRAKASH CHAND RAMOLA,7061,Uttarakhand,Yamunotri,3,2017,47104,14.99,IND
S28,2,RANVEER SINGH,4613,Uttarakhand,Yamunotri,4,2017,47104,9.79,IND
S28,2,RAJBAHADUR SINGH BAUDDH,530,Uttarakhand,Yamunotri,5,2017,47104,1.13,BSP
S28,2,JAIPRAKASH,342,Uttarakhand,Yamunotri,7,2017,47104,0.73,SVP
S28,2,DHARMANAND BIJALWAN,248,Uttarakhand,Yamunotri,8,2017,47104,0.53,IND
S28,2,PURUSHOTTAM UNIYAL,246,Uttarakhand,Yamunotri,9,2017,47104,0.52,UKD
S28,2,None of the Above,424,Uttarakhand,Yamunotri,6,2017,47104,0.9,NOTA
S28,3,GOPAL SINGH RAWAT,25683,Uttarakhand,Gangotri,1,2017,55652,46.15,BJP
S28,3,VIJAYPAL SINGH SAJWAN,16073,Uttarakhand,Gangotri,2,2017,55652,28.88,INC
S28,3,SURATRAM NAUTIYAL,9491,Uttarakhand,Gangotri,3,2017,55652,17.05,IND
S28,3,BHUPENDRA SINGH,1526,Uttarakhand,Gangotri,4,2017,55652,2.74,IND
S28,3,VIJAYPAL TANGANI,576,Uttarakhand,Gangotri,6,2017,55652,1.04,BSP
S28,3,MAHAVEER PRASAD,553,Uttarakhand,Gangotri,7,2017,55652,0.99,CPI
S28,3,RAJBEER SINGH PARMAR,412,Uttarakhand,Gangotri,8,2017,55652,0.74,RJSD
S28,3,RATAN LAL VERMA,213,Uttarakhand,Gangotri,9,2017,55652,0.38,IND
S28,3,VISHNUPAL SINGH RAWAT,192,Uttarakhand,Gangotri,10,2017,55652,0.35,UKD
S28,3,None of the Above,933,Uttarakhand,Gangotri,5,2017,55652,1.68,NOTA
S28,4,MAHENDRA BHATT,29676,Uttarakhand,Badrinath,1,2017,63408,46.8,BJP
S28,4,RAJENDRA SINGH BHANDARI,24042,Uttarakhand,Badrinath,2,2017,63408,37.92,INC
S28,4,BHARAT SINGH KUNWAR,2380,Uttarakhand,Badrinath,3,2017,63408,3.75,CPI
S28,4,VINOD FONIA,2370,Uttarakhand,Badrinath,4,2017,63408,3.74,IND
S28,4,MUKESH LAL KOSHWAL,1652,Uttarakhand,Badrinath,5,2017,63408,2.61,BSP
S28,4,ARUNA DANWASHI,916,Uttarakhand,Badrinath,6,2017,63408,1.44,IND
S28,4,KEERAT SINGH BHANDARI,859,Uttarakhand,Badrinath,7,2017,63408,1.35,SP
S28,4,DEVENDRA SINGH NEGI,487,Uttarakhand,Badrinath,9,2017,63408,0.77,UKD
S28,4,LAXMI PRASAD SATI,335,Uttarakhand,Badrinath,10,2017,63408,0.53,IND
S28,4,None of the Above,691,Uttarakhand,Badrinath,8,2017,63408,1.09,NOTA
S28,5,MAGAN LAL SHAH,25810,Uttarakhand,Tharali,1,2017,58593,44.05,BJP
S28,5,DR. JEET RAM,20889,Uttarakhand,Tharali,2,2017,58593,35.65,INC
S28,5,GUDDU LAL,7088,Uttarakhand,Tharali,3,2017,58593,12.1,IND
S28,5,MOHAN LAL KANYAL,848,Uttarakhand,Tharali,5,2017,58593,1.45,BSP
S28,5,RAJPAL KANYAL,750,Uttarakhand,Tharali,6,2017,58593,1.28,CPM
S28,5,CAPT. (RETD) GANESH KUMAR,591,Uttarakhand,Tharali,7,2017,58593,1.01,IND
S28,5,KASBI LAL SHAH,335,Uttarakhand,Tharali,8,2017,58593,0.57,UKD
S28,5,BIRENDRA LAL TAMTA,270,Uttarakhand,Tharali,9,2017,58593,0.46,SP
S28,5,RADHA BALLABH KANYAL,255,Uttarakhand,Tharali,10,2017,58593,0.44,PP
S28,5,None of the Above,1757,Uttarakhand,Tharali,4,2017,58593,3.0,NOTA
S28,6,SURENDRA SINGH NEGI,28159,Uttarakhand,Karnprayag,1,2017,54442,51.72,BJP
S28,6,DR. ANSUYA PARSAD MAIKHURI,20610,Uttarakhand,Karnprayag,2,2017,54442,37.86,INC
S28,6,INDRESH MAIKHURI,1331,Uttarakhand,Karnprayag,3,2017,54442,2.44,CPML
S28,6,BALWANT SINGH NEGI,1232,Uttarakhand,Karnprayag,4,2017,54442,2.26,UKD
S28,6,JYOTI KANWASI,857,Uttarakhand,Karnprayag,5,2017,54442,1.57,BSP
S28,6,BHAGAT SINGH NEGI,673,Uttarakhand,Karnprayag,7,2017,54442,1.24,IND
S28,6,MOHAN SINGH NEGI,300,Uttarakhand,Karnprayag,8,2017,54442,0.55,IND
S28,6,PADAM SINGH,281,Uttarakhand,Karnprayag,9,2017,54442,0.52,IND
S28,6,ANANDMANI DUTT JOSHI JHALMAMA,189,Uttarakhand,Karnprayag,10,2017,54442,0.35,IND
S28,6,None of the Above,810,Uttarakhand,Karnprayag,6,2017,54442,1.49,NOTA
S28,7,MANOJ RAWAT,13906,Uttarakhand,Kedarnath,1,2017,56204,24.74,INC
S28,7,KULDEEP SINGH RAWAT,13037,Uttarakhand,Kedarnath,2,2017,56204,23.2,IND
S28,7,ASHA,11786,Uttarakhand,Kedarnath,3,2017,56204,20.97,IND
S28,7,SHAILA RANI RAWAT,11472,Uttarakhand,Kedarnath,4,2017,56204,20.41,BJP
S28,7,GANGADHAR,2734,Uttarakhand,Kedarnath,5,2017,56204,4.86,UKD
S28,7,GANGADHAR,1001,Uttarakhand,Kedarnath,6,2017,56204,1.78,CPM
S28,7,SHAMBHU PRASAD BHATT,650,Uttarakhand,Kedarnath,8,2017,56204,1.16,IND
S28,7,VIKRAM SINGH,456,Uttarakhand,Kedarnath,9,2017,56204,0.81,SSP
S28,7,KUNDAN LAL,447,Uttarakhand,Kedarnath,10,2017,56204,0.8,BSP
S28,7,None of the Above,715,Uttarakhand,Kedarnath,7,2017,56204,1.27,NOTA
S28,8,BHARAT SINGH,29333,Uttarakhand,Rudraprayag,1,2017,58176,50.42,BJP
S28,8,LAXMI SINGH RANA,14701,Uttarakhand,Rudraprayag,2,2017,58176,25.27,INC
S28,8,PRADEEP PRASAD THAPLIYAL,5818,Uttarakhand,Rudraprayag,3,2017,58176,10.0,IND
S28,8,JAGMOHAN SINGH RAUTHAN,3342,Uttarakhand,Rudraprayag,4,2017,58176,5.74,IND
S28,8,SURJEET LAL,801,Uttarakhand,Rudraprayag,6,2017,58176,1.38,BSP
S28,8,LALITA PRASAD,746,Uttarakhand,Rudraprayag,7,2017,58176,1.28,CPI
S28,8,BHAGWATI PRASAD,711,Uttarakhand,Rudraprayag,8,2017,58176,1.22,IND
S28,8,JAI OM PRAKASH,642,Uttarakhand,Rudraprayag,9,2017,58176,1.1,IND
S28,8,JAGDISH SINGH,359,Uttarakhand,Rudraprayag,10,2017,58176,0.62,IND
S28,8,DEVENDRA PRASAD,237,Uttarakhand,Rudraprayag,11,2017,58176,0.41,UKD
S28,8,ANIL RAWAT,220,Uttarakhand,Rudraprayag,12,2017,58176,0.38,IND
S28,8,None of the Above,1266,Uttarakhand,Rudraprayag,5,2017,58176,2.18,NOTA
S28,9,SHAKTI LAL SHAH,22103,Uttarakhand,Ghanshali,1,2017,44794,49.34,BJP
S28,9,DHANILAL SHAH,10450,Uttarakhand,Ghanshali,2,2017,44794,23.33,IND
S28,9,BHEEM LAL ARYA,4963,Uttarakhand,Ghanshali,3,2017,44794,11.08,INC
S28,9,PREM LAL,3062,Uttarakhand,Ghanshali,4,2017,44794,6.84,IND
S28,9,MAKAN LAL,1458,Uttarakhand,Ghanshali,5,2017,44794,3.25,URM
S28,9,KAMAL DAS,715,Uttarakhand,Ghanshali,7,2017,44794,1.6,IND
S28,9,PINGAL DASS,653,Uttarakhand,Ghanshali,8,2017,44794,1.46,BSP
S28,9,SIMAN LAL ARYA,395,Uttarakhand,Ghanshali,9,2017,44794,0.88,UKD
S28,9,None of the Above,995,Uttarakhand,Ghanshali,6,2017,44794,2.22,NOTA
S28,10,VINOD KANDARI,13824,Uttarakhand,Devprayag,1,2017,43541,31.75,BJP
S28,10,DIWAKAR BHATT,10325,Uttarakhand,Devprayag,2,2017,43541,23.71,IND
S28,10,MANTRI PRASAD NAITHANI,8742,Uttarakhand,Devprayag,3,2017,43541,20.08,INC
S28,10,SHOORBEER SINGH SAJWAN,6681,Uttarakhand,Devprayag,4,2017,43541,15.34,IND
S28,10,SAMEER RATURI,728,Uttarakhand,Devprayag,5,2017,43541,1.67,PP
S28,10,GANESH BHATT,702,Uttarakhand,Devprayag,6,2017,43541,1.61,UKDD
S28,10,SUNDAR SINGH RANA,547,Uttarakhand,Devprayag,7,2017,43541,1.26,IND
S28,10,SITARAM RANAKOTI,454,Uttarakhand,Devprayag,8,2017,43541,1.04,SSP
S28,10,ANIL BAHUGUNA,319,Uttarakhand,Devprayag,9,2017,43541,0.73,IBP
S28,10,DEENA DEVI,309,Uttarakhand,Devprayag,10,2017,43541,0.71,IND
S28,10,GAUREE SANKER,204,Uttarakhand,Devprayag,12,2017,43541,0.47,BSP
S28,10,JAMUNA PRASAD RAIWANI,171,Uttarakhand,Devprayag,13,2017,43541,0.39,SVP
S28,10,RAJU MAURYA,156,Uttarakhand,Devprayag,14,2017,43541,0.36,UKD
S28,10,RAGHUNANDAN PRASAD PANDEY,85,Uttarakhand,Devprayag,15,2017,43541,0.2,SHI
S28,10,None of the Above,294,Uttarakhand,Devprayag,11,2017,43541,0.68,NOTA
S28,11,SUBODH UNIYAL,24104,Uttarakhand,Narendranagar,1,2017,52545,45.87,BJP
S28,11,OM GOPAL RAWAT,19132,Uttarakhand,Narendranagar,2,2017,52545,36.41,IND
S28,11,HIMANSHU BIJALWAN,4328,Uttarakhand,Narendranagar,3,2017,52545,8.24,INC
S28,11,SARDAR SINGH,3314,Uttarakhand,Narendranagar,4,2017,52545,6.31,UKD
S28,11,JAGDISH KULIYAL,427,Uttarakhand,Narendranagar,6,2017,52545,0.81,CPI
S28,11,HAKIM SINGH,417,Uttarakhand,Narendranagar,7,2017,52545,0.79,BSP
S28,11,USHA NEGI,260,Uttarakhand,Narendranagar,8,2017,52545,0.49,SSP
S28,11,None of the Above,563,Uttarakhand,Narendranagar,5,2017,52545,1.07,NOTA
