ST_CD,AC_NO,NAME,VOTES,ST_NAME,AC_NAME,#,YEAR,polled_votes,vote_percent,PARTY
S19,1,DINESH SINGH,48910,Punjab,Sujanpur ,1,2017,125369,39.01,BJP
S19,1,AMIT SINGH,30209,Punjab,Sujanpur ,2,2017,125369,24.1,INC
S19,1,NARESH PURI,28675,Punjab,Sujanpur ,3,2017,125369,22.87,IND
S19,1,NATHA SINGH,10581,Punjab,Sujanpur ,4,2017,125369,8.44,RMI
S19,1,KULBHUSHAN SINGH,2831,Punjab,Sujanpur ,5,2017,125369,2.26,AAP
S19,1,KARNAIL CHAND,1083,Punjab,Sujanpur ,6,2017,125369,0.86,BSP
S19,1,ROMESH SINGH JASROTIA,908,Punjab,Sujanpur ,8,2017,125369,0.72,APPP
S19,1,SAURAB DUBEY,701,Punjab,Sujanpur ,9,2017,125369,0.56,SHI
S19,1,GURU DUTT SHARMA,463,Punjab,Sujanpur ,10,2017,125369,0.37,IND
S19,1,None of the Above,1008,Punjab,Sujanpur ,7,2017,125369,0.8,NOTA
S19,2,JOGINDER PAL,67865,Punjab,Bhoa,1,2017,131091,51.77,INC
S19,2,SEEMA KUMARI,40369,Punjab,Bhoa,2,2017,131091,30.79,BJP
S19,2,LAL CHAND KATARUCHAK,13353,Punjab,Bhoa,3,2017,131091,10.19,RMI
S19,2,AMARJEET SINGH,3767,Punjab,Bhoa,4,2017,131091,2.87,AAP
S19,2,MAHASHA VINOD KUMAR,750,Punjab,Bhoa,5,2017,131091,0.57,IND
S19,2,CHAIN SINGH,695,Punjab,Bhoa,6,2017,131091,0.53,BSP
S19,2,BALBIR RAM FATEHPURIA,657,Punjab,Bhoa,7,2017,131091,0.5,IND
S19,2,MASTER SAMPURAN SINGH SAIDIPUR,643,Punjab,Bhoa,8,2017,131091,0.49,AITC
S19,2,BALBIR SINGH,465,Punjab,Bhoa,9,2017,131091,0.35,HUP
S19,2,LUBHAYA RAM,458,Punjab,Bhoa,10,2017,131091,0.35,IND
S19,2,ANIKA RAY,367,Punjab,Bhoa,12,2017,131091,0.28,APPP
S19,2,DHARMINDER KUMAR,358,Punjab,Bhoa,13,2017,131091,0.27,IND
S19,2,SURINDER KUMAR KALOTRA,302,Punjab,Bhoa,14,2017,131091,0.23,IND
S19,2,DALIP SINGH SURAJVANSHI ADVOCATE,221,Punjab,Bhoa,15,2017,131091,0.17,IND
S19,2,BOBBY SANDHU,219,Punjab,Bhoa,16,2017,131091,0.17,SHI
S19,2,GEETA,148,Punjab,Bhoa,17,2017,131091,0.11,IND
S19,2,None of the Above,454,Punjab,Bhoa,11,2017,131091,0.35,NOTA
S19,3,AMIT,56383,Punjab,Pathankot,1,2017,110853,50.86,INC
S19,3,ASHWANI KUMAR,45213,Punjab,Pathankot,2,2017,110853,40.79,BJP
S19,3,RAJ KUMAR,6036,Punjab,Pathankot,3,2017,110853,5.45,AAP
S19,3,ASHOK SHARMA,703,Punjab,Pathankot,5,2017,110853,0.63,IND
S19,3,ANKUR KHAJURIA,470,Punjab,Pathankot,6,2017,110853,0.42,BSP
S19,3,SAT PAL,352,Punjab,Pathankot,7,2017,110853,0.32,SHI
S19,3,RAMAN PAL,277,Punjab,Pathankot,8,2017,110853,0.25,IND
S19,3,SUNITA DEVI,185,Punjab,Pathankot,9,2017,110853,0.17,APPP
S19,3,RAVI KUMAR,176,Punjab,Pathankot,10,2017,110853,0.16,HUP
S19,3,KIRAN BALA,151,Punjab,Pathankot,11,2017,110853,0.14,HSS
S19,3,None of the Above,907,Punjab,Pathankot,4,2017,110853,0.82,NOTA
S19,4,BARINDERMEET SINGH PAHRA,67709,Punjab,Gurdaspur ,1,2017,117390,57.68,INC
S19,4,GURBACHAN SINGH BABEHALI,38753,Punjab,Gurdaspur ,2,2017,117390,33.01,SAD
S19,4,AMARJIT SINGH CHAHAL,6949,Punjab,Gurdaspur ,3,2017,117390,5.92,AAP
S19,4,SUCHA SINGH CHHOTEPUR,1740,Punjab,Gurdaspur ,4,2017,117390,1.48,APPP
S19,4,SANDEEP KUMAR,618,Punjab,Gurdaspur ,5,2017,117390,0.53,HSS
S19,4,MAJOR SOM NATH,564,Punjab,Gurdaspur ,7,2017,117390,0.48,BSP
S19,4,PANKAJ,270,Punjab,Gurdaspur ,8,2017,117390,0.23,HUP
S19,4,SWARANJIT SINGH,194,Punjab,Gurdaspur ,9,2017,117390,0.17,IND
S19,4,None of the Above,593,Punjab,Gurdaspur ,6,2017,117390,0.51,NOTA
S19,5,ARUNA CHAUDHARY,72176,Punjab,Dina Nagar,1,2017,130525,55.3,INC
S19,5,BISHAN DASS,40259,Punjab,Dina Nagar,2,2017,130525,30.84,BJP
S19,5,JOGINDER SINGH,10258,Punjab,Dina Nagar,3,2017,130525,7.86,AAP
S19,5,SUBASH CHANDER,2937,Punjab,Dina Nagar,4,2017,130525,2.25,CPI
S19,5,RAJ KUMAR,1436,Punjab,Dina Nagar,5,2017,130525,1.1,IND
S19,5,SARWAN SINGH,735,Punjab,Dina Nagar,7,2017,130525,0.56,APPP
S19,5,RAJ KUMAR,584,Punjab,Dina Nagar,8,2017,130525,0.45,BSP
S19,5,KASHMIR CHAND,514,Punjab,Dina Nagar,9,2017,130525,0.39,IND
S19,5,RAJINDER KUMAR,395,Punjab,Dina Nagar,10,2017,130525,0.3,HUP
S19,5,None of the Above,1231,Punjab,Dina Nagar,6,2017,130525,0.94,NOTA
S19,6,FATEHJANG SINGH BAJWA,62596,Punjab,Qadian,1,2017,131829,47.48,INC
S19,6,SEWA SINGH,50859,Punjab,Qadian,2,2017,131829,38.58,SAD
S19,6,KANWAL PREET SINGH,14657,Punjab,Qadian,3,2017,131829,11.12,AAP
S19,6,MOHINDER SINGH,518,Punjab,Qadian,5,2017,131829,0.39,BSP
S19,6,GURBACHAN SINGH,436,Punjab,Qadian,6,2017,131829,0.33,SADA
S19,6,KULWANT SINGH,406,Punjab,Qadian,7,2017,131829,0.31,IND
S19,6,ABHIJIT DUGAL,303,Punjab,Qadian,8,2017,131829,0.23,IND
S19,6,VIJAY KUMAR,293,Punjab,Qadian,9,2017,131829,0.22,CPML
S19,6,CHARANJIT KAUR,276,Punjab,Qadian,10,2017,131829,0.21,IND
S19,6,ROHIT GUPTA,232,Punjab,Qadian,11,2017,131829,0.18,HSS
S19,6,KULWANT SINGH,215,Punjab,Qadian,12,2017,131829,0.16,APPP
S19,6,RAMAN KUMAR,85,Punjab,Qadian,13,2017,131829,0.06,HUP
S19,6,None of the Above,953,Punjab,Qadian,4,2017,131829,0.72,NOTA
