AC_NAME,AC_NO,NAME,#,ST_CD,ST_NAME,State-code,VOTES,YEAR,polled_votes,vote_percent,PARTY
Nippani,1,JOLLE SHASHIKALA ANNASAHEB,1,S10,Karnataka,S10,81860,2013,152690,53.61189338,BJP
Chikkodi-Sadalga,2,PRAKASH BABANNA HUKKERI,1,S10,Karnataka,S10,102237,2013,149375,68.44317992,INC
Athani,3,LAXMAN SANGAPPA SAVADI,1,S10,Karnataka,S10,74299,2013,146290,50.78884408,BJP
Kagwad,4,BHARAMGOUD ALAGOUD KAGE,1,S10,Karnataka,S10,41784,2013,129200,32.34055728,BJP
Kudachi,5,P.RAJEEV,1,S10,Karnataka,S10,71057,2013,115375,61.58786566,BSRCP
Raybag,6,AIHOLE DURYODHAN MAHALINGAPPA,1,S10,Karnataka,S10,37535,2013,122106,30.73968519,BJP
Hukkeri,7,UMESH VISHWANATH KATTI,1,S10,Karnataka,S10,81810,2013,132961,61.52932063,BJP
Arabhavi,8,BALACHANDRA LAXMANRAO JARKIHOLI,1,S10,Karnataka,S10,99283,2013,145099,68.42431719,BJP
Gokak,9,JARKIHOLI RAMESH LAXMANRAO,1,S10,Karnataka,S10,79175,2013,144327,54.85806537,INC
Yemkanmardi,10,SATISH LAXMANARAO JARAKIHOLI,1,S10,Karnataka,S10,70726,2013,124560,56.78066795,INC
Belgaum Uttar,11,FAIROZ NURUDDIN SAITH,1,S10,Karnataka,S10,45125,2013,115183,39.17678824,INC
Belgaum Dakshin,12,SAMBHAJI LAKSHMAN PATIL,1,S10,Karnataka,S10,54426,2013,131946,41.24869265,IND
Belgaum Rural,13,SANJAY B PATIL,1,S10,Karnataka,S10,38322,2013,152059,25.20205973,BJP
Khanapur,14,ARVIND CHANDRAKANT PATIL,1,S10,Karnataka,S10,37055,2013,134890,27.47053154,IND
Kittur,15,INAMADAR DANAPPAGOUDA BASANAGOUDA,1,S10,Karnataka,S10,53924,2013,125970,42.80701754,INC
Bailhongal,16,DR|| VISHWANATH IRANAGOUDA PATIL,1,S10,Karnataka,S10,40709,2013,126797,32.10564919,KJP
Saundatti Yellamma,17,ANAND ALIAS VISHWANATH CHANDRASHEKHAR MAMANI,1,S10,Karnataka,S10,46434,2013,133145,34.8747606,BJP
Ramdurg,18,ASHOK MAHADEVAPPA PATTAN,1,S10,Karnataka,S10,42310,2013,129132,32.76492271,INC
Mudhol,19,GOVIND.M.KARJOL,1,S10,Karnataka,S10,64727,2013,129099,50.13749138,BJP
Terdal,20,UMASHREE,1,S10,Karnataka,S10,70189,2013,151562,46.31042082,INC
Jamkhandi,21,SIDDU B. NYAMAGOUDA,1,S10,Karnataka,S10,49145,2013,131750,37.30170778,INC
Bilgi,22,J . T. PATIL,1,S10,Karnataka,S10,66655,2013,149179,44.68122189,INC
Badami,23,CHIMMANAKATTI BALAPPA BHIMAPPA,1,S10,Karnataka,S10,57446,2013,139071,41.30695832,INC
Bagalkot,24,METI HULLAPPA YAMANAPPA,1,S10,Karnataka,S10,68216,2013,139966,48.73755055,INC
