#,AC_NAME,AC_NO,Deposit Threshold,EVM Votes,Migrant Votes,Migrant Votes ,NAME,O.S.N.,party_code,Polled_Votes,Postal Votes,Rank,ST_CD,ST_NAME,State-code,VOTES,Vote %,YEAR,color_code,PARTY,polled_votes,vote_percent
2,Aruku,1,1,336163,0,0,KISHORE CHANDRA DEO,1,Telugu Desam,1074538,1938,2,S01,Andhra Pradesh,S01,338101,31.46477835,2019,#AB9005,TDP,1074538,31.46
5,Aruku,1,0,17578,0,0,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,2,Bharatiya Janata Party,1074538,289,5,S01,Andhra Pradesh,S01,17867,1.662761112,2019,#ff7f0e,BJP,1074538,1.66
1,Aruku,1,1,557561,0,0,GODDETI. MADHAVI,3,Yuvajana Sramika Rythu Congress Party,1074538,4629,1,S01,Andhra Pradesh,S01,562190,52.31922929,2019,#08406F,YSRCP,1074538,52.32
6,Aruku,1,0,17656,0,0,SHRUTI DEVI VYRICHERLA,4,Indian National Congress,1074538,74,6,S01,Andhra Pradesh,S01,17730,1.650011447,2019,#3498DB,INC,1074538,1.65
4,Aruku,1,0,42245,0,0,GANGULAIAH VAMPURU.,5,Janasena Party,1074538,549,4,S01,Andhra Pradesh,S01,42794,3.982548779,2019,#D22215,JP,1074538,3.98
11,Aruku,1,0,4705,0,0,SWAMULA. SUBRAHMANYAM,6,Jana Jagruti Party,1074538,5,11,S01,Andhra Pradesh,S01,4710,0.438327914,2019,,,1074538,0.44
9,Aruku,1,0,10211,0,0,ANUMULA VAMSIKRISHNA,7,Independent,1074538,29,9,S01,Andhra Pradesh,S01,10240,0.952967694,2019,#CEB58C,IND,1074538,0.95
7,Aruku,1,0,13810,0,0,KANGALA BALUDORA,8,Independent,1074538,16,7,S01,Andhra Pradesh,S01,13826,1.286692513,2019,#CEB58C,IND,1074538,1.29
8,Aruku,1,0,11231,0,0,NARAVA SATYAVATHI,9,Independent,1074538,5,8,S01,Andhra Pradesh,S01,11236,1.045658692,2019,#CEB58C,IND,1074538,1.05
10,Aruku,1,0,7863,0,0,BIDDIKA RAMAYYA.,10,Independent,1074538,4,10,S01,Andhra Pradesh,S01,7867,0.732128599,2019,#CEB58C,IND,1074538,0.73
3,Aruku,1,0,47955,0,0,NOTA,11,None of the Above,1074538,22,3,S01,Andhra Pradesh,S01,47977,4.464895611,2019,#DDD1CA,NOTA,1074538,4.46
1,Srikakulam,2,1,529213,0,0,KINJARAPU RAM MOHAN NAIDU,1,Telugu Desam,1157329,5331,1,S01,Andhra Pradesh,S01,534544,46.18773054,2019,#AB9005,TDP,1157329,46.19
5,Srikakulam,2,0,13456,0,0,DOLA JAGAN,2,Indian National Congress,1157329,289,5,S01,Andhra Pradesh,S01,13745,1.187648456,2019,#3498DB,INC,1157329,1.19
2,Srikakulam,2,1,520931,0,0,DUVVADA SRINIVAS,3,Yuvajana Sramika Rythu Congress Party,1157329,6960,2,S01,Andhra Pradesh,S01,527891,45.6128724,2019,#08406F,YSRCP,1157329,45.61
6,Srikakulam,2,0,7357,0,0,PERLA SAMBA MURTHY,4,Bharatiya Janata Party,1157329,1033,6,S01,Andhra Pradesh,S01,8390,0.724945111,2019,#ff7f0e,BJP,1157329,0.72
10,Srikakulam,2,0,1441,0,0,MATTA SATISH CHAKRAVARTHY,5,Pyramid Party of India,1157329,7,10,S01,Andhra Pradesh,S01,1448,0.125115676,2019,#363636,PPI,1157329,0.13
3,Srikakulam,2,0,31319,0,0,METTA RAMARAO,6,Janasena Party,1157329,637,3,S01,Andhra Pradesh,S01,31956,2.761185454,2019,#D22215,JP,1157329,2.76
8,Srikakulam,2,0,4829,0,0,NAMBALLA KRISHNA MOHAN,7,Independent,1157329,7,8,S01,Andhra Pradesh,S01,4836,0.417858707,2019,#CEB58C,IND,1157329,0.42
7,Srikakulam,2,0,5151,0,0,NAIDUGARI RAJASEKHAR,8,Independent,1157329,5,7,S01,Andhra Pradesh,S01,5156,0.445508581,2019,#CEB58C,IND,1157329,0.45
9,Srikakulam,2,0,3814,0,0,BETHA VIVEKANANDA MAHARAJ,9,Independent,1157329,4,9,S01,Andhra Pradesh,S01,3818,0.329897549,2019,#CEB58C,IND,1157329,0.33
4,Srikakulam,2,0,25500,0,0,NOTA,10,None of the Above,1157329,45,4,S01,Andhra Pradesh,S01,25545,2.207237527,2019,#DDD1CA,NOTA,1157329,2.21
2,Vizianagaram,3,1,527307,0,0,Ashok Gajapathi Raju Pusapati,1,Telugu Desam,1217890,3075,2,S01,Andhra Pradesh,S01,530382,43.54925322,2019,#AB9005,TDP,1217890,43.55
5,Vizianagaram,3,0,15607,0,0,Adiraju Yedla,2,Indian National Congress,1217890,118,5,S01,Andhra Pradesh,S01,15725,1.291167511,2019,#3498DB,INC,1217890,1.29
1,Vizianagaram,3,1,573466,0,0,Bellana Chandra Sekhar,3,Yuvajana Sramika Rythu Congress Party,1217890,4952,1,S01,Andhra Pradesh,S01,578418,47.49345179,2019,#08406F,YSRCP,1217890,47.49
6,Vizianagaram,3,0,6902,0,0,Sanyasi Raju Pakalapati,4,Bharatiya Janata Party,1217890,364,6,S01,Andhra Pradesh,S01,7266,0.596605605,2019,#ff7f0e,BJP,1217890,0.6
8,Vizianagaram,3,0,4981,0,0,P.V.A. Ananda Sagar,5,Samaanya Praja Party,1217890,2,8,S01,Andhra Pradesh,S01,4983,0.409150252,2019,#363636,SPP,1217890,0.41
11,Vizianagaram,3,0,1261,0,0,Chiranjeevi Lingala,6,Andhra Chaitanya Party,1217890,2,11,S01,Andhra Pradesh,S01,1263,0.103703947,2019,,,1217890,0.1
3,Vizianagaram,3,0,33779,0,0,Mukka Srinivas Rao,7,Janasena Party,1217890,413,3,S01,Andhra Pradesh,S01,34192,2.807478508,2019,#D22215,JP,1217890,2.81
15,Vizianagaram,3,0,787,0,0,Lagudu. Govinda Rao,8,Jana Jagruti Party,1217890,4,15,S01,Andhra Pradesh,S01,791,0.064948394,2019,,,1217890,0.06
14,Vizianagaram,3,0,822,0,0,Surya Bhavani. K,9,Pyramid Party of India,1217890,8,14,S01,Andhra Pradesh,S01,830,0.068150654,2019,#363636,PPI,1217890,0.07
13,Vizianagaram,3,0,1010,0,0,Yella Rao Siyyadula,10,Independent,1217890,0,13,S01,Andhra Pradesh,S01,1010,0.082930314,2019,#CEB58C,IND,1217890,0.08
12,Vizianagaram,3,0,1172,0,0,Dhanalakoti Ramana,11,Independent,1217890,4,12,S01,Andhra Pradesh,S01,1176,0.096560445,2019,#CEB58C,IND,1217890,0.1
10,Vizianagaram,3,0,1461,0,0,Pentapati Rajesh,12,Independent,1217890,1,10,S01,Andhra Pradesh,S01,1462,0.120043682,2019,#CEB58C,IND,1217890,0.12
9,Vizianagaram,3,0,4550,0,0,Ijjurouthu Ramunaidu,13,Independent,1217890,3,9,S01,Andhra Pradesh,S01,4553,0.373843286,2019,#CEB58C,IND,1217890,0.37
7,Vizianagaram,3,0,6336,0,0,Venkata Trindha Rao Veluri,14,Independent,1217890,2,7,S01,Andhra Pradesh,S01,6338,0.520408247,2019,#CEB58C,IND,1217890,0.52
4,Vizianagaram,3,0,29468,0,0,NOTA,15,None of the Above,1217890,33,4,S01,Andhra Pradesh,S01,29501,2.422304149,2019,#DDD1CA,NOTA,1217890,2.42
4,Visakhapatnam,4,0,33430,0,0,DAGGUBATI PURANDESWARI,1,Bharatiya Janata Party,1239754,462,4,S01,Andhra Pradesh,S01,33892,2.733768151,2019,#ff7f0e,BJP,1239754,2.73
6,Visakhapatnam,4,0,14550,0,0,PEDADA. RAMANIKUMARI,2,Indian National Congress,1239754,83,6,S01,Andhra Pradesh,S01,14633,1.180314804,2019,#3498DB,INC,1239754,1.18
2,Visakhapatnam,4,1,431093,0,0,BHARAT MATHUKUMILLI,3,Telugu Desam,1239754,1399,2,S01,Andhra Pradesh,S01,432492,34.88530789,2019,#AB9005,TDP,1239754,34.89
1,Visakhapatnam,4,1,433968,0,0,M V V SATYANARAYANA,4,Yuvajana Sramika Rythu Congress Party,1239754,2938,1,S01,Andhra Pradesh,S01,436906,35.24134627,2019,#08406F,YSRCP,1239754,35.24
