AC_NO,AC_NAME,NAME,#,ST_CD,ST_NAME,VOTES,YEAR,polled_votes,vote_percent,PARTY,a_constituency,District,p_constituency,Male_voters,Female_voters,Other_voters,Region
1,Nippani ,KAKASAHEB P. PATIL,3,S10,Karnataka,44107,2023,187412,23.53,INC,Nippani,Belgaum,Chikkodi,108492,103954,10,Mumbai Karnataka
1,Nippani ,RAJARAM URF RAJU  POWAR,6,S10,Karnataka,611,2023,187412,0.33,JDS,Nippani,Belgaum,Chikkodi,108492,103954,10,Mumbai Karnataka
1,Nippani ,RAJESH  BANAVANNA,7,S10,Karnataka,572,2023,187412,0.31,AAP,Nippani,Belgaum,Chikkodi,108492,103954,10,Mumbai Karnataka
1,Nippani ,JOLLE SHASHIKALA ANNASAHEB,1,S10,Karnataka,73348,2023,187412,39.14,BJP,Nippani,Belgaum,Chikkodi,108492,103954,10,Mumbai Karnataka
1,Nippani ,UTTAM RAOSAHEB PATIL,2,S10,Karnataka,66056,2023,187412,35.25,NCP,Nippani,Belgaum,Chikkodi,108492,103954,10,Mumbai Karnataka
1,Nippani ,SHAKUNTALA ASHOK TELI,5,S10,Karnataka,646,2023,187412,0.34,KRPP,Nippani,Belgaum,Chikkodi,108492,103954,10,Mumbai Karnataka
1,Nippani ,JAYARAM  MIRAJKAR,8,S10,Karnataka,371,2023,187412,0.2,IND,Nippani,Belgaum,Chikkodi,108492,103954,10,Mumbai Karnataka
1,Nippani ,JITENDRA SUBHASH NERLE,10,S10,Karnataka,289,2023,187412,0.15,IND,Nippani,Belgaum,Chikkodi,108492,103954,10,Mumbai Karnataka
1,Nippani ,RAGHUNATH MALAKARI ARAGE,11,S10,Karnataka,202,2023,187412,0.11,IND,Nippani,Belgaum,Chikkodi,108492,103954,10,Mumbai Karnataka
1,Nippani ,SAMBHAJIDADA BAPUSO THORAVAT,9,S10,Karnataka,291,2023,187412,0.16,IND,Nippani,Belgaum,Chikkodi,108492,103954,10,Mumbai Karnataka
1,Nippani ,NOTA,4,S10,Karnataka,919,2023,187412,0.49,NOTA,Nippani,Belgaum,Chikkodi,108492,103954,10,Mumbai Karnataka
2,Chikkodi-Sadalga ,ARJUN BANDU MANE,3,S10,Karnataka,1284,2023,183835,0.7,BSP,Chikkodi-Sadalga,Belgaum,Chikkodi,107267,103803,13,Mumbai Karnataka
2,Chikkodi-Sadalga ,GANESH PRAKASH HUKKERI,1,S10,Karnataka,128349,2023,183835,69.82,INC,Chikkodi-Sadalga,Belgaum,Chikkodi,107267,103803,13,Mumbai Karnataka
2,Chikkodi-Sadalga ,KATTI RAMESH VISHWANATH,2,S10,Karnataka,49840,2023,183835,27.11,BJP,Chikkodi-Sadalga,Belgaum,Chikkodi,107267,103803,13,Mumbai Karnataka
2,Chikkodi-Sadalga ,SHRIKANT MUDAGOUD PATIL,9,S10,Karnataka,406,2023,183835,0.22,AAP,Chikkodi-Sadalga,Belgaum,Chikkodi,107267,103803,13,Mumbai Karnataka
2,Chikkodi-Sadalga ,SUHAS SADASHIVAPPA WALKE,5,S10,Karnataka,702,2023,183835,0.38,JDS,Chikkodi-Sadalga,Belgaum,Chikkodi,107267,103803,13,Mumbai Karnataka
2,Chikkodi-Sadalga ,APPASAHEB SHRIPATI KURANE,11,S10,Karnataka,167,2023,183835,0.09,IMP,Chikkodi-Sadalga,Belgaum,Chikkodi,107267,103803,13,Mumbai Karnataka
2,Chikkodi-Sadalga ,ISHWAR MARUTI GUDAJ,10,S10,Karnataka,196,2023,183835,0.11,BBP,Chikkodi-Sadalga,Belgaum,Chikkodi,107267,103803,13,Mumbai Karnataka
2,Chikkodi-Sadalga ,KUMAR SAMBHAJI DONGARE,12,S10,Karnataka,147,2023,183835,0.08,KRS,Chikkodi-Sadalga,Belgaum,Chikkodi,107267,103803,13,Mumbai Karnataka
2,Chikkodi-Sadalga ,MANJUNATH BALU PARAGOUD,8,S10,Karnataka,434,2023,183835,0.24,KRRS,Chikkodi-Sadalga,Belgaum,Chikkodi,107267,103803,13,Mumbai Karnataka
2,Chikkodi-Sadalga ,DR. MILAN VITHAL KAMBLE,6,S10,Karnataka,690,2023,183835,0.38,IND,Chikkodi-Sadalga,Belgaum,Chikkodi,107267,103803,13,Mumbai Karnataka
