AC_NO,party_name,ST_CD,O.S.N.,NAME,EVM Votes,Postal Votes,VOTES,vote_percent,ST_NAME,AC_NAME,Migrant Votes,polled_votes,#,Vote %,Deposit Threshold,color_code,YEAR,PARTY,a_constituency,Category,District,p_constituency,Region
1,Telugu Desam,S01,1,ASHOK BENDALAM,79405,587,79992,46.39,Andhra Pradesh,Ichchapuram,0,172423,1,46.392882620068086,1,#AB9005,2019,TDP,Ichchapuram,GEN,Srikakulam,Srikakulam,Coastal Andhra
1,Indian National Congress,S01,2,ESWARA RAO KOLLI,2100,38,2138,1.24,Andhra Pradesh,Ichchapuram,0,172423,5,1.2399737853998596,0,#3498DB,2019,INC,Ichchapuram,GEN,Srikakulam,Srikakulam,Coastal Andhra
1,Bharatiya Janata Party,S01,3,JANNALA SURYAVARA PRASADA RAO,1656,170,1826,1.06,Andhra Pradesh,Ichchapuram,0,172423,6,1.0590234481478689,0,#00A951,2019,BJP,Ichchapuram,GEN,Srikakulam,Srikakulam,Coastal Andhra
1,Yuvajana Sramika Rythu Congress Party,S01,4,PIRIYA SAIRAJ,71931,916,72847,42.25,Andhra Pradesh,Ichchapuram,0,172423,2,42.24900390319157,1,#08406F,2019,YSRCP,Ichchapuram,GEN,Srikakulam,Srikakulam,Coastal Andhra
1,Janasena Party,S01,5,DASARI RAJU,10940,183,11123,6.45,Andhra Pradesh,Ichchapuram,0,172423,3,6.450995517,0,#D22215,2019,JP,Ichchapuram,GEN,Srikakulam,Srikakulam,Coastal Andhra
1,Independent,S01,6,GANAPA VANAJAKSHI,613,4,617,0.36,Andhra Pradesh,Ichchapuram,0,172423,7,0.3578408912964048,0,#CEB58C,2019,IND,Ichchapuram,GEN,Srikakulam,Srikakulam,Coastal Andhra
1,None of the Above,S01,7,NOTA,3872,8,3880,2.25,Andhra Pradesh,Ichchapuram,0,172423,4,2.250279835056808,0,#DDD1CA,2019,NOTA,Ichchapuram,GEN,Srikakulam,Srikakulam,Coastal Andhra
2,Yuvajana Sramika Rythu Congress Party,S01,1,APPALARAJU SEEDIRI,75357,1246,76603,50.83,Andhra Pradesh,Palasa,0,150691,1,50.83448912011998,1,#08406F,2019,YSRCP,Palasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
2,Bharatiya Janata Party,S01,2,KORRAYI BALAKRISHNA,1359,215,1574,1.04,Andhra Pradesh,Palasa,0,150691,5,1.0445215706312918,0,#00A951,2019,BJP,Palasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
2,Telugu Desam,S01,3,GOUTHU SIREESHA,59873,483,60356,40.05,Andhra Pradesh,Palasa,0,150691,2,40.052823327206006,1,#AB9005,2019,TDP,Palasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
2,Indian National Congress,S01,4,MAJJI SARADA,1226,29,1255,0.83,Andhra Pradesh,Palasa,0,150691,6,0.8328300960243148,0,#3498DB,2019,INC,Palasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
2,Communist Party of India  (Marxist-Leninist)  (Liberation),S01,5,KAMESWARA RAO POTHANAPALLI,368,1,369,0.24,Andhra Pradesh,Palasa,0,150691,9,0.2448719565202965,0,#F27A67,2019,CPI(M)(L),Palasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
2,Janasena Party,S01,6,KOTHA PURNACHANDRA RAO,5972,161,6133,4.07,Andhra Pradesh,Palasa,0,150691,3,4.069917911487746,0,#D22215,2019,JP,Palasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
2,Independent,S01,7,DUNNA VASUDEVU,636,3,639,0.42,Andhra Pradesh,Palasa,0,150691,7,0.4240465588522208,0,#CEB58C,2019,IND,Palasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
2,Independent,S01,8,MANOJ NALANAGULA,392,0,392,0.26,Andhra Pradesh,Palasa,0,150691,8,0.2601349782004233,0,#CEB58C,2019,IND,Palasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
2,Independent,S01,9,MAMIDI PRASAD,322,4,326,0.22,Andhra Pradesh,Palasa,0,150691,10,0.2163367420748419,0,#CEB58C,2019,IND,Palasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
2,None of the Above,S01,10,NOTA,3034,10,3044,2.02,Andhra Pradesh,Palasa,0,150691,4,2.020027739,0,#DDD1CA,2019,NOTA,Palasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
3,Telugu Desam,S01,1,ATCHANNAIDU KINJARAPU,86626,1032,87658,49.64,Andhra Pradesh,Tekkali,0,176583,1,49.641245193478426,1,#AB9005,2019,TDP,Tekkali,GEN,Srikakulam,Srikakulam,Coastal Andhra
3,Indian National Congress,S01,2,Chintada Dileep Kumar,1706,37,1743,0.99,Andhra Pradesh,Tekkali,0,176583,5,0.9870712356229084,0,#3498DB,2019,INC,Tekkali,GEN,Srikakulam,Srikakulam,Coastal Andhra
3,Yuvajana Sramika Rythu Congress Party,S01,3,PERADA TILAK,77769,1344,79113,44.8,Andhra Pradesh,Tekkali,0,176583,2,44.80216102342808,1,#08406F,2019,YSRCP,Tekkali,GEN,Srikakulam,Srikakulam,Coastal Andhra
3,Bharatiya Janata Party,S01,4,HANUMANTHU UDAY BHASKAR,773,156,929,0.53,Andhra Pradesh,Tekkali,0,176583,6,0.5260982087743441,0,#00A951,2019,BJP,Tekkali,GEN,Srikakulam,Srikakulam,Coastal Andhra
3,Janasena Party,S01,5,Kaniti Kiran Kumar,2710,96,2806,1.59,Andhra Pradesh,Tekkali,0,176583,4,1.5890544389890306,0,#D22215,2019,JP,Tekkali,GEN,Srikakulam,Srikakulam,Coastal Andhra
3,All India Forward Bloc,S01,6,Chandrasekhara Patnaik,213,3,216,0.12,Andhra Pradesh,Tekkali,0,176583,9,0.1223220808345084,0,#004274,2019,AIFB,Tekkali,GEN,Srikakulam,Srikakulam,Coastal Andhra
3,Independent,S01,7,Gutla Kanchana,567,2,569,0.32,Andhra Pradesh,Tekkali,0,176583,8,0.3222280740501633,0,#CEB58C,2019,IND,Tekkali,GEN,Srikakulam,Srikakulam,Coastal Andhra
3,Independent,S01,8,Ramu Geddevalasa,613,1,614,0.35,Andhra Pradesh,Tekkali,0,176583,7,0.3477118408906859,0,#CEB58C,2019,IND,Tekkali,GEN,Srikakulam,Srikakulam,Coastal Andhra
3,None of the Above,S01,9,NOTA,2929,6,2935,1.66,Andhra Pradesh,Tekkali,0,176583,3,1.6621079039318625,0,#DDD1CA,2019,NOTA,Tekkali,GEN,Srikakulam,Srikakulam,Coastal Andhra
4,Telugu Desam,S01,1,KALAMATA VENKATA RAMANA MURTHY,60975,415,61390,40.23,Andhra Pradesh,Pathapatnam,0,152599,2,40.22962143,1,#AB9005,2019,TDP,Pathapatnam,GEN,Srikakulam,Srikakulam,Coastal Andhra
4,Indian National Congress,S01,2,BANNA RAMU,1679,23,1702,1.12,Andhra Pradesh,Pathapatnam,0,152599,5,1.1153415159994495,0,#3498DB,2019,INC,Pathapatnam,GEN,Srikakulam,Srikakulam,Coastal Andhra
4,Bharatiya Janata Party,S01,3,RAGHAVA RAO SALANA,1341,109,1450,0.95,Andhra Pradesh,Pathapatnam,0,152599,6,0.9502028191534676,0,#00A951,2019,BJP,Pathapatnam,GEN,Srikakulam,Srikakulam,Coastal Andhra
4,Yuvajana Sramika Rythu Congress Party,S01,4,REDDY SHANTHI,75669,1272,76941,50.42,Andhra Pradesh,Pathapatnam,0,152599,1,50.42038283343927,1,#08406F,2019,YSRCP,Pathapatnam,GEN,Srikakulam,Srikakulam,Coastal Andhra
4,Andhra Chaitanya Party,S01,5,KANTUBHUKTA BHASKARA RAO,524,2,526,0.34,Andhra Pradesh,Pathapatnam,0,152599,7,0.3446942640515337,0,#004274,2019,Others,Pathapatnam,GEN,Srikakulam,Srikakulam,Coastal Andhra
4,Janasena Party,S01,6,GEDELA GYANA SAGAR,5378,130,5508,3.61,Andhra Pradesh,Pathapatnam,0,152599,3,3.609460088205034,0,#D22215,2019,JP,Pathapatnam,GEN,Srikakulam,Srikakulam,Coastal Andhra
4,Independent,S01,7,BHASKARARAO BODDEPALLI,343,1,344,0.23,Andhra Pradesh,Pathapatnam,0,152599,9,0.2254274274405468,0,#CEB58C,2019,IND,Pathapatnam,GEN,Srikakulam,Srikakulam,Coastal Andhra
4,Independent,S01,8,MULLETI SRINIVAS ACHARI,521,0,521,0.34,Andhra Pradesh,Pathapatnam,0,152599,8,0.341417703,0,#CEB58C,2019,IND,Pathapatnam,GEN,Srikakulam,Srikakulam,Coastal Andhra
4,None of the Above,S01,9,NOTA,4202,15,4217,2.76,Andhra Pradesh,Pathapatnam,0,152599,4,2.7634519230139123,0,#DDD1CA,2019,NOTA,Pathapatnam,GEN,Srikakulam,Srikakulam,Coastal Andhra
5,Telugu Desam,S01,1,GUNDA LAKSHMI DEVI,77575,732,78307,44.17,Andhra Pradesh,Srikakulam,0,177297,2,44.16713198756888,1,#AB9005,2019,TDP,Srikakulam,GEN,Srikakulam,Srikakulam,Coastal Andhra
5,Bharatiya Janata Party,S01,2,CHALLA VENKATESWARA RAO,1260,80,1340,0.76,Andhra Pradesh,Srikakulam,0,177297,6,0.7557939502642459,0,#00A951,2019,BJP,Srikakulam,GEN,Srikakulam,Srikakulam,Coastal Andhra
5,Indian National Congress,S01,3,CHOWDARI SATISH,1800,27,1827,1.03,Andhra Pradesh,Srikakulam,0,177297,5,1.0304742889050578,0,#3498DB,2019,INC,Srikakulam,GEN,Srikakulam,Srikakulam,Coastal Andhra
5,Yuvajana Sramika Rythu Congress Party,S01,4,DHARMANA PRASADA RAO,82388,1696,84084,47.43,Andhra Pradesh,Srikakulam,0,177297,1,47.42550635374541,1,#08406F,2019,YSRCP,Srikakulam,GEN,Srikakulam,Srikakulam,Coastal Andhra
5,Janasena Party,S01,5,KORADA SARVESWARA RAO,7440,117,7557,4.26,Andhra Pradesh,Srikakulam,0,177297,3,4.262339464288735,0,#D22215,2019,JP,Srikakulam,GEN,Srikakulam,Srikakulam,Coastal Andhra
5,Pyramid Party of India,S01,6,MAHESH A,261,1,262,0.15,Andhra Pradesh,Srikakulam,0,177297,9,0.1477746380367406,0,#004274,2019,PPI,Srikakulam,GEN,Srikakulam,Srikakulam,Coastal Andhra
5,Jana Jagruti Party,S01,7,RAGOLU NAGA SIVA,303,2,305,0.17,Andhra Pradesh,Srikakulam,0,177297,8,0.1720277274855186,0,#004274,2019,Others,Srikakulam,GEN,Srikakulam,Srikakulam,Coastal Andhra
5,Independent,S01,8,MYLAPILLI TEJU,528,5,533,0.3,Andhra Pradesh,Srikakulam,0,177297,7,0.3006255040976441,0,#CEB58C,2019,IND,Srikakulam,GEN,Srikakulam,Srikakulam,Coastal Andhra
5,None of the Above,S01,9,NOTA,3063,19,3082,1.74,Andhra Pradesh,Srikakulam,0,177297,4,1.7383260856077654,0,#DDD1CA,2019,NOTA,Srikakulam,GEN,Srikakulam,Srikakulam,Coastal Andhra
6,Telugu Desam,S01,1,KOONA RAVIKUMAR,63274,632,63906,42.58,Andhra Pradesh,Amadalavalasa,0,150071,2,42.58384364734026,1,#AB9005,2019,TDP,Amadalavalasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
6,Bharatiya Janata Party,S01,2,GADDAYYA PATINI,854,102,956,0.64,Andhra Pradesh,Amadalavalasa,0,150071,6,0.637031805,0,#00A951,2019,BJP,Amadalavalasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
6,Yuvajana Sramika Rythu Congress Party,S01,3,THAMMINENI SEETHARAM,76801,1096,77897,51.91,Andhra Pradesh,Amadalavalasa,0,150071,1,51.90676413164436,1,#08406F,2019,YSRCP,Amadalavalasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
6,Indian National Congress,S01,4,BODDEPALLI SATYAVATHI,969,24,993,0.66,Andhra Pradesh,Amadalavalasa,0,150071,5,0.6616868015805852,0,#3498DB,2019,INC,Amadalavalasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
6,Janasena Party,S01,5,PEDADA RAMAMOHANA RAO,3193,87,3280,2.19,Andhra Pradesh,Amadalavalasa,0,150071,3,2.185632134123182,0,#D22215,2019,JP,Amadalavalasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
6,Independent,S01,6,SATEESHKUMAR TULUGU,380,3,383,0.26,Andhra Pradesh,Amadalavalasa,0,150071,7,0.2552125327345056,0,#CEB58C,2019,IND,Amadalavalasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
6,None of the Above,S01,7,NOTA,2651,5,2656,1.77,Andhra Pradesh,Amadalavalasa,0,150071,4,1.7698289476314546,0,#DDD1CA,2019,NOTA,Amadalavalasa,GEN,Srikakulam,Srikakulam,Coastal Andhra
7,Telugu Desam,S01,1,Kalavenkata Rao Kimidi,80690,271,80961,41.44,Andhra Pradesh,Etcherla,0,195372,2,41.43940789877772,1,#AB9005,2019,TDP,Etcherla,GEN,Srikakulam,Vizianagaram,Coastal Andhra
