AC_NO,party_name,ST_CD,O.S.N.,NAME,EVM Votes,Postal Votes,VOTES,vote_percent,ST_NAME,AC_NAME,Migrant Votes,polled_votes,#,Vote %,Deposit Threshold,color_code,YEAR,PARTY,a_constituency,Category,District,p_constituency,Region
1,Bahujan Samaj Party,S18,1,TANKADHARA KANTA,1325,7,1332,0.66,Odisha,Padampur,0,201729,6,0.6602917775827968,0,#22409A,2019,BSP,Padampur,GEN,Bargarh,Bargarh,Northern Division
1,Bharatiya Janata Party,S18,2,PRADIP PUROHIT,76987,578,77565,38.45,Odisha,Padampur,0,201729,2,38.45009889505227,1,#00A951,2019,BJP,Padampur,GEN,Bargarh,Bargarh,Northern Division
1,Biju Janata Dal,S18,3,BIJAYA RANJAN SINGH BARIHA,82998,301,83299,41.29,Odisha,Padampur,0,201729,1,41.29252611,1,#03A31F,2019,BJD,Padampur,GEN,Bargarh,Bargarh,Northern Division
1,Indian National Congress,S18,4,SATYA BHUSAN SAHU,32643,144,32787,16.25,Odisha,Padampur,0,201729,3,16.25299287658195,0,#3498DB,2019,INC,Padampur,GEN,Bargarh,Bargarh,Northern Division
1,Independent,S18,5,RAJU GHIBELA,4493,19,4512,2.24,Odisha,Padampur,0,201729,4,2.236664039379564,0,#CEB58C,2019,IND,Padampur,GEN,Bargarh,Bargarh,Northern Division
1,None of the Above,S18,6,NOTA,2227,7,2234,1.11,Odisha,Padampur,0,201729,5,1.1074262996396154,0,#DDD1CA,2019,NOTA,Padampur,GEN,Bargarh,Bargarh,Northern Division
2,Bahujan Samaj Party,S18,1,ASHOK KALET,1189,11,1200,0.65,Odisha,Bijepur,0,185024,6,0.6485645105499827,0,#22409A,2019,BSP,Bijepur,GEN,Bargarh,Bargarh,Northern Division
2,Biju Janata Dal,S18,2,NAVEEN PATNAIK,110166,438,110604,59.78,Odisha,Bijepur,0,185024,1,59.77819093739191,1,#03A31F,2019,BJD,Bijepur,GEN,Bargarh,Bargarh,Northern Division
2,Indian National Congress,S18,3,RIPUNATH SETH,14249,95,14344,7.75,Odisha,Bijepur,0,185024,3,7.752507782774126,0,#3498DB,2019,INC,Bijepur,GEN,Bargarh,Bargarh,Northern Division
2,Bharatiya Janata Party,S18,4,SANAT KUMAR GARTIA,53088,394,53482,28.91,Odisha,Bijepur,0,185024,2,28.905439294361813,1,#00A951,2019,BJP,Bijepur,GEN,Bargarh,Bargarh,Northern Division
2,Independent,S18,5,PURNA CHANDRA PANDA,2828,4,2832,1.53,Odisha,Bijepur,0,185024,4,1.530612244897959,0,#CEB58C,2019,IND,Bijepur,GEN,Bargarh,Bargarh,Northern Division
2,Independent,S18,6,BIRENDRA KUMAR BAG,887,0,887,0.48,Odisha,Bijepur,0,185024,7,0.4793972673815289,0,#CEB58C,2019,IND,Bijepur,GEN,Bargarh,Bargarh,Northern Division
2,None of the Above,S18,7,NOTA,1662,13,1675,0.91,Odisha,Bijepur,0,185024,5,0.9052879626426844,0,#DDD1CA,2019,NOTA,Bijepur,GEN,Bargarh,Bargarh,Northern Division
3,Bharatiya Janata Party,S18,1,ASHWINI KUMAR SARANGI,66289,392,66681,41.25,Odisha,Bargarh,0,161640,2,41.25278396436526,1,#00A951,2019,BJP,Bargarh,GEN,Bargarh,Bargarh,Northern Division
