ST_CD,PC_NO,#,PARTY_CODE,CANDIDATE,YEAR,PC_NAME,O.S.N.,EVM Votes,Postal Votes,Migrant Votes,VOTES,Deposit_Gained,PARTY,ALLIANCE,STATE,color_code,polled_votes,vote_percent,Phase,Date,Nomination,Category,Vote %,IMAGE
U01,1,6,AITC,AYAN MANDAL,2019,Andaman & Nicobar Islands,1,1717,4,0,1721,0,All India Trinamool Congress,,Andaman & Nicobar Islands,#4A9F88,207296,0.83,1,11/04/19,25/03/19,GEN,0.830213801,
U01,1,5,BSP,PRAKASH MINJ,2019,Andaman & Nicobar Islands,3,2478,8,0,2486,0,Bahujan Samaj Party,,Andaman & Nicobar Islands,#22409A,207296,1.2,1,11/04/19,25/03/19,GEN,1.199251312,
U01,1,2,BJP,VISHAL JOLLY,2019,Andaman & Nicobar Islands,4,93772,129,0,93901,1,Bharatiya Janata Party,,Andaman & Nicobar Islands,#ff7f0e,207296,45.3,1,11/04/19,25/03/19,GEN,45.29802794,
U01,1,4,AAP,SANJAY MESHACK,2019,Andaman & Nicobar Islands,5,2837,2,0,2839,0,Aam Aadmi Party,,Andaman & Nicobar Islands,#0080C0,207296,1.37,1,11/04/19,25/03/19,GEN,1.36953921,
U01,1,16,Others,C G SAJI KUMAR,2019,Andaman & Nicobar Islands,6,212,0,0,212,0,All India Hindustan Congress Party,,Andaman & Nicobar Islands,#004274,207296,0.1,1,11/04/19,25/03/19,GEN,0.102269219,
U01,1,13,IND,K KALIMUTHU,2019,Andaman & Nicobar Islands,7,269,6,0,275,0,Independent,,Andaman & Nicobar Islands,#CEB58C,207296,0.13,1,11/04/19,25/03/19,GEN,0.132660543,
U01,1,12,IND,V V KHALID,2019,Andaman & Nicobar Islands,8,305,1,0,306,0,Independent,,Andaman & Nicobar Islands,#CEB58C,207296,0.15,1,11/04/19,25/03/19,GEN,0.147615005,
U01,1,15,IND,GOUR CHANDRA MAJUMDER,2019,Andaman & Nicobar Islands,9,221,0,0,221,0,Independent,,Andaman & Nicobar Islands,#CEB58C,207296,0.11,1,11/04/19,25/03/19,GEN,0.106610837,
U01,1,3,IND,PARITOSH KUMAR HALDAR,2019,Andaman & Nicobar Islands,10,5339,2,0,5341,0,Independent,,Andaman & Nicobar Islands,#CEB58C,207296,2.58,1,11/04/19,25/03/19,GEN,2.576508953,
U01,1,10,IND,MINATI BISWAS,2019,Andaman & Nicobar Islands,11,615,3,0,618,0,Independent,,Andaman & Nicobar Islands,#CEB58C,207296,0.3,1,11/04/19,25/03/19,GEN,0.298124421,
U01,1,14,IND,C U RASHEED,2019,Andaman & Nicobar Islands,12,272,1,0,273,0,Independent,,Andaman & Nicobar Islands,#CEB58C,207296,0.13,1,11/04/19,25/03/19,GEN,0.131695739,
U01,1,9,IND,K VENKAT RAM BABU,2019,Andaman & Nicobar Islands,13,914,0,0,914,0,Independent,,Andaman & Nicobar Islands,#CEB58C,207296,0.44,1,11/04/19,25/03/19,GEN,0.440915406,
U01,1,11,IND,S SUDERSHAN RAO,2019,Andaman & Nicobar Islands,14,475,0,0,475,0,Independent,,Andaman & Nicobar Islands,#CEB58C,207296,0.23,1,11/04/19,25/03/19,GEN,0.229140939,
U01,1,8,IND,HENRY,2019,Andaman & Nicobar Islands,15,994,0,0,994,0,Independent,,Andaman & Nicobar Islands,#CEB58C,207296,0.48,1,11/04/19,25/03/19,GEN,0.479507564,
U01,1,7,NOTA,NONE OF THE ABOVE,2019,Andaman & Nicobar Islands,16,1411,1,0,1412,0,None of the Above,,Andaman & Nicobar Islands,#DDD1CA,207296,0.68,1,11/04/19,25/03/19,GEN,0.68115159,
U01,1,3,AAP,SANJAY MESHACK,2014,Andaman & Nicobar Islands,3,3737,0,0,3737,0,Aam Aadmi Party,,Andaman & Nicobar Islands,#0080C0,190328,1.96,1,11/04/19,25/03/19,GEN,1.963452566,
U01,1,4,AITC,ANITA MONDAL,2014,Andaman & Nicobar Islands,4,2283,0,0,2283,0,All India Trinamool Congress,,Andaman & Nicobar Islands,#4A9F88,190328,1.2,1,11/04/19,25/03/19,GEN,1.199508217,
U01,1,5,CPI(M),K.G.DAS,2014,Andaman & Nicobar Islands,5,1777,0,0,1777,0,Communist Party of India  (Marxist),,Andaman & Nicobar Islands,#F27A67,190328,0.93,1,11/04/19,25/03/19,GEN,0.933651381,
U01,1,6,IND,PRAKASH MINJ,2014,Andaman & Nicobar Islands,6,1587,0,0,1587,0,Independent,,Andaman & Nicobar Islands,#CEB58C,190328,0.83,1,11/04/19,25/03/19,GEN,0.833823715,
U01,1,8,NCP,R.S.UMA BHARATTHY,2014,Andaman & Nicobar Islands,8,1151,0,0,1151,0,Nationalist Congress Party,,Andaman & Nicobar Islands,#FAEA75,190328,0.6,1,11/04/19,25/03/19,GEN,0.604745492,
U01,1,9,BSP,GOUR CHANDRA MAJUMDER,2014,Andaman & Nicobar Islands,9,1139,0,0,1139,0,Bahujan Samaj Party,,Andaman & Nicobar Islands,#22409A,190328,0.6,1,11/04/19,25/03/19,GEN,0.598440587,
U01,1,10,IND,SARAVANAN,2014,Andaman & Nicobar Islands,10,847,0,0,847,0,Independent,,Andaman & Nicobar Islands,#CEB58C,190328,0.45,1,11/04/19,25/03/19,GEN,0.445021227,
U01,1,11,CPI(M)(L),N K P NAIR,2014,Andaman & Nicobar Islands,11,436,0,0,436,0,Communist Party of India  (Marxist-Leninist)  (Liberation),,Andaman & Nicobar Islands,#F27A67,190328,0.23,1,11/04/19,25/03/19,GEN,0.229078223,
U01,1,12,IND,V V KHALID,2014,Andaman & Nicobar Islands,12,429,0,0,429,0,Independent,,Andaman & Nicobar Islands,#CEB58C,190328,0.23,1,11/04/19,25/03/19,GEN,0.225400361,
U01,1,13,SP,RAGHUBIR SINGH,2014,Andaman & Nicobar Islands,13,379,0,0,379,0,Samajwadi Party,,Andaman & Nicobar Islands,#0E6D37,190328,0.2,1,11/04/19,25/03/19,GEN,0.199129923,
U01,1,14,IND,C G SAJI KUMAR,2014,Andaman & Nicobar Islands,14,334,0,0,334,0,Independent,,Andaman & Nicobar Islands,#CEB58C,190328,0.18,1,11/04/19,25/03/19,GEN,0.175486529,
U01,1,15,IND,N KANNAN,2014,Andaman & Nicobar Islands,15,314,0,0,314,0,Independent,,Andaman & Nicobar Islands,#CEB58C,190328,0.16,1,11/04/19,25/03/19,GEN,0.164978353,
U01,1,16,AIFB,A PANDIAN,2014,Andaman & Nicobar Islands,16,225,0,0,225,0,All India Forward Bloc,,Andaman & Nicobar Islands,#ac1313,190328,0.12,1,11/04/19,25/03/19,GEN,0.118216973,
U01,1,7,NOTA,NONE OF THE ABOVE,2014,Andaman & Nicobar Islands,7,1564,0,0,1564,0,None of the Above,,Andaman & Nicobar Islands,#DDD1CA,190328,0.82,1,11/04/19,25/03/19,GEN,0.821739313,
U01,1,3,Others,MANOJ PAUL,2024,Andaman & Nicobar Islands,3,8236,18,0,8254,0,Andaman Nicobar Democratic Congress,,Andaman & Nicobar Islands,#004274,202514,4.08,1,19/04/24,27/03/24,GEN,4.075767601,
