constituency_code,constitunecy_number,constituency,State_Short,state_code,Phase,Date,Nomination,Category,State
S01-1,1,ADILABAD,TS,S01,1,11-04-2019,25-03-2019,ST,TELANGANA
S01-10,10,CHEVELLA,TS,S01,1,11-04-2019,25-03-2019,GEN,TELANGANA
S01-11,11,MAHBUBNAGAR,TS,S01,1,11-04-2019,25-03-2019,GEN,TELANGANA
S01-12,12,NAGARKURNOOL,TS,S01,1,11-04-2019,25-03-2019,SC,TELANGANA
S01-13,13,NALGONDA,TS,S01,1,11-04-2019,25-03-2019,GEN,TELANGANA
S01-14,14,BHONGIR,TS,S01,1,11-04-2019,25-03-2019,GEN,TELANGANA
S01-15,15,WARANGAL,TS,S01,1,11-04-2019,25-03-2019,SC,TELANGANA
S01-16,16,MAHABUBABAD,TS,S01,1,11-04-2019,25-03-2019,ST,TELANGANA
S01-17,17,KHAMMAM,TS,S01,1,11-04-2019,25-03-2019,GEN,TELANGANA
S01-18,18,ARAKU,AP,S01,1,11-04-2019,25-03-2019,ST,ANDHRA PRADESH
S01-19,19,SRIKAKULAM,TS,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-2,2,PEDDAPALLE,AP,S01,1,11-04-2019,25-03-2019,SC,TELANGANA
S01-20,20,VIZIANAGARAM,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-21,21,VISAKHAPATNAM,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-22,22,ANAKAPALLE,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-23,23,KAKINADA,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-24,24,AMALAPURAM,AP,S01,1,11-04-2019,25-03-2019,SC,ANDHRA PRADESH
S01-25,25,RAJAHMUNDRY,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-26,26,NARSAPURAM,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-27,27,ELURU,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-28,28,MACHILIPATNAM,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-29,29,VIJAYAWADA,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-3,3,KARIMNAGAR,TS,S01,1,11-04-2019,25-03-2019,GEN,TELANGANA
S01-30,30,GUNTUR,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-31,31,NARASARAOPET,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-32,32,BAPATLA,AP,S01,1,11-04-2019,25-03-2019,SC,ANDHRA PRADESH
S01-33,33,ONGOLE,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-34,34,NANDYAL,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-35,35,KURNOOL,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-36,36,ANANTAPUR,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-37,37,HINDUPUR,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-38,38,KADAPA,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-39,39,NELLORE,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-4,4,NIZAMABAD,TS,S01,1,11-04-2019,25-03-2019,GEN,TELANGANA
S01-40,40,TIRUPATI,AP,S01,1,11-04-2019,25-03-2019,SC,ANDHRA PRADESH
S01-41,41,RAJAMPET,AP,S01,1,11-04-2019,25-03-2019,GEN,ANDHRA PRADESH
S01-42,42,CHITTOOR,AP,S01,1,11-04-2019,25-03-2019,SC,ANDHRA PRADESH
S01-5,5,ZAHIRABAD,TS,S01,1,11-04-2019,25-03-2019,GEN,TELANGANA
S01-6,6,MEDAK,TS,S01,1,11-04-2019,25-03-2019,GEN,TELANGANA
S01-7,7,MALKAJGIRI,TS,S01,1,11-04-2019,25-03-2019,GEN,TELANGANA
S01-8,8,SECUNDERABAD,TS,S01,1,11-04-2019,25-03-2019,GEN,TELANGANA
S01-9,9,HYDERABAD,TS,S01,1,11-04-2019,25-03-2019,GEN,TELANGANA
S02-1,1,ARUNACHAL WEST,AR,S02,1,11-04-2019,25-03-2019,GEN,ARUNACHAL PRADESH
S02-2,2,ARUNACHAL EAST,AR,S02,1,11-04-2019,25-03-2019,GEN,ARUNACHAL PRADESH
S03-1,1,KARIMGANJ,AS,S03,2,18-04-2019,26-03-2019,SC,ASSAM
S03-10,10,NOWGONG,AS,S03,2,18-04-2019,26-03-2019,GEN,ASSAM
S03-11,11,KALIABOR,AS,S03,1,11-04-2019,25-03-2019,GEN,ASSAM
S03-12,12,JORHAT,AS,S03,1,11-04-2019,25-03-2019,GEN,ASSAM
S03-13,13,DIBRUGARH,AS,S03,1,11-04-2019,25-03-2019,GEN,ASSAM
S03-14,14,LAKHIMPUR,AS,S03,1,11-04-2019,25-03-2019,GEN,ASSAM
S03-2,2,SILCHAR,AS,S03,2,18-04-2019,26-03-2019,GEN,ASSAM
S03-3,3,AUTONOMOUS DISTRICT,AS,S03,2,18-04-2019,26-03-2019,ST,ASSAM
S03-4,4,DHUBRI,AS,S03,3,23-04-2019,04-04-2019,GEN,ASSAM
S03-5,5,KOKRAJHAR,AS,S03,3,23-04-2019,04-04-2019,ST,ASSAM
