YEAR,AC_NAME,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES,polled_votes,vote_percent
1967,PERNEM,Goa,1,1,GEN,K . B . LAXMAN,M,,,MAG,4499,7480,60.15
1967,PERNEM,Goa,1,2,GEN,B . DESPRABHU,M,,,IND,2181,7480,29.16
1967,PERNEM,Goa,1,3,GEN,P . O . S . GOVIND,M,,,UGS,346,7480,4.63
1967,PERNEM,Goa,1,4,GEN,D . S . GOVINDRAO,M,,,PSP,169,7480,2.26
1967,PERNEM,Goa,1,5,GEN,P . D . N . YESHWANT,M,,,IND,146,7480,1.95
1967,PERNEM,Goa,1,6,GEN,N . D . S . JAGANNATH,M,,,IND,89,7480,1.19
1967,PERNEM,Goa,1,7,GEN,T . N . SWAR,M,,,IND,26,7480,0.35
1967,PERNEM,Goa,1,8,GEN,B . K . VINAYAK,M,,,IND,24,7480,0.32
1967,MANDREM,Goa,2,1,GEN,A . J . DSOUZA,M,,,MAG,6907,9640,71.65
1967,MANDREM,Goa,2,2,GEN,K . M . VINAYAK,M,,,UGS,1540,9640,15.98
1967,MANDREM,Goa,2,3,GEN,G . N . MUKUND,M,,,IND,445,9640,4.62
1967,MANDREM,Goa,2,4,GEN,M . H . NAIK,M,,,IND,176,9640,1.83
1967,MANDREM,Goa,2,5,GEN,S . R . BHISU,M,,,IND,155,9640,1.61
1967,MANDREM,Goa,2,6,GEN,A . N . WAMAN,M,,,IND,148,9640,1.54
1967,MANDREM,Goa,2,7,GEN,P . D . Y . LAXMAN,M,,,IND,127,9640,1.32
1967,MANDREM,Goa,2,8,GEN,M . CHAVAN,M,,,IND,79,9640,0.82
1967,MANDREM,Goa,2,9,GEN,D . S . WAMAN,M,,,IND,41,9640,0.43
1967,MANDREM,Goa,2,10,GEN,V . M . KAMULKAR,M,,,IND,22,9640,0.23
1967,SIOLIM,Goa,3,1,GEN,A . P . PANDURANG,M,,,MAG,5175,10279,50.35
1967,SIOLIM,Goa,3,2,GEN,D . ZEFERINO,M,,,UGS,4556,10279,44.32
1967,SIOLIM,Goa,3,3,GEN,S . P . PURUSHOTTAM,M,,,IND,354,10279,3.44
1967,SIOLIM,Goa,3,4,GEN,C . K . NARAYAN,M,,,IND,132,10279,1.28
1967,SIOLIM,Goa,3,5,GEN,D . A . PRABHU,M,,,IND,50,10279,0.49
1967,SIOLIM,Goa,3,6,GEN,J . F . SANTAN,M,,,IND,12,10279,0.12
1967,CALANGUTE,Goa,4,1,GEN,S . VALENTE,M,,,UGS,6329,11657,54.29
1967,CALANGUTE,Goa,4,2,GEN,M . R . DHARMA,M,,,MAG,4633,11657,39.74
1967,CALANGUTE,Goa,4,3,GEN,V . S . SOUZA,M,,,UGF,246,11657,2.11
1967,CALANGUTE,Goa,4,4,GEN,M . A . FERNANDES,M,,,IND,182,11657,1.56
1967,CALANGUTE,Goa,4,5,GEN,F . A . DOMINGOS,M,,,IND,137,11657,1.18
1967,CALANGUTE,Goa,4,6,GEN,S . I . ERNESTO,M,,,IND,68,11657,0.58
1967,CALANGUTE,Goa,4,7,GEN,J . N . PINTO,M,,,IND,54,11657,0.46
1967,CALANGUTE,Goa,4,8,GEN,M .S . KADAM,M,,,IND,8,11657,0.07
1967,ALDONA,Goa,5,1,GEN,L . S . O . FERNANDO,M,,,UGS,6084,10527,57.79
1967,ALDONA,Goa,5,2,GEN,M . N . PANDHARINATH,M,,,MAG,3969,10527,37.7
1967,ALDONA,Goa,5,3,GEN,L .D . C. NICOLAV,M,,,IND,177,10527,1.68
1967,ALDONA,Goa,5,4,GEN,C . J . JOAO,M,,,IND,168,10527,1.6
1967,ALDONA,Goa,5,5,GEN,A . M . DSILVA,M,,,IND,94,10527,0.89
1967,ALDONA,Goa,5,6,GEN,S . A . SHIVA,M,,,IND,35,10527,0.33
1967,MAPUSA,Goa,6,1,GEN,M . G . GOVIND,M,,,MAG,5476,10416,52.57
1967,MAPUSA,Goa,6,2,GEN,K . T . MANGESH,M,,,UGS,4040,10416,38.79
1967,MAPUSA,Goa,6,3,GEN,S . V . PANDURANG,M,,,IND,411,10416,3.95
1967,MAPUSA,Goa,6,4,GEN,M . T . BRAGANZA,M,,,IND,253,10416,2.43
1967,MAPUSA,Goa,6,5,GEN,A . J . PIEDADE,M,,,IND,151,10416,1.45
1967,MAPUSA,Goa,6,6,GEN,D . K . DATTARAM,M,,,IND,46,10416,0.44
1967,MAPUSA,Goa,6,7,GEN,N . K . YESHWANT,M,,,IND,25,10416,0.24
1967,MAPUSA,Goa,6,8,GEN,J . V . GORE,M,,,IND,14,10416,0.13
1967,TIVIM,Goa,7,1,GEN,J . RANE,M,,,MAG,4761,7772,61.26
1967,TIVIM,Goa,7,2,GEN,N . NARAYANANANT,M,,,UGS,1794,7772,23.08
1967,TIVIM,Goa,7,3,GEN,B . MAHADEV,M,,,IND,869,7772,11.18
1967,TIVIM,Goa,7,4,GEN,S . M . WALHEKAR,M,,,PSP,172,7772,2.21
1967,TIVIM,Goa,7,5,GEN,L . F . ALBINO,M,,,IND,119,7772,1.53
1967,TIVIM,Goa,7,6,GEN,D . Z . P . MARIAND,M,,,IND,34,7772,0.44
1967,TIVIM,Goa,7,7,GEN,P . S . NAGESH,M,,,IND,23,7772,0.3
1967,BICHOLIM,Goa,8,1,GEN,C . D . KESHAV,M,,,MAG,5565,8311,66.96
