YEAR,AC_NAME,ST_NAME,AC_NO,#,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES,polled_votes,vote_percent
1951,DABWALI,Punjab,1,1,GEN,KARNAIL SINGH,M,,,SAD,11364.0,31470.0,36.11
1951,DABWALI,Punjab,1,2,GEN,RAM DAYAL VAID,M,,,INC,10101.0,31470.0,32.1
1951,DABWALI,Punjab,1,3,GEN,PREM SUKH DAS,M,,,IND,6909.0,31470.0,21.95
1951,DABWALI,Punjab,1,4,GEN,PURKHA,M,,,CPI,1100.0,31470.0,3.5
1951,DABWALI,Punjab,1,5,GEN,MURLI DHAR,M,,,BJS,864.0,31470.0,2.75
1951,DABWALI,Punjab,1,6,GEN,RAM GOPAL,M,,,SP,589.0,31470.0,1.87
1951,DABWALI,Punjab,1,7,GEN,NARAIN SINGH,M,,,IND,255.0,31470.0,0.81
1951,DABWALI,Punjab,1,8,GEN,MASTAN SINGH,M,,,IND,167.0,31470.0,0.53
1951,DABWALI,Punjab,1,9,GEN,HAZARI LAL,M,,,IND,121.0,31470.0,0.38
1951,SIRSA,Punjab,2,1,GEN,DEVI LAL,M,,,INC,18572.0,32435.0,57.26
1951,SIRSA,Punjab,2,2,GEN,SHIV KARAN SINGH,M,,,IND,13863.0,32435.0,42.74
1951,FATEHABAD,Punjab,3,1,GEN,DALBIR SINGH GOHAR,M,,,INC,16619.0,77984.0,21.31
1951,FATEHABAD,Punjab,3,2,GEN,GANGA RAM,M,,,IND,14516.0,77984.0,18.61
1951,FATEHABAD,Punjab,3,3,GEN,RAMJI LAL,M,,,ZP,11069.0,77984.0,14.19
1951,FATEHABAD,Punjab,3,4,GEN,CHHABIL DAS,M,,,SP,8885.0,77984.0,11.39
1951,FATEHABAD,Punjab,3,5,GEN,MANI RAM,M,,,SP,7521.0,77984.0,9.64
1951,FATEHABAD,Punjab,3,6,GEN,PAT RAM S/O POLA CHAMAR,M,,,ZP,6386.0,77984.0,8.19
1951,FATEHABAD,Punjab,3,7,GEN,NEMAT RAI,M,,,BJS,5257.0,77984.0,6.74
1951,FATEHABAD,Punjab,3,8,GEN,PAT RAM S/O KHUB RAM,M,,,IND,3084.0,77984.0,3.95
1951,FATEHABAD,Punjab,3,9,GEN,JAG RAM,M,,,IND,3048.0,77984.0,3.91
1951,FATEHABAD,Punjab,3,10,GEN,HET RAM,M,,,IND,1599.0,77984.0,2.05
1951,HISSAR CITY,Punjab,4,1,GEN,BALWANT RAI,M,,,INC,16397.0,31783.0,51.59
1951,HISSAR CITY,Punjab,4,2,GEN,JYOTI PRASHAD,M,,,BJS,8186.0,31783.0,25.76
1951,HISSAR CITY,Punjab,4,3,GEN,PAHLAD SINGH,M,,,SP,5111.0,31783.0,16.08
1951,HISSAR CITY,Punjab,4,4,GEN,MOLU RAM,M,,,IND,1789.0,31783.0,5.63
1951,HISSAR CITY,Punjab,4,5,GEN,RAM SARAN JOSH,M,,,IND,300.0,31783.0,0.94
1951,HISSAR SADAR,Punjab,5,1,GEN,RANJIT SINGH,M,,,INC,11794.0,32792.0,35.97
1951,HISSAR SADAR,Punjab,5,2,GEN,HARI SINGH,M,,,ZP,9186.0,32792.0,28.01
1951,HISSAR SADAR,Punjab,5,3,GEN,JAI DEV,M,,,IND,4973.0,32792.0,15.17
1951,HISSAR SADAR,Punjab,5,4,GEN,BIR SINGH,M,,,IND,3468.0,32792.0,10.58
1951,HISSAR SADAR,Punjab,5,5,GEN,NET RAM,M,,,SP,3371.0,32792.0,10.28
1951,HANSI,Punjab,6,1,GEN,LAJPAT RAI,M,,,INC,13738.0,29072.0,47.26
1951,HANSI,Punjab,6,2,GEN,RAM PRASHAD,M,,,IND,6138.0,29072.0,21.11
1951,HANSI,Punjab,6,3,GEN,MENI RAM,M,,,SP,4798.0,29072.0,16.5
1951,HANSI,Punjab,6,4,GEN,RANDHIR SINGH,M,,,IND,2754.0,29072.0,9.47
1951,HANSI,Punjab,6,5,GEN,SAMPURAN SINGH,M,,,IND,626.0,29072.0,2.15
1951,HANSI,Punjab,6,6,GEN,KHUSHI RAM,M,,,IND,574.0,29072.0,1.97
1951,HANSI,Punjab,6,7,GEN,RAM SARAN DAS,M,,,IND,444.0,29072.0,1.53
1951,NARNAUND,Punjab,7,1,GEN,SARUP SINGH,M,,,INC,19553.0,39335.0,49.71
1951,NARNAUND,Punjab,7,2,GEN,SRUAJ MAL,M,,,ZP,18468.0,39335.0,46.95
1951,NARNAUND,Punjab,7,3,GEN,MANI RAM,M,,,SP,673.0,39335.0,1.71
1951,NARNAUND,Punjab,7,4,GEN,RAGHUBIR SINGH,M,,,IND,641.0,39335.0,1.63
1951,BHIWANI,Punjab,8,1,GEN,RAM KUMAR,M,,,INC,14109.0,95669.0,14.75
1951,BHIWANI,Punjab,8,2,GEN,CHANDER BHAN,M,,,IND,13981.0,95669.0,14.61
1951,BHIWANI,Punjab,8,3,GEN,CHIRANJIT SINGH,M,,,IND,11540.0,95669.0,12.06
1951,BHIWANI,Punjab,8,4,GEN,BADRI PRASHAD,M,,,BJS,9883.0,95669.0,10.33
1951,BHIWANI,Punjab,8,5,GEN,BANARSI DAS,M,,,SP,9533.0,95669.0,9.96
1951,BHIWANI,Punjab,8,6,GEN,MAM RAJ,M,,,INC,7079.0,95669.0,7.4
1951,BHIWANI,Punjab,8,7,GEN,HARDWARI LAL,M,,,IND,5747.0,95669.0,6.01
1951,BHIWANI,Punjab,8,8,GEN,SURJAN,M,,,SP,5399.0,95669.0,5.64
1951,BHIWANI,Punjab,8,9,GEN,BASHAMBER DAYAL,M,,,IND,4443.0,95669.0,4.64
1951,BHIWANI,Punjab,8,10,GEN,HANWANT RAI,M,,,IND,4344.0,95669.0,4.54
1951,BHIWANI,Punjab,8,11,GEN,PRABHU LAL,M,,,ZP,3308.0,95669.0,3.46
1951,BHIWANI,Punjab,8,12,GEN,MUNSHI RAM,M,,,IND,2969.0,95669.0,3.1
1951,BHIWANI,Punjab,8,13,GEN,FAQIR CHAND,M,,,BJS,2338.0,95669.0,2.44
1951,BHIWANI,Punjab,8,14,GEN,BANWARI,M,,,IND,996.0,95669.0,1.04
1951,RAI,Punjab,9,1,GEN,RIZAQ RAM,M,,,INC,14892.0,35794.0,41.6
1951,RAI,Punjab,9,2,GEN,TIKKA RAM,M,,,ZP,14124.0,35794.0,39.46
1951,RAI,Punjab,9,3,GEN,RANDHIR SINGH,M,,,SP,3168.0,35794.0,8.85
1951,RAI,Punjab,9,4,GEN,BAL KISHAN,M,,,IND,2527.0,35794.0,7.06
1951,RAI,Punjab,9,5,GEN,LAUTI RAM,M,,,IND,1083.0,35794.0,3.03
1951,SONIPAT,Punjab,10,1,GEN,SIRI RAM,M,,,INC,15647.0,32560.0,48.06
1951,SONIPAT,Punjab,10,2,GEN,SHADI RAM,M,,,ZP,10819.0,32560.0,33.23
1951,SONIPAT,Punjab,10,3,GEN,JAI KISHAN DAS,M,,,BJS,6094.0,32560.0,18.72
1951,GANAUR,Punjab,11,1,GEN,LEHRI SINGH,M,,,INC,18171.0,42693.0,42.56
1951,GANAUR,Punjab,11,2,GEN,CHANDER BHAN,M,,,ZP,14622.0,42693.0,34.25
1951,GANAUR,Punjab,11,3,GEN,CHIRANJI LAL,M,,,IND,7999.0,42693.0,18.74
1951,GANAUR,Punjab,11,4,GEN,PURAN MALL,M,,,IND,838.0,42693.0,1.96
1951,GANAUR,Punjab,11,5,GEN,DHARAM SINGH,M,,,IND,723.0,42693.0,1.69
1951,GANAUR,Punjab,11,6,GEN,MUKHTIAR SINGH,M,,,IND,340.0,42693.0,0.8
1951,GOHANA,Punjab,12,1,GEN,MAM CHAND,M,,,INC,22760.0,133394.0,17.06
1951,GOHANA,Punjab,12,2,GEN,NANHU RAM,M,,,INC,22664.0,133394.0,16.99
1951,GOHANA,Punjab,12,3,GEN,DHAJA RAM,M,,,ZP,22042.0,133394.0,16.52
1951,GOHANA,Punjab,12,4,GEN,BRAHMA NAND,M,,,ZP,18178.0,133394.0,13.63
1951,GOHANA,Punjab,12,5,GEN,DEWAK RAM,M,,,IND,15441.0,133394.0,11.58
1951,GOHANA,Punjab,12,6,GEN,TEK CHAND,M,,,IND,9372.0,133394.0,7.03
1951,GOHANA,Punjab,12,7,GEN,KIDAR NATH,M,,,IND,6478.0,133394.0,4.86
1951,GOHANA,Punjab,12,8,GEN,HARI SINGH,M,,,SP,6121.0,133394.0,4.59
1951,GOHANA,Punjab,12,9,GEN,MAMAN SINGH,M,,,IND,3774.0,133394.0,2.83
1951,GOHANA,Punjab,12,10,GEN,ANAND SINGH,M,,,IND,3189.0,133394.0,2.39
1951,GOHANA,Punjab,12,11,GEN,BANWARI LAL,M,,,IND,2310.0,133394.0,1.73
1951,GOHANA,Punjab,12,12,GEN,AMAR NATH,M,,,IND,1065.0,133394.0,0.8
1951,KALANAUR,Punjab,13,1,GEN,BADLU RAM,M,,,INC,14448.0,36085.0,40.04
1951,KALANAUR,Punjab,13,2,GEN,RAM SARUP,M,,,ZP,13101.0,36085.0,36.31
1951,KALANAUR,Punjab,13,3,GEN,NASIB SINGH,M,,,IND,6014.0,36085.0,16.67
1951,KALANAUR,Punjab,13,4,GEN,AKHE RAM,M,,,IND,1506.0,36085.0,4.17
1951,KALANAUR,Punjab,13,5,GEN,PRAKASH CHANDER,M,,,IND,651.0,36085.0,1.8
1951,KALANAUR,Punjab,13,6,GEN,SHAMSHER DATT,M,,,IND,365.0,36085.0,1.01
1951,JHAJJAR,Punjab,14,1,GEN,SHER SINGH,M,,,INC,22504.0,124200.0,18.12
1951,JHAJJAR,Punjab,14,2,GEN,DIL SUKH,M,,,ZP,21743.0,124200.0,17.51
1951,JHAJJAR,Punjab,14,3,GEN,CHAND RAM,M,,,INC,21202.0,124200.0,17.07
1951,JHAJJAR,Punjab,14,4,GEN,GURBAX SINGH,M,,,ZP,15362.0,124200.0,12.37
1951,JHAJJAR,Punjab,14,5,GEN,JAI LAL,M,,,IND,11037.0,124200.0,8.89
1951,JHAJJAR,Punjab,14,6,GEN,CHIRANJI LAL,M,,,IND,6542.0,124200.0,5.27
1951,JHAJJAR,Punjab,14,7,GEN,RAM SARUP,M,,,IND,4929.0,124200.0,3.97
1951,JHAJJAR,Punjab,14,8,GEN,IMRAT,M,,,IND,4712.0,124200.0,3.79
1951,JHAJJAR,Punjab,14,9,GEN,HARGOPAL,M,,,SP,3677.0,124200.0,2.96
1951,JHAJJAR,Punjab,14,10,GEN,UMA SHANKAR,M,,,IND,2969.0,124200.0,2.39
1951,JHAJJAR,Punjab,14,11,GEN,BISHAMBER DAYAL,M,,,IND,2385.0,124200.0,1.92
1951,JHAJJAR,Punjab,14,12,GEN,POPAL RAM,M,,,IND,2094.0,124200.0,1.69
1951,JHAJJAR,Punjab,14,13,GEN,PHULLU,M,,,IND,1411.0,124200.0,1.14
1951,JHAJJAR,Punjab,14,14,GEN,NANDU SINGH,M,,,IND,1323.0,124200.0,1.07
1951,JHAJJAR,Punjab,14,15,GEN,KHUSHI RAM,M,,,IND,1320.0,124200.0,1.06
1951,JHAJJAR,Punjab,14,16,GEN,SHAM LAL,M,,,IND,990.0,124200.0,0.8
1951,BAHADURGARH,Punjab,15,1,GEN,SIRI CHAND,M,,,ZP,23593.0,41686.0,56.6
1951,BAHADURGARH,Punjab,15,2,GEN,HARI SINGH,M,,,INC,15266.0,41686.0,36.62
1951,BAHADURGARH,Punjab,15,3,GEN,MANGA RAM,M,,,IND,1899.0,41686.0,4.56
1951,BAHADURGARH,Punjab,15,4,GEN,TAQDIR SINGH,M,,,IND,928.0,41686.0,2.23
1951,SAMPLA,Punjab,16,1,GEN,MARU SINGH,M,,,ZP,13568.0,35088.0,38.67
1951,SAMPLA,Punjab,16,2,GEN,UMA DATT,M,,,IND,7526.0,35088.0,21.45
1951,SAMPLA,Punjab,16,3,GEN,LAXMI DEVI,F,,,INC,6633.0,35088.0,18.9
1951,SAMPLA,Punjab,16,4,GEN,LAL CHAND,M,,,IND,5476.0,35088.0,15.61
1951,SAMPLA,Punjab,16,5,GEN,CHET RAM,M,,,IND,1036.0,35088.0,2.95
1951,SAMPLA,Punjab,16,6,GEN,BALDEV SINGH,M,,,IND,849.0,35088.0,2.42
1951,ROHTAK CITY,Punjab,17,1,GEN,DEV RAJ,M,,,INC,12300.0,29754.0,41.34
1951,ROHTAK CITY,Punjab,17,2,GEN,RANPHOOL SINGH,M,,,BJS,7214.0,29754.0,24.25
1951,ROHTAK CITY,Punjab,17,3,GEN,PIRU SINGH,M,,,IND,5533.0,29754.0,18.6
1951,ROHTAK CITY,Punjab,17,4,GEN,KANSHI RAM,M,,,IND,1732.0,29754.0,5.82
1951,ROHTAK CITY,Punjab,17,5,GEN,MURARI LAL,M,,,IND,1384.0,29754.0,4.65
1951,ROHTAK CITY,Punjab,17,6,GEN,BHUP SINGH,M,,,IND,815.0,29754.0,2.74
1951,ROHTAK CITY,Punjab,17,7,GEN,RAGHUNATH SAHAI,M,,,IND,412.0,29754.0,1.38
1951,ROHTAK CITY,Punjab,17,8,GEN,MOTI RAM,M,,,IND,170.0,29754.0,0.57
1951,ROHTAK CITY,Punjab,17,9,GEN,KRISHAN GOPAL,M,,,IND,117.0,29754.0,0.39
1951,ROHTAK CITY,Punjab,17,10,GEN,NAGAR MALL,M,,,IND,77.0,29754.0,0.26
1951,FEROZEPORE JHIRKA,Punjab,18,1,GEN,MOHD. YASEEN KHAN,M,,,INC,,,
1951,NUH,Punjab,19,1,GEN,ABDUL GHANI,M,,,INC,17654.0,37247.0,47.4
1951,NUH,Punjab,19,2,GEN,DHAN SINGH,M,,,ZP,14873.0,37247.0,39.93
1951,NUH,Punjab,19,3,GEN,UMRAO,M,,,IND,1661.0,37247.0,4.46
1951,NUH,Punjab,19,4,GEN,REHMAT KHAN,M,,,IND,1648.0,37247.0,4.42
1951,NUH,Punjab,19,5,GEN,BEHARI,M,,,IND,1411.0,37247.0,3.79
1951,PALWAL,Punjab,20,1,GEN,GURDITTA,M,,,INC,15790.0,33402.0,47.27
1951,PALWAL,Punjab,20,2,GEN,SUMAR SINGH,M,,,ZP,13712.0,33402.0,41.05
1951,PALWAL,Punjab,20,3,GEN,JITU,M,,,IND,3900.0,33402.0,11.68
1951,HASANPUR,Punjab,21,1,GEN,DHARAM VIR,M,,,INC,15171.0,41336.0,36.7
1951,HASANPUR,Punjab,21,2,GEN,PURAN SINGH,M,,,ZP,10928.0,41336.0,26.44
1951,HASANPUR,Punjab,21,3,GEN,GHASI,M,,,IND,6125.0,41336.0,14.82
1951,HASANPUR,Punjab,21,4,GEN,RAJINDER SINGH,M,,,IND,3805.0,41336.0,9.21
1951,HASANPUR,Punjab,21,5,GEN,RUP LAL,M,,,IND,2915.0,41336.0,7.05
1951,HASANPUR,Punjab,21,6,GEN,TUHI RAM,M,,,IND,2392.0,41336.0,5.79
1951,REWARI,Punjab,22,1,GEN,ABHAI SINGH,M,,,INC,34570.0,113063.0,30.58
1951,REWARI,Punjab,22,2,GEN,VIRENDER SINGH,M,,,ZP,26312.0,113063.0,23.27
1951,REWARI,Punjab,22,3,GEN,CHUNI LAL,M,,,INC,21502.0,113063.0,19.02
1951,REWARI,Punjab,22,4,GEN,BEGRAJ SINGH,M,,,SP,8240.0,113063.0,7.29
1951,REWARI,Punjab,22,5,GEN,PURAN MALL,M,,,IND,6438.0,113063.0,5.69
1951,REWARI,Punjab,22,6,GEN,BALDI,M,,,IND,4942.0,113063.0,4.37
1951,REWARI,Punjab,22,7,GEN,KANWAR SINGH,M,,,IND,4428.0,113063.0,3.92
1951,REWARI,Punjab,22,8,GEN,MATA DIN,M,,,IND,3320.0,113063.0,2.94
1951,REWARI,Punjab,22,9,GEN,DEO KARAN,M,,,IND,1265.0,113063.0,1.12
1951,REWARI,Punjab,22,10,GEN,MATU RAM,M,,,PDCL,1151.0,113063.0,1.02
1951,REWARI,Punjab,22,11,GEN,MANPHOOL SINGH,M,,,IND,895.0,113063.0,0.79
1951,BALLAB GARH,Punjab,23,1,GEN,KIDAR NATH SEHGAL,M,,,INC,19032.0,35094.0,54.23
1951,BALLAB GARH,Punjab,23,2,GEN,NET RAM,M,,,ZP,14947.0,35094.0,42.59
1951,BALLAB GARH,Punjab,23,3,GEN,JAGDISH PARSHAD,M,,,IND,1115.0,35094.0,3.18
1951,GURGAON,Punjab,24,1,GEN,GAJRAJ SINGH,M,,,INC,22655.0,35996.0,62.94
1951,GURGAON,Punjab,24,2,GEN,MOHAR SINGH,M,,,IND,11027.0,35996.0,30.63
1951,GURGAON,Punjab,24,3,GEN,SAJAN SINGH,M,,,IND,1794.0,35996.0,4.98
1951,GURGAON,Punjab,24,4,GEN,NARAIN SINGH,M,,,ZP,520.0,35996.0,1.44
1951,SOHNA,Punjab,25,1,GEN,BABU DAYAL,M,,,INC,18473.0,34781.0,53.11
1951,SOHNA,Punjab,25,2,GEN,NATHU SINGH,M,,,ZP,9454.0,34781.0,27.18
1951,SOHNA,Punjab,25,3,GEN,HAR NARAIN SINGH,M,,,IND,4567.0,34781.0,13.13
1951,SOHNA,Punjab,25,4,GEN,RAM LAL SINGH,M,,,IND,1206.0,34781.0,3.47
1951,SOHNA,Punjab,25,5,GEN,LAL SINGH,M,,,IND,1081.0,34781.0,3.11
1951,SAMBHALKA,Punjab,26,1,GEN,MOOL CHAND,M,,,INC,16679.0,39017.0,42.75
1951,SAMBHALKA,Punjab,26,2,GEN,DHARAM SINGH,M,,,ZP,15167.0,39017.0,38.87
1951,SAMBHALKA,Punjab,26,3,GEN,BHARAT SINGH,M,,,IND,4624.0,39017.0,11.85
1951,SAMBHALKA,Punjab,26,4,GEN,RANJIT SINGH,M,,,IND,1138.0,39017.0,2.92
1951,SAMBHALKA,Punjab,26,5,GEN,ASA,M,,,IND,919.0,39017.0,2.36
1951,SAMBHALKA,Punjab,26,6,GEN,HARPHOOL SINGH,M,,,IND,490.0,39017.0,1.26
1951,PANIPAT,Punjab,27,1,GEN,KRISHAN GOPAL DATT,M,,,INC,14513.0,29499.0,49.2
1951,PANIPAT,Punjab,27,2,GEN,KUNDAN LAL,M,,,BJS,10190.0,29499.0,34.54
1951,PANIPAT,Punjab,27,3,GEN,RAM SINGH,M,,,IND,2655.0,29499.0,9.0
1951,PANIPAT,Punjab,27,4,GEN,DHARAM PAL,M,,,IND,1347.0,29499.0,4.57
1951,PANIPAT,Punjab,27,5,GEN,PIARA LAL,M,,,IND,794.0,29499.0,2.69
1951,KARNAL,Punjab,28,1,GEN,NAND LAL,M,,,INC,11590.0,25376.0,45.67
1951,KARNAL,Punjab,28,2,GEN,GOKAL CHAND NARANG,M,,,BJS,5811.0,25376.0,22.9
1951,KARNAL,Punjab,28,3,GEN,SARDAR SINGH,M,,,IND,3264.0,25376.0,12.86
1951,KARNAL,Punjab,28,4,GEN,AMAR NATH,M,,,SP,2065.0,25376.0,8.14
1951,KARNAL,Punjab,28,5,GEN,BHAGAT RAM,M,,,IND,844.0,25376.0,3.33
1951,KARNAL,Punjab,28,6,GEN,JAGAN NATH,M,,,IND,439.0,25376.0,1.73
