User_ID,is_reply,sentiment_score,Reservations_Upgrades,Reservations_Frequent_Flyer,Reservations_seats,Pre_Booking_price,Pre_Booking_connectivity,Check_in_security,Check_in_checkin,In_Flight_meal,In_Flight_Entertainment,In_Flight_crew,Post_Flight_baggage,Post_Flight_delay,data_type
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a621b92f6abdd06,0,0.22,0,0,1,0,0,0,1,0,0,0,0,0,positive
9e9474a1ca3312323110a48e8067a23c9514a681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_data
8564f4617aa8c72d67c8b411c94caa47f0bdda6a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no_data
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,neutral
2ad5bf6a33959e0b92a3d1eabbfd467afbb0df5e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,neutral
6bb5616fd33d3debc6e7dcc423df24d0853f3dd5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_data
fd12d8a0e948583ca8da63b6b281040cedac45e5,1,-0.0625,0,0,0,0,0,0,0,0,0,0,0,0,negative
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,1,0,0,0,0,0,0,0,0,0,neutral
08c4c301152b57a929ef2da2b9d4a64906524a68,0,0.1375,0,0,1,0,0,0,0,0,0,0,0,0,positive
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,1,0,0,0,0,0,0,1,neutral
0338acf8ffc643f3766cedd6fed3f92b46b9152a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
0338acf8ffc643f3766cedd6fed3f92b46b9152a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
426d257088c04ee9783a3ff223168e4a4e39bb61,1,-0.13125,0,0,1,0,0,0,0,0,0,0,0,0,negative
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,1,0,0,0,0,0,0,0,0,0,neutral
426d257088c04ee9783a3ff223168e4a4e39bb61,1,0.325,0,0,0,0,0,0,0,0,0,0,0,0,positive
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
c6d356eecd2842d84871561a9385df5c6f700fd2,0,0.109057971,0,0,0,1,0,0,0,1,0,0,1,0,positive
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
9dec8c096208309514a3cbe08d8801739cf6dcfe,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,positive
747cf2eeb2c104cff4e45232fec1fa5397ee7a3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
14786f3a17962fa9bb62a6e12a580a6b87b628c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_data
14786f3a17962fa9bb62a6e12a580a6b87b628c6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no_data
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,0,0,0,1,0,0,0,0,0,0,neutral
64ff5fba370390f72cff73601754f277be4856c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
9e7b57fa5516291bd5e108d12cb793d06d133736,1,0.028571429,0,0,1,0,0,0,1,0,0,0,0,0,positive
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,1,1,0,0,0,1,0,0,0,0,0,neutral
f69471e2f0d0672f2743151089cd92d44cfe5810,1,-0.125,0,0,0,0,0,0,0,0,0,0,0,0,negative
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
f69471e2f0d0672f2743151089cd92d44cfe5810,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,0,0,1,0,0,0,0,0,0,0,neutral
5d5b610366958f6ef9a3964f4cc5111409c3ff96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,0,0,0,0,0,0,0,0,1,0,neutral
5d5b610366958f6ef9a3964f4cc5111409c3ff96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
5d5b610366958f6ef9a3964f4cc5111409c3ff96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,neutral
e796130c2cd9f46ef5773a39e3bc0d59d561394c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no_data
fd59a82e72e298580002518ce22059365d68ec1d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no_data
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,0,0,0,1,1,0,0,0,0,0,neutral
216514701c9e24b7724242c4d98755aa058da0ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
5bc14a3d195e7d219725d2381556f2a7cbcd8516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
5bc14a3d195e7d219725d2381556f2a7cbcd8516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
3244ad8997c101197b6fb5aeeb445a264fe663fb,1,-0.3125,0,0,0,0,0,0,0,0,0,0,0,0,negative
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
d4245b25e4af12efed67252c1fc03d364fff9223,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,positive
673704c5dcf54cd99720dd7174cfa91b769bf29f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
3244ad8997c101197b6fb5aeeb445a264fe663fb,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,positive
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
9e03562b933fcc4bdf9748240cb016b35ac3c3eb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
e77443f7d403ac4b90551dbc3a268e4f462e93da,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
81e7f11412b3a2a45bec95836cee82e6bf2e0381,1,0.333333333,0,0,0,0,1,0,0,0,0,0,0,0,positive
119a4123bfc532e19e8986919a6222222f6abdd06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
81e7f11412b3a2a45bec95836cee82e6bf2e0381,0,0.275,0,0,0,0,0,0,0,0,0,0,0,0,positive
