Rank,Name,Title,Organization,Age,url,image,,,
1,Vladimir Putin,President,Russia,61,http://www.forbes.com/profile/vladimir-putin/,http://i.forbesimg.com/media/lists/people/vladimir-putin_50x50.jpg,,,
2,Barack Obama,President,United States,52,http://www.forbes.com/profile/barack-obama/,http://i.forbesimg.com/media/lists/people/barack-obama_50x50.jpg,,,
3,Xi Jinping,"General Secretary, Communist Party",China,61,http://www.forbes.com/profile/xi-jinping/,http://i.forbesimg.com/media/lists/people/xi-jinping_50x50.jpg,,,
4,Pope Francis,Pope,Roman Catholic Church,77,http://www.forbes.com/profile/pope-francis/,http://i.forbesimg.com/media/lists/people/pope-francis_50x50.jpg,,,
5,Angela Merkel,Chancellor,Germany,59,http://www.forbes.com/profile/angela-merkel/,http://i.forbesimg.com/media/lists/people/angela-merkel_50x50.jpg,,,
6,Bill Gates,Co-Chair,Bill & Melinda Gates Foundation,58,http://www.forbes.com/profile/bill-gates/,http://i.forbesimg.com/media/lists/people/bill-gates_50x50.jpg,,,
7,Ben Bernanke,"Chairman, Federal Reserve",United States,60,http://www.forbes.com/profile/ben-bernanke/,http://i.forbesimg.com/media/lists/people/ben-bernanke_50x50.jpg,,,
8,Abdullah bin Abdul Aziz Al Saud,King,Saudi Arabia,89,http://www.forbes.com/profile/abdullah-bin-abdul-aziz-al-saud/,http://i.forbesimg.com/media/lists/people/abdullah-bin-abdul-aziz-al-saud_50x50.jpg,,,
9,Mario Draghi,President,European Central Bank,66,http://www.forbes.com/profile/mario-draghi/,http://i.forbesimg.com/media/lists/people/mario-draghi_50x50.jpg,,,
10,Michael Duke,CEO,Wal-Mart Stores,64,http://www.forbes.com/profile/michael-duke/,http://i.forbesimg.com/media/lists/people/michael-duke_50x50.jpg,,,
11,David Cameron,Prime Minister,United Kingdom,47,http://www.forbes.com/profile/david-cameron/,http://i.forbesimg.com/media/lists/people/david-cameron_50x50.jpg,,,
12,Carlos Slim Helu & family,Honorary Chairman,América Móvil,74,http://www.forbes.com/profile/carlos-slim-helu/,http://i.forbesimg.com/media/lists/people/carlos-slim-helu_50x50.jpg,,,
