Rank,Name,Earnings,Money_Rank,Fame_Rank,Image,Url
1,Salman Khan,244.5,1,1,http://forbesindia.com/media/list/Salman Khan_SM.jpg,http://forbesindia.com/celebprofile2014/salman-khan/1
2,Amitabh Bachchan,196.75,3,4,http://forbesindia.com/media/list/Amitabh_SM.jpg,http://forbesindia.com/celebprofile2014/amitabh-bachchan/3
3,Shah Rukh Khan,202.4,2,7,http://forbesindia.com/media/list/Shahrukh_SM.jpg,http://forbesindia.com/celebprofile2014/shah-rukh-khan/5
4,MS Dhoni,141.8,5,3,http://forbesindia.com/media/list/Dhoni_SM.jpg,http://forbesindia.com/celebprofile2014/ms-dhoni/7
5,Akshay Kumar,172,4,13,http://forbesindia.com/media/list/Akshay_SM.jpg,http://forbesindia.com/celebprofile2014/akshay-kumar/9
6,Virat Kohli,58.43,12,2,http://forbesindia.com/media/list/009_SM.jpg,http://forbesindia.com/celebprofile2014/virat-kohli/11
7,Aamir Khan,80.47,8,8,http://forbesindia.com/media/list/Amir_Sm.jpg,http://forbesindia.com/celebprofile2014/aamir-khan/13
8,Deepika Padukone,67.2,9,5,http://forbesindia.com/media/list/Deepika_SM.jpg,http://forbesindia.com/celebprofile2014/deepika-padukone/15
9,Hrithik Roshan,85,7,11,http://forbesindia.com/media/list/Hrithik_SM.jpg,http://forbesindia.com/celebprofile2014/hrithik-roshan/17
10,Sachin Tendulkar,59.54,11,9,http://forbesindia.com/media/list/006_SM.jpg,http://forbesindia.com/celebprofile2014/sachin-tendulkar/19
11,Ranbir Kapoor,93.25,6,26,http://forbesindia.com/media/list/Ranbir_Sm.jpg,http://forbesindia.com/celebprofile2014/ranbir-kapoor/21
12,Priyanka Chopra,54.4,13,10,http://forbesindia.com/media/list/014_SM.jpg,http://forbesindia.com/celebprofile2014/priyanka-chopra/23
13,AR Rahman,50,15,15,http://forbesindia.com/media/list/020_SM.jpg,http://forbesindia.com/celebprofile2014/ar-rahman/25
14,Priety Zinta,1.05,100,6,http://forbesindia.com/media/list/Preity Zinta_SM.jpg,http://forbesindia.com/celebprofile2014/priety-zinta/27
15,Saif Ali Khan,62.88,10,44,http://forbesindia.com/media/list/015_SM.jpg,http://forbesindia.com/celebprofile2014/saif-ali-khan/29
16,Yo Yo Honey Singh,25,27,18,http://forbesindia.com/media/list/Honey_SM.jpg,http://forbesindia.com/celebprofile2014/yo-yo-honey-singh-/31
17,Sonakshi Sinha,20.1,31,16,http://forbesindia.com/media/list/041_SM.jpg,http://forbesindia.com/celebprofile2014/sonakshi-sinha/33
18,Virender Sehwag,5.9,79,12,http://forbesindia.com/media/list/008_SM.jpg,http://forbesindia.com/celebprofile2014/virender-sehwag/35
19,Shikhar Dhawan,20.69,29,17,http://forbesindia.com/media/list/Shikhar_SM.jpg,http://forbesindia.com/celebprofile2014/shikhar-dhawan/37
20,Gautam Gambhir,15.49,40,14,http://forbesindia.com/media/list/013_SM.jpg,http://forbesindia.com/celebprofile2014/gautam-gambhir/39
21,Katrina Kaif,39.55,20,39,http://forbesindia.com/media/list/Katrina_SM.jpg,http://forbesindia.com/celebprofile2014/katrina-kaif/41
22,Kareena Kapoor Khan,49.5,16,65,http://forbesindia.com/media/list/007_SM.jpg,http://forbesindia.com/celebprofile2014/kareena-kapoor-khan/43
23,Karan Johar,21,28,22,http://forbesindia.com/media/list/037_SM.jpg,http://forbesindia.com/celebprofile2014/karan-johar/45
24,Madhuri Dixit,18.63,34,20,http://forbesindia.com/media/list/038_SM.jpg,http://forbesindia.com/celebprofile2014/madhuri-dixit/47
25,Ajay Devgn,44.25,18,56,http://forbesindia.com/media/list/019_SM.jpg,http://forbesindia.com/celebprofile2014/ajay-devgn/49
26,Ravindra Jadeja,12.65,46,19,http://forbesindia.com/media/list/Ravindra_Jadeja_SM.jpg,http://forbesindia.com/celebprofile2014/ravindra-jadeja/51
