source,target,value
0,6,1
0,9,1
0,12,1
0,15,1
0,17,1
0,24,1
0,29,1
0,32,1
1,2,1
1,4,1
1,5,1
1,6,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,17,1
1,20,1
1,21,1
1,23,1
1,24,1
1,26,1
1,27,1
1,28,1
1,29,1
1,30,1
1,31,1
1,32,1
1,33,1
1,34,1
1,39,1
1,40,1
1,42,1
2,4,1
2,6,1
2,8,1
2,9,1
2,12,1
2,14,1
2,15,1
2,17,1
2,29,1
2,34,1
3,12,1
3,29,1
4,6,1
4,9,1
4,10,1
4,11,1
4,12,1
4,15,1
4,17,1
4,24,1
4,29,1
4,32,1
5,6,1
5,9,1
5,30,1
6,7,1
6,8,1
6,9,1
6,11,1
6,12,1
6,13,1
6,14,1
6,15,1
6,16,1
6,17,1
6,18,1
6,19,1
6,20,1
6,21,1
6,23,1
6,24,1
6,25,1
6,26,1
6,27,1
6,28,1
6,29,1
6,30,1
6,31,1
6,32,1
6,34,1
6,35,1
6,38,1
6,39,1
6,40,1
6,41,1
6,42,1
7,17,1
7,18,1
7,37,1
8,9,1
8,12,1
8,15,1
8,17,1
8,29,1
8,34,1
9,10,1
9,12,1
9,13,1
9,14,1
9,15,1
9,16,1
9,17,1
9,20,1
9,21,1
9,22,1
9,23,1
9,24,1
9,25,1
9,26,1
9,27,1
9,28,1
9,29,1
9,30,1
9,31,1
9,32,1
9,33,1
9,34,1
9,36,1
9,38,1
9,39,1
9,40,1
9,41,1
9,42,1
10,12,1
10,14,1
10,15,1
10,17,1
10,23,1
10,24,1
10,29,1
10,31,1
10,32,1
10,37,1
10,40,1
11,9,1
11,12,1
11,17,1
11,26,1
11,29,1
12,13,1
12,14,1
12,15,1
12,16,1
12,17,1
12,18,1
12,19,1
12,20,1
12,21,1
12,22,1
12,23,1
12,24,1
12,25,1
12,26,1
12,27,1
12,28,1
12,29,1
12,30,1
12,31,1
12,32,1
12,33,1
12,34,1
12,35,1
12,36,1
12,37,1
12,38,1
12,39,1
12,40,1
12,41,1
12,42,1
13,3,1
13,18,1
13,29,1
13,40,1
14,17,1
14,19,1
14,20,1
14,23,1
14,24,1
14,26,1
14,27,1
14,29,1
14,35,1
14,39,1
14,40,1
14,41,1
14,42,1
15,17,1
15,20,1
15,24,1
15,29,1
16,19,1
16,29,1
17,13,1
17,18,1
17,20,1
17,21,1
17,23,1
17,24,1
17,25,1
17,26,1
17,27,1
17,28,1
17,29,1
17,30,1
17,31,1
17,32,1
17,33,1
17,34,1
17,36,1
17,37,1
17,39,1
17,40,1
17,41,1
17,42,1
18,15,1
18,21,1
18,29,1
18,40,1
20,23,1
20,24,1
20,29,1
20,32,1
20,36,1
21,24,1
21,26,1
21,29,1
21,32,1
21,34,1
22,40,1
23,24,1
23,26,1
23,29,1
23,31,1
23,32,1
23,36,1
23,41,1
23,42,1
24,2,1
24,25,1
24,27,1
24,29,1
24,30,1
24,31,1
24,32,1
24,34,1
24,36,1
24,39,1
24,40,1
24,41,1
26,15,1
26,29,1
26,34,1
28,23,1
28,24,1
28,29,1
28,30,1
28,32,1
28,35,1
29,19,1
29,25,1
29,27,1
29,30,1
29,31,1
29,33,1
29,34,1
29,35,1
29,36,1
29,37,1
29,38,1
29,39,1
29,40,1
29,41,1
29,42,1
30,16,1
30,32,1
31,27,1
31,42,1
32,15,1
32,37,1
32,42,1
33,6,1
33,10,1
33,37,1
34,3,1
34,40,1
35,30,1
35,36,1
36,1,1
36,25,1
36,26,1
37,1,1
38,16,1
40,11,1
40,15,1
40,22,1
40,35,1
40,37,1
42,28,1
42,30,1
