name,group,url
Agartala (IXA),0,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Agartala (IXA)
Ahmedabad (AMD),1,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Ahmedabad (AMD)
Amritsar (ATQ),2,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Amritsar (ATQ)
Aurangabad (IXU),3,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Aurangabad (IXU)
Bagdogra (IXB),4,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Bagdogra (IXB)
Belgaum (IXG),5,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Belgaum (IXG)
Bengaluru (BLR),5,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Bengaluru (BLR)
Bhopal (BHO),6,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Bhopal (BHO)
Chandigarh (IXC),7,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Chandigarh (IXC)
Chennai (MAA),8,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Chennai (MAA)
Coimbatore (CJB),8,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Coimbatore (CJB)
Dehradun (DED),9,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Dehradun (DED)
Delhi (DEL),10,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Delhi (DEL)
Dharamshala (DHM),11,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Dharamshala (DHM)
Goa (GOI),12,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Goa (GOI)
Guwahati (GAU),13,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Guwahati (GAU)
Hubli (HBX),5,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Hubli (HBX)
Hyderabad (HYD),14,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Hyderabad (HYD)
Indore (IDR),6,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Indore (IDR)
Jabalpur (JLR),6,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Jabalpur (JLR)
Jaipur (JAI),15,https://www.google.co.in/?gfe_rd=ctrl&ei=hNQFU4WcGK7O8gfw7IGQBw&gws_rd=cr#q=Jaipur (JAI)
