,Country,rank,image,overall_life,male,female,url,population
0,Monaco,1, //upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_Monaco.svg/38px-Flag_of_Monaco.svg.png,86.5,83,90,http://en.wikipedia.org/wiki/Monaco,36136
1,Japan,2, //upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/45px-Flag_of_Japan.svg.png,84.6,82,87.2,http://en.wikipedia.org/wiki/Japan,127120000
2,Andorra,3, //upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/43px-Flag_of_Andorra.svg.png,84.2,80.8,87.6,http://en.wikipedia.org/wiki/Andorra,76098
3,Singapore,4, //upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Singapore.svg/45px-Flag_of_Singapore.svg.png,84,82,87,http://en.wikipedia.org/wiki/Singapore,5399200
4,Hong Kong,5, //upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Flag_of_Hong_Kong.svg/45px-Flag_of_Hong_Kong.svg.png,83.8,82,85.6,http://en.wikipedia.org/wiki/Hong_Kong,7184000
5,San Marino,6,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_San_Marino.svg/31px-Flag_of_San_Marino.svg.png,83.5,82,85,http://en.wikipedia.org/wiki/San_Marino,33549
6,Iceland,7, //upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/42px-Flag_of_Iceland.svg.png,83.3,81.4,85.2,http://en.wikipedia.org/wiki/Iceland,325671
7,Italy,8, //upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/45px-Flag_of_Italy.svg.png,82.1,75.4,85.8,http://en.wikipedia.org/wiki/Italy,60021955
8,Australia,9, //upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/46px-Flag_of_Australia.svg.png,83,80.5,85.5,http://en.wikipedia.org/wiki/Australia,23442192
9,Sweden,10, //upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/46px-Flag_of_Sweden.svg.png,83,81.4,84.6,http://en.wikipedia.org/wiki/Sweden,9651531
10,Switzerland,11, //upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Switzerland.svg/32px-Flag_of_Switzerland.svg.png,82.8,80.4,85.4,http://en.wikipedia.org/wiki/Switzerland,8112200
11,Canada,12, //upload.wikimedia.org/wikipedia/en/thumb/c/cf/Flag_of_Canada.svg/46px-Flag_of_Canada.svg.png,82.5,80.4,84.6,http://en.wikipedia.org/wiki/Canada,35344962
12,France,13, //upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/45px-Flag_of_France.svg.png,82.3,79.4,85.2,http://en.wikipedia.org/wiki/France,68545559
13,Israel,14, //upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/41px-Flag_of_Israel.svg.png,82.1,80.2,84,http://en.wikipedia.org/wiki/Israel,8157300
14,Spain,15, //upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/45px-Flag_of_Spain.svg.png,82,79,85,http://en.wikipedia.org/wiki/Spain,46609700
15,Luxembourg,16, //upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/46px-Flag_of_Luxembourg.svg.png,82,79.5,84.5,http://en.wikipedia.org/wiki/Luxembourg,537000
16,Norway,17, //upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/41px-Flag_of_Norway.svg.png,81.9,80.2,83.6,http://en.wikipedia.org/wiki/Norway,5111711
17,New Zealand,18, //upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/46px-Flag_of_New_Zealand.svg.png,81.7,79.4,84,http://en.wikipedia.org/wiki/New_Zealand,4539308
18,Austria,19, //upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/45px-Flag_of_Austria.svg.png,81.5,78.5,84.5,http://en.wikipedia.org/wiki/Austria,8504850
19,Netherlands,20, //upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/45px-Flag_of_the_Netherlands.svg.png,81.5,79.5,83.5,http://en.wikipedia.org/wiki/Netherlands,17157272
20,Ireland,21, //upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/46px-Flag_of_Ireland.svg.png,81.4,79.2,83.6,http://en.wikipedia.org/wiki/Republic_of_Ireland,4593100
21,Cyprus,22, //upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/45px-Flag_of_Cyprus.svg.png,81.2,79.1,84.3,http://en.wikipedia.org/wiki/Cyprus,865878
22,Finland,23, //upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/46px-Flag_of_Finland.svg.png,81,78,84,http://en.wikipedia.org/wiki/Finland,5482286
23,Germany,24, //upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/46px-Flag_of_Germany.svg.png,81,78.5,83.5,http://en.wikipedia.org/wiki/Germany,80716000
24,Greece,25, //upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/45px-Flag_of_Greece.svg.png,81,78,84,http://en.wikipedia.org/wiki/Greece,10815197
25,South Korea,26, //upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/45px-Flag_of_South_Korea.svg.png,81,77.5,84.5,http://en.wikipedia.org/wiki/South_Korea,50219669
26,Malta,27, //upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Malta.svg/45px-Flag_of_Malta.svg.png,81,79.4,82.6,http://en.wikipedia.org/wiki/Malta,416055
27,Belgium,28, //upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/45px-Flag_of_Belgium_%28civil%29.svg.png,81,78.5,83.5,http://en.wikipedia.org/wiki/Belgium,11188935
28,United Kingdom,29, //upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/46px-Flag_of_the_United_Kingdom.svg.png,81,79.5,82.5,http://en.wikipedia.org/wiki/United_Kingdom,64187624
29,Liechtenstein,30, //upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Liechtenstein.svg/46px-Flag_of_Liechtenstein.svg.png,80.7,77.8,83.6,http://en.wikipedia.org/wiki/Liechtenstein,37132
30,Taiwan,31, //upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_the_Republic_of_China.svg/45px-Flag_of_the_Republic_of_China.svg.png,80.6,78,83.2,http://en.wikipedia.org/wiki/Taiwan,23379129
31,Portugal,32, //upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/45px-Flag_of_Portugal.svg.png,80,77,83,http://en.wikipedia.org/wiki/Portugal,10487289
32,Slovenia,33, //upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Slovenia.svg/46px-Flag_of_Slovenia.svg.png,80,77,83,http://en.wikipedia.org/wiki/Slovenia,2062139
33,Costa Rica,34, //upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Costa_Rica.svg/46px-Flag_of_Costa_Rica.svg.png,79.8,78.3,81.3,http://en.wikipedia.org/wiki/Costa_Rica,4667096
34,United States,35, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/46px-Flag_of_the_United_States.svg.png,79.8,77.4,82.2,http://en.wikipedia.org/wiki/United_States,321787251
35,Chile,36, //upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/45px-Flag_of_Chile.svg.png,79.5,76.5,82.5,http://en.wikipedia.org/wiki/Chile,16341929
36,Denmark,37,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/31px-Flag_of_Denmark.svg.png,79.5,77,82,http://en.wikipedia.org/wiki/Denmark,5732026
37,Cuba,38, //upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/46px-Flag_of_Cuba.svg.png,79.4,77.4,81.4,http://en.wikipedia.org/wiki/Cuba,11167325
38,United Arab Emirates,40, //upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_United_Arab_Emirates.svg/46px-Flag_of_the_United_Arab_Emirates.svg.png,79.2,77.2,81.2,http://en.wikipedia.org/wiki/United_Arab_Emirates,8264070
39,Brunei,41, //upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Brunei.svg/46px-Flag_of_Brunei.svg.png,79,77.5,80.5,http://en.wikipedia.org/wiki/Brunei,393162
