rank,image,Country,overall_life,male,female,url
1, //upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_Monaco.svg/38px-Flag_of_Monaco.svg.png,Monaco,86.5,83,90,http://en.wikipedia.org/wiki/Monaco
2, //upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/45px-Flag_of_Japan.svg.png,Japan,84.6,82,87.2,http://en.wikipedia.org/wiki/Japan
3, //upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/43px-Flag_of_Andorra.svg.png,Andorra,84.2,80.8,87.6,http://en.wikipedia.org/wiki/Andorra
4, //upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Singapore.svg/45px-Flag_of_Singapore.svg.png,Singapore,84,82,87,http://en.wikipedia.org/wiki/Singapore
5, //upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Flag_of_Hong_Kong.svg/45px-Flag_of_Hong_Kong.svg.png,Hong Kong,83.8,82,85.6,http://en.wikipedia.org/wiki/Hong_Kong
6,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_San_Marino.svg/31px-Flag_of_San_Marino.svg.png,San Marino,83.5,82,85,http://en.wikipedia.org/wiki/San_Marino
7, //upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/42px-Flag_of_Iceland.svg.png,Iceland,83.3,81.4,85.2,http://en.wikipedia.org/wiki/Iceland
8, //upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/45px-Flag_of_Italy.svg.png,Italy,82.1,75.4,85.8,http://en.wikipedia.org/wiki/Italy
9, //upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/46px-Flag_of_Australia.svg.png,Australia,83,80.5,85.5,http://en.wikipedia.org/wiki/Australia
10, //upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/46px-Flag_of_Sweden.svg.png,Sweden,83,81.4,84.6,http://en.wikipedia.org/wiki/Sweden
11, //upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Switzerland.svg/32px-Flag_of_Switzerland.svg.png,Switzerland,82.8,80.4,85.4,http://en.wikipedia.org/wiki/Switzerland
12, //upload.wikimedia.org/wikipedia/en/thumb/c/cf/Flag_of_Canada.svg/46px-Flag_of_Canada.svg.png,Canada,82.5,80.4,84.6,http://en.wikipedia.org/wiki/Canada
13, //upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/45px-Flag_of_France.svg.png,France,82.3,79.4,85.2,http://en.wikipedia.org/wiki/France
14, //upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/41px-Flag_of_Israel.svg.png,Israel,82.1,80.2,84,http://en.wikipedia.org/wiki/Israel
15, //upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/45px-Flag_of_Spain.svg.png,Spain,82,79,85,http://en.wikipedia.org/wiki/Spain
