Country,Population
World,7153700000
China,1371467900
India,1242280000
United States,321787251
Indonesia,249866000
Brazil,201032714
Pakistan,186060000
Nigeria,173615000
Bangladesh,152518015
Russia,143700000
Japan,127120000
Mexico,119713203
Philippines,99353500
Vietnam,89708900
Ethiopia,86613986
Egypt,86216600
Germany,80716000
Iran,77327000
Turkey,76667864
Democratic Republic of the Congo,67514000
Thailand,65926261
France,68545559
United Kingdom,64187624
Italy,60021955
Burma,53259000
South Africa,52981991
South Korea,50219669
Colombia,47529000
Spain,46609700
Ukraine,45410071
Tanzania,44928923
Kenya,44354000
Argentina,40117096
Algeria,38700000
Poland,38502396
Sudan,37964000
Uganda,35357000
Canada,35344962
Iraq,34035000
Morocco,33217900
Peru,30475144
Uzbekistan,30183400
Malaysia,30061000
Saudi Arabia,29994272
Venezuela,28946101
Nepal,26494504
Afghanistan,25500100
Yemen,25235000
North Korea,24895000
Ghana,24658823
Mozambique,23700715
Australia,23442192
Taiwan,23379129
Ivory Coast,23202000
Syria,21898000
Madagascar,21263403
Angola,20609294
Cameroon,20386799
Sri Lanka,20277597
Romania,20121641
Burkina Faso,17322796
Kazakhstan,17186000
Niger,17129076
Netherlands,17157272
Malawi,16363000
Chile,16341929
Guatemala,15806675
Ecuador,15710300
Mali,15302000
Cambodia,15135000
Zambia,14580290
Zimbabwe,12973808
Senegal,12873601
Chad,12825000
South Sudan,11296000
Belgium,11188935
Cuba,11167325
Tunisia,10886500
Guinea,10824200
Greece,10815197
Rwanda,10537222
Czech Republic,10512400
Somalia,10496000
Portugal,10487289
Haiti,10413211
Benin,10323000
Bolivia,10027254
Hungary,9879000
Sweden,9651531
Azerbaijan,9477100
Belarus,9468100
Dominican Republic,9445281
Burundi,9420248
Honduras,8555072
Austria,8504850
United Arab Emirates,8264070
Tajikistan,8160000
Israel,8157300
Switzerland,8112200
Papua New Guinea,7398500
Bulgaria,7282041
Serbia,7181505
Paraguay,6783374
Laos,6580800
Jordan,6565000
El Salvador,6340000
Eritrea,6333000
Libya,6202000
Togo,6191155
Sierra Leone,6190280
Nicaragua,6071045
Kyrgyzstan,5663133
Denmark,5732026
Finland,5482286
Slovakia,5415949
Singapore,5399200
Turkmenistan,5240000
Norway,5111711
Lebanon,4822000
Costa Rica,4667096
Central African Republic,4616000
Ireland,4593100
New Zealand,4539308
Georgia,4483800
Republic of the Congo,4448000
Palestine,4420549
Liberia,4294000
Croatia,4290612
Oman,3992000
Bosnia and Herzegovina,3791622
Moldova,3559500
Mauritania,3461041
Panama,3405813
Uruguay,3286314
Kuwait,3065850
Armenia,3017400
Lithuania,2941953
Mongolia,2931300
Albania,2821977
Jamaica,2711476
Qatar,2116400
Namibia,2113077
Lesotho,2074000
Macedonia,2062294
Slovenia,2062139
Botswana,2024904
Latvia,2003900
Gambia,1849000
Kosovo,1815606
Guinea-Bissau,1704000
Gabon,1672000
Equatorial Guinea,1622000
Trinidad and Tobago,1328019
Estonia,1311870
Mauritius,1257900
Swaziland,1250000
Bahrain,1234571
Timor-Leste,1066409
Djibouti,873000
Cyprus,865878
Fiji,858038
Guyana,784894
Bhutan,745780
Comoros,743798
Montenegro,620029
Solomon Islands,581344
Western Sahara,567000
Luxembourg,537000
Suriname,534189
Cape Verde,491875
Malta,416055
Brunei,393162
Bahamas,351461
Belize,349728
Iceland,325671
Maldives,317280
Barbados,285000
Vanuatu,264652
Samoa,187820
São Tomé and Príncipe,187356
Saint Lucia,180000
Saint Vincent and the Grenadines,109000
Kiribati,106461
Grenada,103328
Tonga,103036
Federated States of Micronesia,101351
Seychelles,90945
Antigua and Barbuda,86295
Andorra,76098
Dominica,71293
Marshall Islands,56086
Saint Kitts and Nevis,54000
Liechtenstein,37132
Monaco,36136
San Marino,33549
Tuvalu,11323
Nauru,9945
Vatican City,839
