state_code,district_code,area_name,region_type,age_group,total_persons,total_males,total_females,never_married_persons,never_married_males,never_married_females,currently_married_persons,currently_married_males,currently_married_females,widowed_persons,widowed_males,widowed_females,separated_persons,separated_males,separated_females,divorced_persons,divorced_males,divorced_females,unspecified_persons,unspecified_males,unspecified_females
05,000,State - UTTARAKHAND (05),Total,0-9,1983665,1049167,934498,1983665,1049167,934498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,000,State - UTTARAKHAND (05),Total,10-14,1145343,603274,542069,1131477,598373,533104,12632,4406,8226,580,175,405,593,296,297,61,24,37,0,0,0
05,000,State - UTTARAKHAND (05),Total,15-19,1124110,588483,535627,1054801,575072,479729,67442,12767,54675,1073,300,773,665,293,372,129,51,78,0,0,0
05,000,State - UTTARAKHAND (05),Total,20-24,970068,484614,485454,571077,377441,193636,394763,106006,288757,2397,596,1801,1336,419,917,495,152,343,0,0,0
05,000,State - UTTARAKHAND (05),Total,25-29,810184,397363,412821,184302,143116,41186,617677,251996,365681,5460,1313,4147,1892,647,1245,853,291,562,0,0,0
05,000,State - UTTARAKHAND (05),Total,30-34,698300,345427,352873,49444,38894,10550,635722,303352,332370,9902,2019,7883,2247,823,1424,985,339,646,0,0,0
05,000,State - UTTARAKHAND (05),Total,35-39,665500,330834,334666,18539,14095,4444,626130,312262,313868,17337,3126,14211,2444,934,1510,1050,417,633,0,0,0
05,000,State - UTTARAKHAND (05),Total,40-44,566709,285531,281178,10890,8269,2621,527189,271633,255556,25697,4457,21240,2150,866,1284,783,306,477,0,0,0
05,000,State - UTTARAKHAND (05),Total,45-49,489377,247982,241395,7530,5749,1781,445236,235403,209833,34229,5875,28354,1796,714,1082,586,241,345,0,0,0
05,000,State - UTTARAKHAND (05),Total,50-54,397158,202024,195134,5674,4285,1389,346538,189708,156830,43093,7356,35737,1426,499,927,427,176,251,0,0,0
05,000,State - UTTARAKHAND (05),Total,55-59,318461,151865,166596,4015,2987,1028,268662,140130,128532,44612,8280,36332,894,358,536,278,110,168,0,0,0
05,000,State - UTTARAKHAND (05),Total,60-64,329056,163220,165836,7696,5160,2536,243764,143200,100564,76286,14359,61927,1053,395,658,257,106,151,0,0,0
05,000,State - UTTARAKHAND (05),Total,65-69,218759,108412,110347,8282,5217,3065,146152,89511,56641,63666,13412,50254,534,216,318,125,56,69,0,0,0
05,000,State - UTTARAKHAND (05),Total,70-74,163443,80970,82473,3907,2696,1211,92530,63399,29131,66519,14682,51837,373,145,228,114,48,66,0,0,0
05,000,State - UTTARAKHAND (05),Total,75-79,84646,40837,43809,1381,994,387,43529,29760,13769,39509,9989,29520,176,78,98,51,16,35,0,0,0
05,000,State - UTTARAKHAND (05),Total,80+,104905,48458,56447,5744,3646,2098,40458,28534,11924,58433,16179,42254,191,74,117,79,25,54,0,0,0
24,000,State - GUJARAT (24),Total,0-9,11296168,5998291,5297877,11296168,5998291,5297877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,000,State - GUJARAT (24),Total,10-14,6149445,3283834,2865611,5972400,3213522,2758878,165756,65613,100143,6329,2146,4183,3322,1726,1596,1638,827,811,0,0,0
24,000,State - GUJARAT (24),Total,15-19,5865760,3146110,2719650,5083756,2915619,2168137,760489,222357,538132,10903,3515,7388,6257,2797,3460,4355,1822,2533,0,0,0
