pc,year,state,party,name,sex,age,category,votes,electors,rank,color,polled_votes
Adilabad,2014,Andhra Pradesh,Telangana Rashtra Samithi,GODAM NAGESH,,,,430847,,,,1045839
Adilabad,2014,Andhra Pradesh,Indian National Congress,NARESH,,,,259557,,,,1045839
Adilabad,2014,Andhra Pradesh,Telugu Desam,RAMESH RATHOD,,,,184198,,,,1045839
Adilabad,2014,Andhra Pradesh,Bahujan Samaj Party,RATHOD SADASHIV,,,,94420,,,,1045839
Adilabad,2014,Andhra Pradesh,Independent,NETHAWATH RAMDAS,,,,41032,,,,1045839
Adilabad,2014,Andhra Pradesh,Independent,MOSALI CHINNAIAH,,,,8859,,,,1045839
Adilabad,2014,Andhra Pradesh,Independent,PAWAR KRISHNA,,,,5055,,,,1045839
Adilabad,2014,Andhra Pradesh,Independent,BANKA SAHADEV,,,,4787,,,,1045839
Adilabad,2014,Andhra Pradesh,None of the Above,None of the Above,,,,17084,,,,1045839
Peddapalle,2014,Andhra Pradesh,Telangana Rashtra Samithi,BALKA SUMAN,,,,565496,,,,1022184
Peddapalle,2014,Andhra Pradesh,Indian National Congress,G. VIVEKANAND,,,,274338,,,,1022184
Peddapalle,2014,Andhra Pradesh,Telugu Desam,DR.JANAPATI SARAT BABU,,,,63334,,,,1022184
Peddapalle,2014,Andhra Pradesh,Republican Paksha (Khoripa),VELTHURU MALLAIAH,,,,45977,,,,1022184
Peddapalle,2014,Andhra Pradesh,Bahujan Samaj Party,TAGARAM SHANKAR LAL,,,,9449,,,,1022184
Peddapalle,2014,Andhra Pradesh,Pyramid Party of India,KALVALA SHANKAR,,,,9290,,,,1022184
Peddapalle,2014,Andhra Pradesh,Independent,JINNA RAMADEVI,,,,9199,,,,1022184
Peddapalle,2014,Andhra Pradesh,Republican Party of India,KALVALA SANJEEV,,,,8609,,,,1022184
Peddapalle,2014,Andhra Pradesh,Independent,BUPELLI NARAYANA,,,,7258,,,,1022184
Peddapalle,2014,Andhra Pradesh,Mahajana Socialist Party,VENKATA SWAMY INJAM,,,,3866,,,,1022184
Peddapalle,2014,Andhra Pradesh,Independent,THALLAPALLI SRINIVAS,,,,3699,,,,1022184
Peddapalle,2014,Andhra Pradesh,Independent,GADDALA VINAY KUMAR,,,,3266,,,,1022184
Peddapalle,2014,Andhra Pradesh,New India Party,J.V. RAJU,,,,3020,,,,1022184
Peddapalle,2014,Andhra Pradesh,Independent,KAMILLA JAYA RAO,,,,2742,,,,1022184
Peddapalle,2014,Andhra Pradesh,Independent,MOUTAM RAVINDER,,,,2674,,,,1022184
Peddapalle,2014,Andhra Pradesh,Independent,GORRE RAMESH,,,,2361,,,,1022184
Peddapalle,2014,Andhra Pradesh,B. C. United Front,BOTHA VENKATA MALLAIAH,,,,2245,,,,1022184
Peddapalle,2014,Andhra Pradesh,None of the Above,None of the Above,,,,5361,,,,1022184
Karimnagar,2014,Andhra Pradesh,Telangana Rashtra Samithi,VINOD KUMAR BOINAPALLY,,,,505783,,,,1125691
Karimnagar,2014,Andhra Pradesh,Indian National Congress,PONNAM PRABHAKAR,,,,300706,,,,1125691
Karimnagar,2014,Andhra Pradesh,Bharatiya Janata Party,CHENNAMANENI VIDYA SAGAR RAO,,,,214828,,,,1125691
Karimnagar,2014,Andhra Pradesh,Welfare Party Of India,SHAIK MAHMOOD,,,,39325,,,,1125691
Karimnagar,2014,Andhra Pradesh,Bahujan Samaj Party,B. LAXMAN,,,,11333,,,,1125691
