party,year,votes
AARAKSHAN VIRODHI PARTY,2014,5861
AB,2004,138
ABAS,1998,2392
ABAS,2009,13828
ABBNS,1996,30970
ABBNS,1998,5718
ABBP,1996,9813
ABBP,1998,1609
ABBP,1999,7134
ABCD(A),2004,19548
ABCD(A),2009,22861
ABDBM,1996,2295
ABDBM,2004,7696
ABDBM,2009,6220
ABDD,1996,894
ABDUP,1996,2654
ABGLP,1998,412
ABGMKP,1998,1199
ABGP,1991,314
ABHKP,2009,2633
ABHM,1996,4720
ABHM,1998,14160
ABHM,1999,14157
ABHM,2004,88214
ABHM,2009,47456
ABHS,1998,90035
ABHS,1999,56249
ABHS,2004,92210
ABJC,1998,751
ABJND,1996,176
ABJP,2009,1085
ABJS,1996,49978
ABJS,1998,14284
ABJS,1999,19596
ABJS,2004,9707
ABJS,2009,20599
ABJVP,1996,7726
ABJVP,1999,1981
ABKMM,1996,345
ABKMM,2009,305
ABLTASJM,1996,1111
ABLTASJM,2004,6003
ABLTC,1999,818713
ABLTP,1996,25131
ABLTP,1998,609
ABLTP,1999,1265
ABLTP,2004,754
ABLTP,2009,578
ABMAD,1999,1333
ABMP,2009,1619
ABMSD,1996,5673
ABMSD,1998,26027
ABMSD,1999,6761
ABMSD,2009,26268
ABMSKP,1996,3552
ABMSKP,2009,1197
ABP,1998,736
ABP,1999,543
ABP,2009,2664
ABRAHP,1996,3152
ABRAHP,1998,306
ABRAHP,2004,2801
ABRC(D),1998,6455
ABRRP,1996,724
ABRRP(P),1996,428
ABRRP(P),1998,150
ABRS,1996,787
ABRS,2004,2080
ABRS,2009,8065
ABRSSD,1998,1277
ABSP,1991,166
ABSR,1996,1477
ABSR,1998,703
ABSR,1999,244
ABSR,2009,1108
ABSSP,2009,786
AC,1998,172496
AC,1999,70760
AC,2004,76527
AC,2009,46539
ACNC,2009,40204
AD,1962,829129
AD,1996,222669
AD,1998,562946
AD,1999,848662
AD,2004,844053
AD,2009,495032
ADC,1991,139785
ADK,1977,5480378
ADK,1980,4674064
ADK,1984,3968967
ADK,1989,4518649
ADK,1991,4470542
ADM,1967,189290
ADMK,1996,2130286
ADMK,1998,6731550
ADMK,1999,7046953
ADMK,2004,8547014
ADMK,2009,6953591
ADS,1967,968712
ADSMK,2009,1189
ADSP,2009,9936
AGP,1991,1489898
AGP,1996,2560506
AGP,1998,1064977
AGP,1999,1182061
AGP,2004,2069600
AGP,2009,1773103
AGRJP,1998,1269
AHF,1991,3543
AHL,1967,112492
AHL,1971,90772
AHL,1980,13058
AIAHMJKP,1996,883
AIBS,2009,1217
AIC,2009,1718
AIDPF,1996,195
AIDWC,2009,8961
AIFB,2004,1365055
AIFB,2009,1345803
AIFB(S),2009,2758
AIGC,1998,1222
AIGC,1999,4861
AIIC(S),1998,457510
AIIC(T),1996,4903070
AIJMK,2009,21609
AIMF,1998,2480
AIMF,1999,805
AIMF,2004,4874
AIMF,2009,10211
AIMIM,1996,340070
AIMIM,1998,485785
AIMIM,1999,448165
AIMIM,2004,417248
AIMIM,2009,308061
AIMLF,1998,1866
AIMLF,1999,10010
AIRJP,1998,2071643
AIRKC,1998,5588
AIRKC,1999,2993
AIRP,2009,678
AITC,1999,9363785
AITC,2004,8071867
AITC,2009,13356510
AIVP,2009,20982
AJBP,1998,157854
AJBP,1999,430275
AJBP,2009,7567
AJD,1991,8519
AJKPPF,1999,1500
AJP,1991,8047
AJSP,2009,2678
AJSU,2004,157930
AJSU Party,2014,488719
AJSUP,2009,200523
AKD,1996,667
AKMDMP,2004,2158
ALD,1991,1544
ALD,1996,1037
ALD,1998,2909
AMB,1989,80834
AMB,1991,35186
AMB,1996,65595
AMB,1998,20372
AMB,1999,25408
AMB,2004,38107
AMB,2009,45102
AMI,1991,8252
AMN,1951,22083
ANC,2004,825
ANC,2009,60896
ANP,1998,1915
AP,1999,5050
AP,2004,327
AP,2009,4386
APP,1951,36851
APRD,2009,7482
ARP,2004,31467
ARP,2009,6672
ARS,1996,7563
ARWP,2009,969
ASDC,1996,180112
ASDC,1998,184241
ASDC,2004,101808
ASDC,2009,123287
ASP,1999,7260
ASP,2004,20767
ASP,2009,42586
ATDP,1999,244045
ATMK,1996,19394
AUDF,2009,2184553
AUM,1991,2655
AWD,2009,614
AZP,1991,372
Aadijan Mukti Sena,2014,8544
Aadivasi Sena Party,2014,11362
Aam Aadmi Party,2014,11325635
Aam Janata Party,2014,9372
Aama Odisha Party,2014,155900
Aazadi Ka Antim Aandolan Dal,2014,937
Adarsh Manavtawadi Party,2014,1919
Adarsh Rashtriya Vikas Party,2014,12037
Adarsh Samaj Party,2014,557
Agar Jan Party,2014,5228
Akhand Bharat Samaj Party,2014,651
Akhil Bharat Hindu Mahasabha,2014,29483
Akhil Bharatiya Ashok Sena,2014,296
Akhil Bharatiya Congress Dal (Ambedkar),2014,1461
Akhil Bharatiya Hind Kranti Party,2014,685
Akhil Bharatiya Jan Sangh,2014,20902
Akhil Bharatiya Manavata Paksha,2014,1077
Akhil Bharatiya Muslim League (Secular),2014,59735
Akhil Bharatiya Rajarya Sabha,2014,683
Akhil Bharatiya Samajwadi Congress,2014,2530
Akhil Bharatiya Shivsena Rashtrawadi,2014,4380
Akhil Bhartiya Aamjan Party,2014,1040
Akhil Bhartiya Jharkhand Party,2014,16616
Akhil Bhartiya Mithila Party,2014,11221
Akhil Bhartiya Vikas Congress Party,2014,2255
Akhil Rashtrawadi Party,2014,2029
Al-Hind Party,2014,5977
All India Anna Dravida Munnetra Kazhagam,2014,18115825
All India Azaad Congress Party,2014,1593
All India Forward Bloc,2014,1211418
All India Majlis-E-Ittehadul Muslimeen,2014,685729
All India Mazdoor Party (Rangreta),2014,1182
All India Minorities Front,2014,9938
All India N.R. Congress,2014,255826
All India Peoples' Front (Radical),2014,7630
All India Ravidas Samata Party,2014,543
All India Trinamool Congress,2014,21259681
All India United Democratic Front,2014,2333040
All J & K Kisan Majdoor Party,2014,4392
All Jammu and Kashmir Republican Party,2014,1568
Ambedkar National Congress,2014,19863
Ambedkar People's Movement,2014,374
Ambedkar Samaj Party,2014,27589
Ambedkarist Republican Party,2014,16461
Ambedkarite Party of India,2014,185095
Amra Bangalee,2014,74628
Anaithindia Dravidar Samudaya Munnetra Kazhagam,2014,2372
Andhra Pradesh Rashtra Samaikya Samithi Party,2014,2752
Andhra Rastra Praja Samithi,2014,12043
Apna Dal,2014,821820
Apna Dal United Party,2014,9265
Apna Desh Party,2014,5579
Asankhya Samaj Party,2014,3482
Asom Gana Parishad,2014,577730
Ati Picchara party,2014,15370
Atulya Bharat Party,2014,2135
Awami Samta Party,2014,1617
Awami Vikas Party,2014,3750
B. C. United Front,2014,7036
B.C.Bharata Desam Party,2014,597
BAC,1967,1204356
BAC,1971,518781
BAJP,1998,363
BAP,2009,7593
BAZP,1996,457
BBM,1996,329695
BBM,1999,692559
BBM,2004,428566
BBM,2009,492470
BBMKD,1999,2706
BBP,1991,329
BBP,2004,2162
BBP,2009,1552
BCDP,2009,8129
BCM,1971,6929
BCP,2009,1246
BCUF,2009,6910
BCVD,1996,434
BCVD,1998,754
BD,1999,1832
BD,2009,700
BDBP,2009,2217
BDLP,1991,142
BDP,1991,1466
BED,2004,4312
BEP,1996,1801
BEP,2004,12197
BEP,2009,8105
BEP(R),1999,783
BGD,2009,346
BGTD,2004,19909
BGTD,2009,7764
BHBP,2009,39797
BHC,2009,1069
BHJAP,2009,13506
BHJC,1999,34552
BHJP,1996,505
BHJS,1996,29874
BHJVP,1999,571
BHPD,2009,3292
BHPP,2009,5226
BHSASP,2009,15718
BJBCD,2009,4307
BJBP,2009,1253
BJC,1998,222371
BJC(R),1999,32871
BJD,1998,3669825
BJD,1999,4378536
BJD,2004,5082849
BJD,2009,6612552
BJJD,2009,34528
BJJP,1998,494
BJKD,2009,1245
BJKP,1996,633
BJKVP,2009,11097
