party,constituency,year,age,category,color,electors,name,polled_votes,rank,sex,state,votes
INC,Ajmer North,1951,,,#019733,162327,Jawala Prashad,97165,1,,Ajmer,46679
INC,Ajmer South,1951,,,#019733,167157,Mukat Behari Lal,81834,1,,Ajmer,43082
INC,Autonomous Dists,1951,,,#019733,360630,Bonily Khongmen,109663,1,,Assam,59326
INC,Barpeta,1951,,,#019733,332791,Beliram Das,176868,1,,Assam,76293
INC,Cachar Lushal Hills,1951,,,#019733,658171,"Laskar, Nibaran Chandra",627706,1,,Assam,192847
INC,Darrang,1951,,,#019733,310934,Kamakhya Prasad Tripathi,162120,1,,Assam,81775
INC,Dibrugarh,1951,,,#019733,347258,"Hazarika, Jogendra Nath",148712,1,,Assam,93554
INC,Gauhati,1951,,,#019733,360331,Rohini Kumar Chaudhury,202596,1,,Assam,96122
SP,Goalpara Garo Hills,1951,,,#B15928,719456,Jonab Amjad Ali,704435,1,,Assam,182093
INC,Golaghat Jorhat,1951,,,#019733,363384,Debeswar Sarma,172180,1,,Assam,93002
INC,Nowgong,1951,,,#019733,342855,"Barooah, Dev Kanta",173832,1,,Assam,79673
INC,Sibsagar North Lakhimpur,1951,,,#019733,345910,"Buragohain, Surendranath",169015,1,,Assam,90279
INC,Raisen,1951,,,#019733,188498,Chatrunarain Malvia,74501,1,,Bhopal,49185
INC,Sehore,1951,,,#019733,231472,Saeed Ullah Razmi,94956,1,,Bhopal,48107
INC,Bhagalpur Central,1951,,,#019733,306142,Banarshi Pd. Jhunjhunwala,145939,1,,Bihar,67332
INC,Bhagalpur Cum Purnea,1951,,,#019733,640994,Anup Lal Mehata,512765,1,,Bihar,159358
INC,Bhagalpur South,1951,,,#019733,301167,Susama Sen,144686,1,,Bihar,71979
JHP,Chailbassa,1951,,,#999,376306,Kanu Ram Deogam,178206,1,,Bihar,136609
INC,Champaran East,1951,,,#019733,327728,Syed Mahmood,138767,1,,Bihar,69144
INC,Champaran North,1951,,,#019733,341318,Bipin Bihari Verma,104179,1,,Bihar,52424
INC,Darbhanga Central,1951,,,#019733,394744,Shri Narayan Das,136243,1,,Bihar,79435
INC,Darbhanga Cum Bhagalpur,1951,,,#019733,331476,Lalit Narayan Misra,146291,1,,Bihar,94414
INC,Darbhanga East,1951,,,#019733,372053,Aniruydh Sinha,132722,1,,Bihar,69944
INC,Darbhanga North,1951,,,#019733,376316,Shyam Nandan Prasad,167758,1,,Bihar,64314
INC,Gaya East,1951,,,#019733,572471,Brajeshwar Prasad,415816,1,,Bihar,124524
SP,Gaya North,1951,,,#B15928,288509,Bigeshwar Missir,127767,1,,Bihar,55817
INC,Gaya West,1951,,,#019733,336977,Satyandra Narain Singh,141212,1,,Bihar,54758
CNSPJP,Hazaribagh West,1951,,,#999,332278,Ram Narayan Singh,118881,1,,Bihar,67824
INC,Hazaribhag East,1951,,,#019733,335212,Nageshwar Pd. Sinha,129617,1,,Bihar,65251
INC,Manbhum North,1951,,,#019733,688360,Mohan Hari,435123,1,,Bihar,97279
LSS,Manbhum South Cum Dhalbhum,1951,,,#999,730957,Bhajahari Mahaton,481518,1,,Bihar,85957
SP,Monghyr North East,1951,,,#B15928,271581,Suresh Chandra Mishra,146688,1,,Bihar,73967
INC,Monghyr North West,1951,,,#019733,216737,Mathura Prasad Misra,115332,1,,Bihar,53473
INC,Monghyr Sadar Cum Jamui,1951,,,#019733,534168,Banarsi Pd. Sinha,518714,1,,Bihar,131586
INC,Muzafarpur East,1951,,,#019733,298268,Awadeshwar Pd. Sinha,139632,1,,Bihar,67220
INC,Muzaffarpur Central,1951,,,#019733,332006,Shyam Nandan Sahay,141330,1,,Bihar,82652
INC,Muzaffarpur Cum Darbhanga,1951,,,#019733,716634,Rajeshwar Patel,318538,1,,Bihar,152490
INC,Muzaffarpur North East,1951,,,#019733,329849,Dig Vijoy Narayan Singh,154884,1,,Bihar,70603
INC,Muzaffarpur North West,1951,,,#019733,293890,Chandeswar Narain Prasad Sinha,134435,1,,Bihar,51720
