age,category,color,electors,name,party,pc,polled_votes,rank,sex,state,votes,year
,,#019733,162327,JAWALA PRASHAD,INC,AJMER NORTH,97165,1,,AJMER,46679,1951
,,#019733,167157,MUKAT BEHARI LAL,INC,AJMER SOUTH,81834,1,,AJMER,43082,1951
,,#019733,360630,BONILY KHONGMEN,INC,AUTONOMOUS DISTS,109663,1,,ASSAM,59326,1951
,,#019733,332791,BELIRAM DAS,INC,BARPETA,176868,1,,ASSAM,76293,1951
,,#019733,658171,"LASKAR, NIBARAN CHANDRA",INC,CACHAR LUSHAL HILLS,627706,1,,ASSAM,192847,1951
,,#019733,310934,KAMAKHYA PRASAD TRIPATHI,INC,DARRANG,162120,1,,ASSAM,81775,1951
,,#019733,347258,"HAZARIKA, JOGENDRA NATH",INC,DIBRUGARH,148712,1,,ASSAM,93554,1951
,,#019733,360331,ROHINI KUMAR CHAUDHURY,INC,GAUHATI,202596,1,,ASSAM,96122,1951
,,#B15928,719456,JONAB AMJAD ALI,SP,GOALPARA GARO HILLS,704435,1,,ASSAM,182093,1951
,,#019733,363384,DEBESWAR SARMA,INC,GOLAGHAT JORHAT,172180,1,,ASSAM,93002,1951
,,#019733,342855,"BAROOAH, DEV KANTA",INC,NOWGONG,173832,1,,ASSAM,79673,1951
,,#019733,345910,"BURAGOHAIN, SURENDRANATH",INC,SIBSAGAR NORTH LAKHIMPUR,169015,1,,ASSAM,90279,1951
,,#019733,188498,CHATRUNARAIN MALVIA,INC,RAISEN,74501,1,,BHOPAL,49185,1951
,,#019733,231472,SAEED ULLAH RAZMI,INC,SEHORE,94956,1,,BHOPAL,48107,1951
,,#019733,306142,BANARSHI PD. JHUNJHUNWALA,INC,BHAGALPUR CENTRAL,145939,1,,BIHAR,67332,1951
,,#019733,640994,ANUP LAL MEHATA,INC,BHAGALPUR CUM PURNEA,512765,1,,BIHAR,159358,1951
,,#019733,301167,SUSAMA SEN,INC,BHAGALPUR SOUTH,144686,1,,BIHAR,71979,1951
,,#999,376306,KANU RAM DEOGAM,JHP,CHAILBASSA,178206,1,,BIHAR,136609,1951
,,#019733,327728,SYED MAHMOOD,INC,CHAMPARAN EAST,138767,1,,BIHAR,69144,1951
,,#019733,341318,BIPIN BIHARI VERMA,INC,CHAMPARAN NORTH,104179,1,,BIHAR,52424,1951
,,#019733,394744,SHRI NARAYAN DAS,INC,DARBHANGA CENTRAL,136243,1,,BIHAR,79435,1951
,,#019733,331476,LALIT NARAYAN MISRA,INC,DARBHANGA CUM BHAGALPUR,146291,1,,BIHAR,94414,1951
,,#019733,372053,ANIRUYDH SINHA,INC,DARBHANGA EAST,132722,1,,BIHAR,69944,1951
,,#019733,376316,SHYAM NANDAN PRASAD,INC,DARBHANGA NORTH,167758,1,,BIHAR,64314,1951
,,#019733,572471,BRAJESHWAR PRASAD,INC,GAYA EAST,415816,1,,BIHAR,124524,1951
,,#B15928,288509,BIGESHWAR MISSIR,SP,GAYA NORTH,127767,1,,BIHAR,55817,1951
,,#019733,336977,SATYANDRA NARAIN SINGH,INC,GAYA WEST,141212,1,,BIHAR,54758,1951
,,#999,332278,RAM NARAYAN SINGH,CNSPJP,HAZARIBAGH WEST,118881,1,,BIHAR,67824,1951
,,#019733,335212,NAGESHWAR PD. SINHA,INC,HAZARIBHAG EAST,129617,1,,BIHAR,65251,1951
,,#019733,688360,MOHAN HARI,INC,MANBHUM NORTH,435123,1,,BIHAR,97279,1951
,,#999,730957,BHAJAHARI MAHATON,LSS,MANBHUM SOUTH CUM DHALBHUM,481518,1,,BIHAR,85957,1951
,,#B15928,271581,SURESH CHANDRA MISHRA,SP,MONGHYR NORTH EAST,146688,1,,BIHAR,73967,1951
,,#019733,216737,MATHURA PRASAD MISRA,INC,MONGHYR NORTH WEST,115332,1,,BIHAR,53473,1951
,,#019733,534168,BANARSI PD. SINHA,INC,MONGHYR SADAR CUM JAMUI,518714,1,,BIHAR,131586,1951
,,#019733,298268,AWADESHWAR PD. SINHA,INC,MUZAFARPUR EAST,139632,1,,BIHAR,67220,1951
,,#019733,332006,SHYAM NANDAN SAHAY,INC,MUZAFFARPUR CENTRAL,141330,1,,BIHAR,82652,1951
,,#019733,716634,RAJESHWAR PATEL,INC,MUZAFFARPUR CUM DARBHANGA,318538,1,,BIHAR,152490,1951
,,#019733,329849,DIG VIJOY NARAYAN SINGH,INC,MUZAFFARPUR NORTH EAST,154884,1,,BIHAR,70603,1951
,,#019733,293890,CHANDESWAR NARAIN PRASAD SINHA,INC,MUZAFFARPUR NORTH WEST,134435,1,,BIHAR,51720,1951
,,#019733,649178,JITHAN KHERWAR,INC,PALAMAU CUM HAZARIBAGH CUM RANCHI,463405,1,,BIHAR,96034,1951
,,#019733,288982,SARANGDHAR SINGH,INC,PATALIPUTRA,133645,1,,BIHAR,64992,1951
,,#019733,236799,KAILASH PATI SINHA,INC,PATNA CENTRAL,131506,1,,BIHAR,66982,1951
,,#019733,287272,BALRAM BHAGAT,INC,PATNA CUM SHAHABAD,136851,1,,BIHAR,69428,1951
,,#019733,250896,TARKESHWARI DEVI,INC,PATNA EAST,132716,1,,BIHAR,62238,1951
,,#019733,357038,PHANI GOPAL SEN GUPTA,INC,PURNEA CENTRAL,138412,1,,BIHAR,78720,1951
,,#019733,752822,BHAGAT JHA (AZAD),INC,PURNEA CUM SANTAL PARGANAS,659217,1,,BIHAR,166049,1951
,,#019733,369596,MOHAMMAD ISLAMUDDIN,INC,PURNEA NORTH EAST,120467,1,,BIHAR,89754,1951
,,#019733,344542,ABDUL IBRAHIM,INC,RANCHI NORTH EAST,133505,1,,BIHAR,43576,1951
,,#999,367835,JAIPAL SINGH,JHP,RANCHI WEST,228856,1,,BIHAR,139275,1951
,,#019733,339720,SATYA NARAIN SINHA,INC,SAMASTIPUR EAST,122946,1,,BIHAR,63019,1951
,,#019733,720478,RAM RAJ JAJWARE,INC,SANTAL PARGANAS CUM HAZARIBAGH,634118,1,,BIHAR,158325,1951
,,#019733,358504,MAHENDRA NATH SINGH,INC,SARAN CENTRAL,121823,1,,BIHAR,67011,1951
,,#019733,694144,BIBHUTI MISSIR,INC,SARAN CUM CHAMPARAN,438883,1,,BIHAR,131531,1951
,,#019733,307256,SATYA NARAIN SINGH,INC,SARAN EAST,104790,1,,BIHAR,69468,1951
,,#019733,370681,JHULAN SINHA,INC,SARAN NORTH,111627,1,,BIHAR,68062,1951
,,#019733,276217,DWARKA NATH TIWARI,INC,SARAN SOUTH,117340,1,,BIHAR,50277,1951
,,#95b3d7,364184,KAMAL SINGH,IND,SHAHABAD NORTH WEST,150612,1,,BIHAR,43165,1951
,,#019733,697896,RAM SUBHAG SINGH,INC,SHAHABAD SOUTH,584689,1,,BIHAR,114988,1951
,,#95b3d7,68130,ANAND CHAND,IND,BILASPUR,0,1,,BILASPUR,0,1951
,,#019733,727815,MAVLANKAR GANESH VASUDEO,INC,AHMEDABAD,726462,1,,BOMBAY,230778,1951
,,#019733,394577,KANAVADE PANDHARINATH RAMCHANDRA,INC,AHMEDNAGAR NORTH,184024,1,,BOMBAY,102300,1951
,,#019733,386878,BOGAVAT UTTAMCHAND RAMCHAND,INC,AHMEDNAGAR SOUTH,156054,1,,BOMBAY,88815,1951
,,#019733,372878,CHAVDA AKBAR DALUMIYAN,INC,BANASKANTHA,140636,1,,BOMBAY,91753,1951
,,#95b3d7,380593,AMIN INDHUBHAI BHAILALBHAI,IND,BARODA WEST,201509,1,,BOMBAY,91419,1951
,,#019733,357228,DATAR BALWANT NAGESH,INC,BELGAUM NORTH,217619,1,,BOMBAY,133176,1951
,,#019733,385241,PATIL SHANKARGOUDA VIRANGOUDA,INC,BELGAUM SOUTH,237245,1,,BOMBAY,119521,1951
,,#019733,381993,RANE SHIVRAM RANGO,INC,BHUSAWAL,219720,1,,BOMBAY,124798,1951
