party,year,state,pc,name,sex,age,category,votes,electors,color
ADMK,2009,TAMIL NADU,CHENNAI SOUTH,RAJENDRAN C,M,48,GEN,308567,1162062,#9DBC2A
ADMK,2009,TAMIL NADU,KARUR,THAMBIDURAI.M,M,62,GEN,380542,1012924,#9DBC2A
ADMK,2009,TAMIL NADU,MAYILADUTHURAI,MANIYAN O.S.,M,53,GEN,364089,1091519,#9DBC2A
ADMK,2009,TAMIL NADU,POLLACHI,SUGUMAR.K,M,48,GEN,305935,1017811,#9DBC2A
ADMK,2009,TAMIL NADU,SALEM,SEMMALAI S,M,63,GEN,380460,1171839,#9DBC2A
ADMK,2009,TAMIL NADU,THIRUVALLUR,VENUGOPAL.P,M,57,SC,368294,1204209,#9DBC2A
ADMK,2009,TAMIL NADU,TIRUCHIRAPPALLI,KUMAR.P,M,37,GEN,298710,1067193,#9DBC2A
ADMK,2009,TAMIL NADU,TIRUPPUR,SIVASAMI C,M,51,GEN,295731,993758,#9DBC2A
ADMK,2009,TAMIL NADU,VILUPPURAM,ANANDAN M,M,58,SC,306826,1068171,#9DBC2A
AGP,2009,ASSAM,TEZPUR,JOSEPH TOPPO,M,60,GEN,352246,1210132,#999
AIFB,2009,WEST BENGAL,COOCH BEHAR,NRIPENDRA NATH ROY,M,49,SC,500677,1329086,#999
AIFB,2009,WEST BENGAL,PURULIA,NARAHARI MAHATO,M,54,GEN,399201,1257799,#999
AIMIM,2009,ANDHRA PRADESH,HYDERABAD,ASADUDDIN OWAISI,M,41,GEN,308061,1393242,#999
AITC,2009,WEST BENGAL,BANGAON,GOBINDA CHANDRA NASKAR,M,67,SC,546596,1246979,#0C6965
AITC,2009,WEST BENGAL,BARASAT,KAKALI GHOSH DASTIDAR,F,49,GEN,522530,1226654,#0C6965
AITC,2009,WEST BENGAL,BARRACKPORE,DINESH TRIVEDI,M,58,GEN,428699,1081237,#0C6965
AITC,2009,WEST BENGAL,BASIRHAT,SK. NURUL ISLAM,M,46,GEN,479650,1198579,#0C6965
AITC,2009,WEST BENGAL,BIRBHUM,SATABDI ROY,F,40,GEN,486553,1221893,#0C6965
AITC,2009,WEST BENGAL,DIAMOND HARBOUR,SOMENDRA NATH MITRA,M,68,GEN,564612,1302398,#0C6965
AITC,2009,WEST BENGAL,DUM DUM,SOUGATA RAY,M,61,GEN,458988,1212220,#0C6965
AITC,2009,WEST BENGAL,HOOGHLY,DR. RATNA DE (NAG),F,57,GEN,574022,1405684,#0C6965
AITC,2009,WEST BENGAL,HOWRAH,AMBICA BANERJEE,M,82,GEN,477449,1344746,#0C6965
AITC,2009,WEST BENGAL,JADAVPUR,KABIR SUMAN,M,59,GEN,540667,1331537,#0C6965
AITC,2009,WEST BENGAL,KANTHI,ADHIKARI SISIR KUMAR,M,69,GEN,606712,1249775,#0C6965
AITC,2009,WEST BENGAL,KOLKATA DAKSHIN,MAMATA BANERJEE,F,54,GEN,576045,1505638,#0C6965
AITC,2009,WEST BENGAL,KOLKATA UTTAR,SUDIP BANDYOPADHYAY,M,57,GEN,460646,1366647,#0C6965
AITC,2009,WEST BENGAL,KRISHNANAGAR,TAPAS PAUL,M,51,GEN,443679,1223082,#0C6965
AITC,2009,WEST BENGAL,MATHURAPUR,CHOUDHURY MOHAN JATUA,M,71,SC,565505,1227376,#0C6965
AITC,2009,WEST BENGAL,RANAGHAT,SUCHARU RANJAN HALDAR,M,69,SC,575058,1329436,#0C6965
AITC,2009,WEST BENGAL,SERAMPORE,KALYAN BANERJEE,M,52,GEN,569725,1395570,#0C6965
AITC,2009,WEST BENGAL,TAMLUK,ADHIKARI SUVENDU,M,39,GEN,637664,1271230,#0C6965
AITC,2009,WEST BENGAL,ULUBERIA,SULTAN AHMED,M,56,GEN,514193,1251590,#0C6965
AUDF,2009,ASSAM,DHUBRI,BADRUDDIN AJMAL,M,54,GEN,540820,1371949,#999
BJD,2009,ORISSA,ASKA,NITYANANDA PRADHAN,M,65,GEN,419862,1286194,#000000
BJD,2009,ORISSA,BERHAMPORE,SIDHANT MOHAPATRA,M,42,GEN,319839,1207552,#000000
BJD,2009,ORISSA,BHADRAK,ARJUN CHARAN SETHI,M,68,SC,416808,1372356,#000000
BJD,2009,ORISSA,BHUBANESWAR,PRASANNA KUMAR PATASANI,M,66,GEN,400472,1447002,#000000
BJD,2009,ORISSA,BOLANGIR,KALIKESH NARAYAN SINGH DEO,M,34,GEN,430150,1443484,#000000
BJD,2009,ORISSA,CUTTACK,BHARTRUHARI MAHTAB,M,51,GEN,465089,1283576,#000000
BJD,2009,ORISSA,DHENKANAL,TATHAGATA SATPATHY,M,53,GEN,398568,1283608,#000000
BJD,2009,ORISSA,JAJPUR,MOHAN JENA,M,52,SC,433350,1227088,#000000
BJD,2009,ORISSA,KANDHAMAL,RUDRAMADHAB RAY,M,71,GEN,315314,1065279,#000000
BJD,2009,ORISSA,KENDRAPARA,BAIJAYANT PANDA,M,45,GEN,502635,1434425,#000000
BJD,2009,ORISSA,KEONJHAR,YASHBANT NARAYAN SINGH LAGURI,M,38,ST,389104,1265225,#000000
BJD,2009,ORISSA,KORAPUT,JAYARAM PANGI,M,53,ST,312776,1217768,#000000
BJD,2009,ORISSA,MAYURBHANJ,LAXMAN TUDU,M,47,ST,256648,1173650,#000000
BJD,2009,ORISSA,PURI,PINAKI MISRA,M,49,GEN,436961,1322817,#000000
BJP,2009,A&N ISLANDS,A&N ISLANDS,SHRI. BISHNU PADA RAY,M,59,GEN,75211,265108,#FB7B0D
BJP,2009,ASSAM,GAUHATI,BIJOYA CHAKRAVARTY,F,70,GEN,496047,1723860,#FB7B0D
BJP,2009,ASSAM,MANGALDOI,RAMEN DEKA,M,55,GEN,307881,1416682,#FB7B0D
