pc,year,state,party,name,sex,age,category,votes,electors,rank,color,polled_votes
AJMER NORTH,1951,AJMER,INC,JAWALA PRASHAD,,,,46679,162327,1,#019733,97165
AJMER SOUTH,1951,AJMER,INC,MUKAT BEHARI LAL,,,,43082,167157,1,#019733,81834
AUTONOMOUS DISTS,1951,ASSAM,INC,BONILY KHONGMEN,,,,59326,360630,1,#019733,109663
BARPETA,1951,ASSAM,INC,BELIRAM DAS,,,,76293,332791,1,#019733,176868
CACHAR LUSHAL HILLS,1951,ASSAM,INC,"LASKAR, NIBARAN CHANDRA",,,,192847,658171,1,#019733,627706
DARRANG,1951,ASSAM,INC,KAMAKHYA PRASAD TRIPATHI,,,,81775,310934,1,#019733,162120
DIBRUGARH,1951,ASSAM,INC,"HAZARIKA, JOGENDRA NATH",,,,93554,347258,1,#019733,148712
GAUHATI,1951,ASSAM,INC,ROHINI KUMAR CHAUDHURY,,,,96122,360331,1,#019733,202596
GOALPARA GARO HILLS,1951,ASSAM,SP,JONAB AMJAD ALI,,,,182093,719456,1,#B15928,704435
GOLAGHAT JORHAT,1951,ASSAM,INC,DEBESWAR SARMA,,,,93002,363384,1,#019733,172180
NOWGONG,1951,ASSAM,INC,"BAROOAH, DEV KANTA",,,,79673,342855,1,#019733,173832
SIBSAGAR NORTH LAKHIMPUR,1951,ASSAM,INC,"BURAGOHAIN, SURENDRANATH",,,,90279,345910,1,#019733,169015
RAISEN,1951,BHOPAL,INC,CHATRUNARAIN MALVIA,,,,49185,188498,1,#019733,74501
SEHORE,1951,BHOPAL,INC,SAEED ULLAH RAZMI,,,,48107,231472,1,#019733,94956
BHAGALPUR CENTRAL,1951,BIHAR,INC,BANARSHI PD. JHUNJHUNWALA,,,,67332,306142,1,#019733,145939
BHAGALPUR CUM PURNEA,1951,BIHAR,INC,ANUP LAL MEHATA,,,,159358,640994,1,#019733,512765
BHAGALPUR SOUTH,1951,BIHAR,INC,SUSAMA SEN,,,,71979,301167,1,#019733,144686
CHAILBASSA,1951,BIHAR,JHP,KANU RAM DEOGAM,,,,136609,376306,1,#999,178206
CHAMPARAN EAST,1951,BIHAR,INC,SYED MAHMOOD,,,,69144,327728,1,#019733,138767
CHAMPARAN NORTH,1951,BIHAR,INC,BIPIN BIHARI VERMA,,,,52424,341318,1,#019733,104179
DARBHANGA CENTRAL,1951,BIHAR,INC,SHRI NARAYAN DAS,,,,79435,394744,1,#019733,136243
DARBHANGA CUM BHAGALPUR,1951,BIHAR,INC,LALIT NARAYAN MISRA,,,,94414,331476,1,#019733,146291
DARBHANGA EAST,1951,BIHAR,INC,ANIRUYDH SINHA,,,,69944,372053,1,#019733,132722
DARBHANGA NORTH,1951,BIHAR,INC,SHYAM NANDAN PRASAD,,,,64314,376316,1,#019733,167758
GAYA EAST,1951,BIHAR,INC,BRAJESHWAR PRASAD,,,,124524,572471,1,#019733,415816
GAYA NORTH,1951,BIHAR,SP,BIGESHWAR MISSIR,,,,55817,288509,1,#B15928,127767
GAYA WEST,1951,BIHAR,INC,SATYANDRA NARAIN SINGH,,,,54758,336977,1,#019733,141212
HAZARIBAGH WEST,1951,BIHAR,CNSPJP,RAM NARAYAN SINGH,,,,67824,332278,1,#999,118881
HAZARIBHAG EAST,1951,BIHAR,INC,NAGESHWAR PD. SINHA,,,,65251,335212,1,#019733,129617
MANBHUM NORTH,1951,BIHAR,INC,MOHAN HARI,,,,97279,688360,1,#019733,435123
MANBHUM SOUTH CUM DHALBHUM,1951,BIHAR,LSS,BHAJAHARI MAHATON,,,,85957,730957,1,#999,481518
MONGHYR NORTH EAST,1951,BIHAR,SP,SURESH CHANDRA MISHRA,,,,73967,271581,1,#B15928,146688
MONGHYR NORTH WEST,1951,BIHAR,INC,MATHURA PRASAD MISRA,,,,53473,216737,1,#019733,115332
MONGHYR SADAR CUM JAMUI,1951,BIHAR,INC,BANARSI PD. SINHA,,,,131586,534168,1,#019733,518714
MUZAFARPUR EAST,1951,BIHAR,INC,AWADESHWAR PD. SINHA,,,,67220,298268,1,#019733,139632
MUZAFFARPUR CENTRAL,1951,BIHAR,INC,SHYAM NANDAN SAHAY,,,,82652,332006,1,#019733,141330
MUZAFFARPUR CUM DARBHANGA,1951,BIHAR,INC,RAJESHWAR PATEL,,,,152490,716634,1,#019733,318538
MUZAFFARPUR NORTH EAST,1951,BIHAR,INC,DIG VIJOY NARAYAN SINGH,,,,70603,329849,1,#019733,154884
MUZAFFARPUR NORTH WEST,1951,BIHAR,INC,CHANDESWAR NARAIN PRASAD SINHA,,,,51720,293890,1,#019733,134435
PALAMAU CUM HAZARIBAGH CUM RANCHI,1951,BIHAR,INC,JITHAN KHERWAR,,,,96034,649178,1,#019733,463405
PATALIPUTRA,1951,BIHAR,INC,SARANGDHAR SINGH,,,,64992,288982,1,#019733,133645
PATNA CENTRAL,1951,BIHAR,INC,KAILASH PATI SINHA,,,,66982,236799,1,#019733,131506
PATNA CUM SHAHABAD,1951,BIHAR,INC,BALRAM BHAGAT,,,,69428,287272,1,#019733,136851
PATNA EAST,1951,BIHAR,INC,TARKESHWARI DEVI,,,,62238,250896,1,#019733,132716
PURNEA CENTRAL,1951,BIHAR,INC,PHANI GOPAL SEN GUPTA,,,,78720,357038,1,#019733,138412
PURNEA CUM SANTAL PARGANAS,1951,BIHAR,INC,BHAGAT JHA (AZAD),,,,166049,752822,1,#019733,659217
PURNEA NORTH EAST,1951,BIHAR,INC,MOHAMMAD ISLAMUDDIN,,,,89754,369596,1,#019733,120467
RANCHI NORTH EAST,1951,BIHAR,INC,ABDUL IBRAHIM,,,,43576,344542,1,#019733,133505
RANCHI WEST,1951,BIHAR,JHP,JAIPAL SINGH,,,,139275,367835,1,#999,228856
