pc,votes,year,state,party,name,sex,age,category,electors,rank,color,polled_votes
ADILABAD,430847,2014,Andhra Pradesh,Telangana Rashtra Samithi,GODAM NAGESH,,,,,1,#999,1045839
ADILABAD,259557,2014,Andhra Pradesh,Indian National Congress,NARESH,,,,,2,#019733,1045839
ADILABAD,184198,2014,Andhra Pradesh,Telugu Desam,RAMESH RATHOD,,,,,3,#4bacc6,1045839
ADILABAD,94420,2014,Andhra Pradesh,Bahujan Samaj Party,RATHOD SADASHIV,,,,,4,#77968E,1045839
ADILABAD,41032,2014,Andhra Pradesh,Independent,NETHAWATH RAMDAS,,,,,5,#95b3d7,1045839
ADILABAD,17084,2014,Andhra Pradesh,None of the Above,None of the Above,,,,,6,#999,1045839
ADILABAD,8859,2014,Andhra Pradesh,Independent,MOSALI CHINNAIAH,,,,,7,#95b3d7,1045839
ADILABAD,5055,2014,Andhra Pradesh,Independent,PAWAR KRISHNA,,,,,8,#95b3d7,1045839
ADILABAD,4787,2014,Andhra Pradesh,Independent,BANKA SAHADEV,,,,,9,#95b3d7,1045839
PEDDAPALLE,565496,2014,Andhra Pradesh,Telangana Rashtra Samithi,BALKA SUMAN,,,,,1,#999,1022184
PEDDAPALLE,274338,2014,Andhra Pradesh,Indian National Congress,G. VIVEKANAND,,,,,2,#019733,1022184
PEDDAPALLE,63334,2014,Andhra Pradesh,Telugu Desam,DR.JANAPATI SARAT BABU,,,,,3,#4bacc6,1022184
PEDDAPALLE,45977,2014,Andhra Pradesh,Republican Paksha (Khoripa),VELTHURU MALLAIAH,,,,,4,#999,1022184
PEDDAPALLE,9449,2014,Andhra Pradesh,Bahujan Samaj Party,TAGARAM SHANKAR LAL,,,,,5,#77968E,1022184
PEDDAPALLE,9290,2014,Andhra Pradesh,Pyramid Party of India,KALVALA SHANKAR,,,,,6,#999,1022184
PEDDAPALLE,9199,2014,Andhra Pradesh,Independent,JINNA RAMADEVI,,,,,7,#95b3d7,1022184
PEDDAPALLE,8609,2014,Andhra Pradesh,Republican Party of India,KALVALA SANJEEV,,,,,8,#999,1022184
PEDDAPALLE,7258,2014,Andhra Pradesh,Independent,BUPELLI NARAYANA,,,,,9,#95b3d7,1022184
PEDDAPALLE,5361,2014,Andhra Pradesh,None of the Above,None of the Above,,,,,10,#999,1022184
PEDDAPALLE,3866,2014,Andhra Pradesh,Mahajana Socialist Party,VENKATA SWAMY INJAM,,,,,11,#999,1022184
PEDDAPALLE,3699,2014,Andhra Pradesh,Independent,THALLAPALLI SRINIVAS,,,,,12,#95b3d7,1022184
PEDDAPALLE,3266,2014,Andhra Pradesh,Independent,GADDALA VINAY KUMAR,,,,,13,#95b3d7,1022184
PEDDAPALLE,3020,2014,Andhra Pradesh,New India Party,J.V. RAJU,,,,,14,#999,1022184
PEDDAPALLE,2742,2014,Andhra Pradesh,Independent,KAMILLA JAYA RAO,,,,,15,#95b3d7,1022184
PEDDAPALLE,2674,2014,Andhra Pradesh,Independent,MOUTAM RAVINDER,,,,,16,#95b3d7,1022184
PEDDAPALLE,2361,2014,Andhra Pradesh,Independent,GORRE RAMESH,,,,,17,#95b3d7,1022184
PEDDAPALLE,2245,2014,Andhra Pradesh,B. C. United Front,BOTHA VENKATA MALLAIAH,,,,,18,#999,1022184
KARIMNAGAR,505783,2014,Andhra Pradesh,Telangana Rashtra Samithi,VINOD KUMAR BOINAPALLY,,,,,1,#999,1125691
KARIMNAGAR,300706,2014,Andhra Pradesh,Indian National Congress,PONNAM PRABHAKAR,,,,,2,#019733,1125691
KARIMNAGAR,214828,2014,Andhra Pradesh,Bharatiya Janata Party,CHENNAMANENI VIDYA SAGAR RAO,,,,,3,#FB7B0D,1125691
KARIMNAGAR,39325,2014,Andhra Pradesh,Welfare Party Of India,SHAIK MAHMOOD,,,,,4,#999,1125691
KARIMNAGAR,11333,2014,Andhra Pradesh,Bahujan Samaj Party,B. LAXMAN,,,,,5,#77968E,1125691
KARIMNAGAR,8040,2014,Andhra Pradesh,Republican Party of India (A),REDDI MALLA SRINIVAS,,,,,6,#999,1125691
KARIMNAGAR,6720,2014,Andhra Pradesh,Independent,MOHAMMED AMJAD MOHIUDDIN,,,,,7,#95b3d7,1125691
KARIMNAGAR,5747,2014,Andhra Pradesh,None of the Above,None of the Above,,,,,8,#999,1125691
KARIMNAGAR,4769,2014,Andhra Pradesh,Nationalist Congress Party,BURLA. RAVI,,,,,9,#999,1125691
KARIMNAGAR,4731,2014,Andhra Pradesh,Independent,KANDEM PRABHAKAR,,,,,10,#95b3d7,1125691
KARIMNAGAR,3944,2014,Andhra Pradesh,Pyramid Party of India,L. PRABHAKAR REDDY,,,,,11,#999,1125691
KARIMNAGAR,3865,2014,Andhra Pradesh,Independent,SRINIVAS REDDY LINGAMPALLY,,,,,12,#95b3d7,1125691
