Rank,City,Population,Definition,Area,Population_density,Country,url,image
1,Shanghai,17836133,Direct-controlled Municipality[6][7],2606,6845, China,http://en.wikipedia.org//wiki/Shanghai,//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Shanghai_-_Pudong_-_Lujiazui.jpg/250px-Shanghai_-_Pudong_-_Lujiazui.jpg
2,Lagos,16060307,Local Government Areas (LGAs)[10][11],1000,16067, Nigeria,http://en.wikipedia.org//wiki/Lagos,//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Lagos%2C_Nigeria_57991.jpg/250px-Lagos%2C_Nigeria_57991.jpg
3,Karachi,13969284,City District Government[14],734,19032, Pakistan,http://en.wikipedia.org//wiki/Karachi,//upload.wikimedia.org/wikipedia/commons/thumb/6/62/Nagan_Ch_Karachi.jpg/250px-Nagan_Ch_Karachi.jpg
4,Istanbul,13907015,Metropolitan Municipality-Province[16],2190,6351, Turkey,http://en.wikipedia.org//wiki/Istanbul,//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Istanbul2010.jpg/250px-Istanbul2010.jpg
5,Mumbai,12478447,Municipal Corporation[19],603,20680, India,http://en.wikipedia.org//wiki/Mumbai,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Mumbai_skyline88907.jpg/250px-Mumbai_skyline88907.jpg
6,Moscow,12111194,Federal City[21][22],2510,4825, Russia,http://en.wikipedia.org//wiki/Moscow,//upload.wikimedia.org/wikipedia/commons/thumb/e/ee/%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0-%D0%A1%D0%B8%D1%82%D0%B8_10_%D0%BD%D0%BE%D1%8F%D0%B1%D1%80%D1%8F_2013.JPG/250px-%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0-%D0%A1%D0%B8%D1%82%D0%B8_10_%D0%BD%D0%BE%D1%8F%D0%B1%D1%80%D1%8F_2013.JPG
7,São Paulo,11821873,Municipality City[25],1523,7762, Brazil,http://en.wikipedia.org//wiki/S%C3%A3o_Paulo,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Radial_Leste.jpg/250px-Radial_Leste.jpg
8,Beijing,11716620,Direct-controlled Municipality[28],1368,8563, China,http://en.wikipedia.org//wiki/Beijing,//upload.wikimedia.org/wikipedia/commons/thumb/8/81/View_of_Beijing.jpg/250px-View_of_Beijing.jpg
9,Guangzhou,11185600,Sub-Provincial City[30],3843,2911, China,http://en.wikipedia.org//wiki/Guangzhou,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/Pearl_River_Night_Cruise.jpg/250px-Pearl_River_Night_Cruise.jpg
10,Delhi,11007835,National Capital Region[31],431,25535, India,http://en.wikipedia.org//wiki/Delhi,//upload.wikimedia.org/wikipedia/commons/thumb/3/39/Skyscrapers_connaught_place_New_Delhi.JPG/250px-Skyscrapers_connaught_place_New_Delhi.JPG
11,Shenzhen,10467400,Sub-Provincial City,1992,5255, China,http://en.wikipedia.org//wiki/Shenzhen,//upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Shenzhen_night_street.JPG/250px-Shenzhen_night_street.JPG
12,Seoul,10388055,Special City,605,17164, South Korea,http://en.wikipedia.org//wiki/Seoul,//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Seoul_dusk2.jpg/250px-Seoul_dusk2.jpg
13,Jakarta,9988329,Capital Region - Five Kota[37],664,15040, Indonesia,http://en.wikipedia.org//wiki/Jakarta,//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Jakarta_Car_Free_Day.jpg/250px-Jakarta_Car_Free_Day.jpg
14,Kinshasa,9735000,Metropolitan Municipality-Province[40],1118,8710, Democratic Republic of the Congo,http://en.wikipedia.org//wiki/Kinshasa,//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Kinshasa_downtown.jpg/250px-Kinshasa_downtown.jpg
15,Tianjin,9341844,Direct-controlled Municipality[43],4037,2314, China,http://en.wikipedia.org//wiki/Tianjin,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/%E5%A4%A9%E6%B4%A5%E5%8D%97%E4%BA%AC%E8%B7%AF%E6%BB%A8%E6%B1%9F%E9%81%93%E4%BA%A4%E5%8F%A3.jpg/250px-%E5%A4%A9%E6%B4%A5%E5%8D%97%E4%BA%AC%E8%B7%AF%E6%BB%A8%E6%B1%9F%E9%81%93%E4%BA%A4%E5%8F%A3.jpg
16,Tokyo,9071577,23 Special Wards (tokubetsu-ku),623,14562, Japan,http://en.wikipedia.org//wiki/Chennai,//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Southern_Railway_HQ.jpg/250px-Southern_Railway_HQ.jpg
17,Chennai,8981087,Municipal Corporation,426,21082, India,http://en.wikipedia.org//wiki/Tokyo,//upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Skyscrapers_of_Shinjuku_2009_January_%28revised%29.jpg/250px-Skyscrapers_of_Shinjuku_2009_January_%28revised%29.jpg
18,Cairo,8922949,Governorate[50],3085,2892, Egypt,http://en.wikipedia.org//wiki/Cairo,//upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Kairo_001.jpg/250px-Kairo_001.jpg
19,Dhaka,8906039,City Corporation[53],303,29401, Bangladesh,http://en.wikipedia.org//wiki/Dhaka,//upload.wikimedia.org/wikipedia/commons/thumb/6/62/Dhaka-Bangladesh.jpg/250px-Dhaka-Bangladesh.jpg
20,Mexico City,8874724,Federal District,1485,5974, Mexico,http://en.wikipedia.org//wiki/Mexico_City,//upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Ciudad.de.Mexico.City.Distrito.Federal.DF.Paseo.Reforma.Skyline.jpg/250px-Ciudad.de.Mexico.City.Distrito.Federal.DF.Paseo.Reforma.Skyline.jpg
21,Lima,8859036,Metropolitan Municipality-Province[60],934,9489, Peru,http://en.wikipedia.org//wiki/Lima,//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Lima_Plaza_Mayor1_cropped.jpg/250px-Lima_Plaza_Mayor1_cropped.jpg
22,Bangalore,8425970,Municipal Corporation,710,11876, India,http://en.wikipedia.org//wiki/Bangalore,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/UB_City.jpg/250px-UB_City.jpg
23,Lahore,8376000,City District[63],855,9796, Pakistan,http://en.wikipedia.org//wiki/Lahore,//upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Kalma_Underpass1.jpg/250px-Kalma_Underpass1.jpg
24,New York,8336697,Five Boroughs[66],784,10636, United States,http://en.wikipedia.org//wiki/New_York_City,//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/LowerManhattanSept2013.png/250px-LowerManhattanSept2013.png
25,London,8308369,Greater London Authority[68],1572,5285, United Kingdom,http://en.wikipedia.org//wiki/London,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Canary_Wharf_Skyline_2%2C_London_UK_-_Oct_2012.jpg/250px-Canary_Wharf_Skyline_2%2C_London_UK_-_Oct_2012.jpg
26,Bangkok,8280925,Metropolitan Municipality-Province[70],1569,5280, Thailand,http://en.wikipedia.org//wiki/Bangkok,//upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Aerial_view_of_Lumphini_Park.jpg/188px-Aerial_view_of_Lumphini_Park.jpg
27,Dongguan,8220207,Sub-Provincial City,2469,3329, China,http://en.wikipedia.org//wiki/Dongguan,//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Dongguan_Avenue_%28CBD%29_2010.jpg/188px-Dongguan_Avenue_%28CBD%29_2010.jpg
28,Tehran,8154051,City Municipality[73],686,11886, Iran,http://en.wikipedia.org//wiki/Tehran,//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Tehran_view_-_chamran.jpg/188px-Tehran_view_-_chamran.jpg
29,Bogotá,7776845,Capital District[76],859,9052, Colombia,http://en.wikipedia.org//wiki/Bogot%C3%A1,//upload.wikimedia.org/wikipedia/commons/thumb/7/73/Centro-Internacional-Bogot%C3%A1.jpg/188px-Centro-Internacional-Bogot%C3%A1.jpg
