name,value
Andhra Pradesh,23
Arunachal Pradesh,17
Assam,27
Bihar,38
Chhattisgarh,27
Goa,2
Gujarat,33
Haryana,21
Himachal Pradesh,12
Jammu and Kashmir,22
Jharkhand,24
Karnataka,30
Kerala,14
Madhya Pradesh,51
Maharashtra,35
Manipur,9
Meghalaya,11
Mizoram,8
Nagaland,11
Odisha,30
Punjab,22
Rajasthan,33
Sikkim,4
Tamil Nadu,32
Tripura,8
Uttar Pradesh,75
Uttarakhand,13
West Bengal,19
Andaman and Nicobar,3
Chandigarh,1
Dadra and Nagar Haveli,1
Daman and Diu,2
Lakshadweep,1
National Capital Territory of Delhi,11
Puducherry,4
